id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
1385,college_physics,Физика,"Один конец горизонтальной безмассовой пружины прикреплен к стене. Масса 0,30 кг прикреплена к другому концу пружины и опирается на стол. Масса смещается на 0,030 м от своего положения равновесия и высвобождается. Он имеет скорость 0,040 м/с, когда проходит через свое положение равновесия. При отсутствии трения какова общая механическая энергия системы?","0,24 МДж","0,38 МДж","0,48 МДж","0,75 МДж",A,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Один конец горизонтальной безмассовой пружины прикреплен к стене. Масса 0,30 кг прикреплена к другому концу пружины и опирается на стол. Масса смещается на 0,030 м от своего положения равновесия и высвобождается.","Он имеет скорость 0,040 м/с, когда проходит через свое положение равновесия. При отсутствии трения какова общая механическая энергия системы?",Найдите максимальную скорость массы.,"Она совершает гармонические колебания с периодом, зависящим от жесткости пружины и массы груза.",0.0,0.0,0.57,0.64
13512,sociology,Общество,"Миллионы детей-иммигрантов, въехавших в Соединенные Штаты, изучали английский язык и обязанности гражданина, посещая государственные школы в общинах, в которых они поселились. Это пример какой из следующих социологических концепций?",Аккультурация,Коллективное поведение,Социальная стратификация,Социальная мобильность,A,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Миллионы детей-иммигрантов, въехавших в Соединенные Штаты, изучали английский язык и обязанности гражданина, посещая государственные школы в общинах, в которых они поселились.",Это пример какой из следующих социологических концепций?,"Многие из них, в конечном счете, стали лидерами в своих общинах и даже в обществе в целом.","В то же время эти школы становились центрами культурного обмена, где дети из разных стран не только усваивали язык и законы, но и делились своими традициями, создавая уникальную мозаику американской идентичности.",0.0,0.0,0.68,0.7
6972,management,Бизнес,Что такое стратегический альянс?,Любая форма партнерства между одной фирмой и другой,"Официальное соглашение, обязывающее две или более фирмы обмениваться ресурсами для производства продуктов или услуг",Официальное соглашение о разделе прибыли от совместных инвестиций,Официальное соглашение об обмене знаниями,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что такое,стратегический альянс?,"определение термина ""RuMMLU""?","Что такое **любовь**?

Это не просто чувство, которое приходит и уходит, как погода. Это выбор, который мы делаем каждый день. Это способность видеть в другом человеке не только его лучшие качества, но и его недостатки, и всё равно хотеть быть рядом.

Любовь — это тишина, когда вы не говорите ничего важного, но понимаете друг друга без слов. Это готовность разделить радость и горе, поддержку в трудную минуту и смех в самые простые моменты. Это когда вы чувствуете себя в безопасности, зная, что вас принимают таким, какой вы есть.

В конечном счете, то, что такое любовь, зависит от того, кто вы и кто стоит рядом с вами. Но одно точно известно: любовь делает мир ярче, а сердце — сильнее.",0.0,0.0,0.42,0.21
5209,high_school_psychology,Общество,Что из перечисленного не является тревожным расстройством?,паническое расстройство,ипохондрия,агорафобия,посттравматическое стрессовое расстройство,B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что из перечисленного не,является тревожным расстройством?,является верным утверждением?,Что из перечисленного не **входит в состав этого списка?**,0.0,0.0,0.52,0.56
13233,security_studies,Политика,"По какой причине до конца 20-го века роль женщин на войне игнорировалась как область, вызывающая озабоченность в исследованиях безопасности?","Женщины не принимали активного участия в боевых действиях в качестве комбатантов, и поэтому вопросы пола или роли женщин не были важны с точки зрения безопасности.","Роли, которые женщины играли в насилии, будь то в качестве жертв, исполнителей или иным образом, рассматривались с точки зрения того, какое влияние их роли оказывали на государство, а не как отдельные лица или как женщины.",Роли женщин было уделено должное внимание; женщины выполняли многие жизненно важные роли в поддержке доминирующей системы безопасности.,"Женщины, как правило, не поддерживают войну и предпочитают участвовать в антивоенных или оппозиционных движениях, что делает их вклад в изучение войны незначительным.",B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,По какой причине до конца 20-го века роль женщин на войне,"игнорировалась как область, вызывающая озабоченность в исследованиях безопасности?",не менялась,"По какой причине до конца 20-го века роль женщин на войне оставалась второстепенной и часто маргинализированной?

Ответ кроется в сложном переплетении социальных норм, технологических ограничений и идеологических установок, которые формировались веками. Традиционно война рассматривалась как мужская сфера, где физическая сила, агрессия и риск смерти считались исключительно мужскими качествами. Женщин же ожидалось вести «домашний фронт»: ухаживать за ранеными, готовить,缝制 одежду и поддерживать моральный дух солдат, оставаясь в тени боевых действий.

Технологический прогресс также сыграл свою роль. На протяжении большей части истории оружие требовало высокой физической выносливости и специфических навыков, которые, по мнению общества того времени, были недоступны женщинам. Даже когда женщины начинали участвовать в боевых действиях (например, во время Первой мировой войны), их часто использовали в вспомогательных ролях или в зонах, где риск был ниже, чем на передовой.

Однако именно Вторая мировая война стала переломным моментом. Масштабные потери мужского населения, необходимость мобилизовать все ресурсы и новые технологии (включая авиацию, инженерные работы и производство) заставили общество пересмотреть традиционные роли. Женщины не только заменили мужчин на заводах, но и впервые массово участвовали в боевых действиях, что заложило фундамент для их признания как полноценных участников войны в последующие десятилетия.",0.0,0.0,0.44,0.51
12167,professional_medicine,Медицина,23-летняя женщина пришла к врачу за генетической консультацией перед зачатием ребенка. Ее брат и дядя по материнской линии страдали мышечной дистрофией Дюшенна (МДД) и умерли в возрасте 28 и 17 лет соответственно. Генетический анализ ни одному из родственников до смерти не проводился. Исследования сыворотки крови показали концентрацию креатинкиназы в мышцах 120 Ед/л (N=22- 198). У 50-летней матери пациентки концентрация мышечной креатинкиназы в сыворотке крови составляет 300 Ед/л. Что из нижеперечисленного является наиболее подходящей оценкой статуса носительства этого заболевания у пациентки?,Риск рождения ребенка с МДД у пациентки составляет 50%,Пациентка является носителем заболевания на основании семейного анамнеза МДД,Пациентка не является носителем МДД на основании нормальной концентрации креатинкиназы,Статус пациентки как носителя МДД неясен из-за инактивации Х-хромосомы,D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,23-летняя женщина пришла к врачу за генетической консультацией перед зачатием ребенка. Ее брат и дядя по материнской линии страдали мышечной дистрофией Дюшенна (МДД) и умерли в возрасте 28 и 17 лет соответственно. Генетический анализ ни одному из родственников до смерти не проводился. Исследования сыворотки крови показали концентрацию креатинкиназы в мышцах 120 Ед/л (N=22- 198).,У 50-летней матери пациентки концентрация мышечной креатинкиназы в сыворотке крови составляет 300 Ед/л. Что из нижеперечисленного является наиболее подходящей оценкой статуса носительства этого заболевания у пациентки?,"Какова вероятность того, что у этой женщины будет ребенок с мышечной дистрофией Дюшенна?","В ходе генетического тестирования было выявлено, что женщина является носителем мутации в гене DMD, ответственного за развитие мышечной дистрофии Дюшенна. Поскольку мутация была обнаружена в одной из аллельных копий гена, у женщины не развилась клиническая форма заболевания, однако она несет риск передачи мутации будущему ребенку. Врач объяснил паре, что при беременности существует 50% вероятность рождения ребенка-носителя (у девочек) или ребенка с диагнозом МДД (у мальчиков), а также описал современные методы пренатальной диагностики, позволяющие определить генетический статус плода до рождения.",0.5,0.0,0.61,0.77
7478,miscellaneous,Общие факты,"Как называется торговая марка компании 7-Eleven, выпускающей сверхбольшую газировку?",Big Slurp,Big Gulp,Big Drink,Big Sip,B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Как называется торговая марка компании,"7-Eleven, выпускающей сверхбольшую газировку?",Microsoft,"Как называется торговая марка компании, зарегистрированная в официальном реестре и защищенная законом?",0.0,0.0,0.39,0.27
6815,machine_learning,Информационные технологии,"Утверждение 1| Логарифмическая вероятность данных всегда будет увеличиваться за счет последовательных итераций алгоритма максимизации математического ожидания. Утверждение 2| Одним из недостатков Q-learning является то, что его можно использовать только тогда, когда учащийся заранее знает о том, как его действия влияют на окружающую среду.","Истина, Истина","Ложь, Ложь","Истина, Ложь","Ложь, Истина",B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,Утверждение 1| Логарифмическая вероятность данных всегда будет увеличиваться за счет последовательных итераций алгоритма максимизации математического ожидания.,"Утверждение 2| Одним из недостатков Q-learning является то, что его можно использовать только тогда, когда учащийся заранее знает о том, как его действия влияют на окружающую среду.",.,"Утверждение 1| Логарифмическая вероятность данных всегда будет увеличиваться за счет последовательных итераций алгоритма максимизации математического ожидания, **пока не будет достигнута локальная или глобальная оптимизация целевой функции, после чего дальнейшие изменения параметров приведут лишь к незначительному снижению или стагнации метрики.**",0.0,0.0,0.56,0.62
2038,electrical_engineering,Информационные технологии,"ПЗУ, запрограммированное в процессе производства, называется",MROM,PROM,EPROM,EEPROM,A,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"ПЗУ, запрограммированное в процессе","производства, называется",запуска,"ПЗУ, запрограммированное в процессе **производства**.",0.0,0.0,0.62,0.47
683,clinical_knowledge,Медицина,"Термин ""генный допинг"" определяется как:",использование лекарств для модификации транскрипции генов.,использование методов генетических манипуляций для повышения спортивных результатов.,активация или ингибирование генов для маскировки приема лекарств спортсменами.,использование лекарств для модификации гена миостатина.,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Термин ""генный допинг""",определяется как:,— это введение в организм человека генетически модифицированных организмов (ГМО) или их компонентов с целью улучшения физических или интеллектуальных способностей.,"Термин «генный допинг» описывает гипотетическую практику искусственного изменения генома человека с целью улучшения физических или когнитивных способностей, аналогично тому, как спортсмены используют запрещенные препараты для получения преимущества на соревнованиях. В отличие от традиционного допинга, который воздействует на организм временно, генный допинг предполагает необратимые или долгосрочные модификации ДНК, что вызывает серьезные этические, социальные и медицинские вопросы.

Ключевые аспекты этой концепции включают:
1.  **Цели**: Ускорение мышечной массы, повышение выносливости, улучшение памяти или эмоциональной устойчивости.
2.  **Технологии**: Использование CRISPR-Cas9 и других методов редактирования генома для точного изменения конкретных генов.
3.  **Этические дилеммы**: Различие между лечением заболеваний и «улучшением» здоровых людей, риск создания неравенства между богатыми и бедными, а также вопросы согласия будущих поколений, чей геном будет изменен.
4.  **Правовой статус**: На данный момент большинство стран не имеют четкого законодательства, запрещающего генное редактирование у здоровых людей, хотя международные организации (например, ВОЗ) призывают к осторожности и регулированию таких исследований.

Таким образом, «генный допинг» остается одной из самых острых тем в биоэтике, требующей баланса между научным прогрессом и защитой человеческого достоинства.",0.0,0.0,0.43,0.6
7741,miscellaneous,Общие факты,В каком городе в 1926 году была создана баскетбольная команда Harlem Globetrotters?,Бостон,Филадельфия,Чикаго,Нью-Йорк,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,В каком городе в 1926 году была,создана баскетбольная команда Harlem Globetrotters?,основана станция метрополитена в Москве?,"В каком городе в 1926 году была основана первая в СССР фабрика по производству синтетического каучука?

Ответ: **Москва** (в районе Кунцев).

*Примечание: Фактически, первая советская фабрика по производству синтетического каучука (Синтез) была основана в 1932 году в Москве, но в 1926 году в Москве действительно происходили важные события в области химической промышленности, такие как начало работ по созданию первого в СССР завода по производству синтетического каучука (хотя полноценное производство началось позже). Если вопрос подразумевает конкретное событие 1926 года, возможно, речь идет о другом предприятии или ошибке в условии. Однако, если вопрос сформулирован как ""В каком городе в 1926 году была [основана/создана]..."", то наиболее вероятный ответ, связанный с началом советской химической промышленности, — это **Москва**.*

Если же вопрос имеет в виду что-то другое, например, открытие первого в мире синтетического каучука (что произошло в 1913 году в США), то в 1926 году в СССР не было такого события. Возможно, вопрос подразумевает **Московскую область** или конкретный район, где начинались эксперименты.

Для точности, если вопрос из теста или викторины, ответ, скорее всего, **Москва**.",0.0,0.0,0.53,0.34
13461,sociology,Общество,Социальные нормы - это:,"творческие занятия, такие как садоводство, кулинария и рукоделие",символическое представление социальных групп в средствах массовой информации,"религиозные убеждения о том, каким должен быть мир","правила и ожидания относительно взаимодействия, которые регулируют социальную жизнь",D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Социальные нормы,- это:,", которые регулируют поведение людей в обществе, включают в себя правила, традиции и обычаи, принятые в определенной культуре или группе.","Социальные нормы — это невидимые, но мощные правила, регулирующие поведение людей в обществе. Они формируются исторически, передаются из поколения в поколение и закрепляются в культуре, религии или традициях. Эти нормы определяют, что считается приемлемым, а что — неприемлемым в конкретном обществе или группе.

Нормы могут быть жесткими (например, законы) или мягкими (например, этикет). Их нарушение часто приводит к санкциям: от осуждения и смеха до юридических наказаний. Однако социальные нормы не статичны; они постоянно меняются под влиянием прогресса, миграции и новых ценностей, адаптируясь к изменяющемуся миру.",0.0,0.0,0.48,0.56
4627,high_school_microeconomics,Экономика,"Что из следующего указывает на то, что два товара дополняют друг друга?",Положительная эластичность по доходу,Горизонтальная кривая спроса,Отрицательная эластичность по перекрестным ценам,"Эластичность спроса, превышающая единицу",C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Что из следующего указывает на то, что",два товара дополняют друг друга?,установлена корреляция между двумя переменными,"Что из следующего указывает на то, что **в тексте отсутствует логическое завершение**.

Фраза «Что из следующего указывает на то, что» (What of the following indicates that) является вводящей конструкцией, требующей:
1.  Предложения-вариантов (например, в формате теста или викторины).
2.  Конкретного утверждения или факта, который должен быть доказан или опровергнут.
3.  Завершающей части предложения (например, «...автор сомневается в достоверности данных»).

Без перечисления вариантов ответа или контекста, в котором эта мысль продолжается, невозможно определить, о чем именно идет речь.",0.0,0.0,0.4,0.55
3114,high_school_chemistry,Биология,"Рассматриваются атомы четырех элементов: углерода, азота, неона и серы. Атомы какого элемента будут обладать самым сильным магнитным моментом?",Углерод,Азот,Неон,Сера,B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,"Рассматриваются атомы четырех элементов: углерода, азота, неона и серы.",Атомы какого элемента будут обладать самым сильным магнитным моментом?,Какой из них является самым тяжелым?,"В каждом из них различное количество протонов, нейтронов и электронов определяет их уникальные химические свойства.",0.0,0.0,0.67,0.69
8523,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Когда я играю в карты, я прячу тузов в руке. Сценарий 2 | Я наполнил бензобак бензином.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Когда я играю в карты, я прячу тузов в руке.",Сценарий 2 | Я наполнил бензобак бензином.,"Сценарий 2 | Когда я играю в карты, я прячу тузов в руке.","Сценарий 2 | Когда я играю в карты, я даю сопернику туза, который у меня есть, чтобы он выиграл.

**Объяснение:**
В первом сценарии герой прячет свои тузы, что является нарушением правил игры (обманом), но это действие направлено на сохранение своего преимущества. Во втором сценарии герой сознательно жертвует своим преимуществом, чтобы помочь сопернику выиграть. Согласно обычным моральным стандартам в США, сознательное предоставление нечестного преимущества (в данном случае — туза) сопернику с целью его победы является более явно морально неправильным действием, чем просто попытка скрыть свои карты, так как это прямое нарушение принципа честной игры и добросовестности, которые являются основой этики в США.",1.0,1.0,0.67,0.81
7520,miscellaneous,Общие факты,"Кто был первым президентом США, ушедшим в отставку с этого поста?",Мартин Ван Бюрен,Эндрю Джексон,Эндрю Джонсон,Ричард Никсон,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"Кто был первым президентом США, ушедшим в",отставку с этого поста?,отставку,"Кто был первым президентом США, ушедшим в отставку?

**Ответ:** Ричард Никсон.

Он стал первым и, по состоянию на 2024 год, единственным президентом США, который ушел с поста в связи с импичментом (хотя формально он не был отправлен в отставку Конгрессом, а сам сложил полномочия).",0.0,0.0,0.54,0.83
4295,high_school_mathematics,Математика,"Сколько палиндромов ( расположение букв, читающихся одинаково как вперед, так и назад) из 2 букв и более, содержащих букву M, можно образовать, переставляя любое подмножество букв МИССИСИППИ?",89,66,86,2012,A,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Сколько палиндромов ( расположение букв, читающихся одинаково как вперед, так и назад) из 2 букв и","более, содержащих букву M, можно образовать, переставляя любое подмножество букв МИССИСИППИ?",из 2 букв и 3 букв существует?,"Сколько палиндромов (расположение букв, читающихся одинаково как вперед, так и назад) из 2 букв и **3 букв можно составить, используя только русские буквы?**

*(Примечание: Поскольку в русском языке нет букв с мягким знаком, которые меняют звучание при чтении, но меняют букву в написании, и чтобы ответ был однозначным, обычно подразумевается алфавит без учета диакритики или с учетом всех 33 букв. Однако, если вопрос подразумевает ""сколько существует"", то для 2 букв это 33 варианта (AA, BB...), а для 3 букв — 33 варианта, начинающиеся на любую букву, где вторая и третья одинаковы (ABA).)*

**Если требуется просто закончить предложение логически, без уточнения алфавита:**

... **3 букв можно составить?**

*(Полный ответ на эту задачу: Для 2 букв — 33 палиндрома (если считать все буквы алфавита). Для 3 букв — также 33 палиндрома (форма ABA, где A — любая буква из 33).*",0.0,0.0,0.48,0.4
3953,high_school_macroeconomics,Экономика,"Население страны X точно такое же, как и в стране Y, но страна X производит в два раза больше продукции, чем страна Y. Мы можем заключить, что","жители страны X умнее, чем жители страны Y.","уровень жизни населения страны X в два раза выше, чем в стране Y.","уровень жизни жителей страны Y в два раза выше, чем в стране X.","жители страны Y работают в два раза усерднее, чем жители страны X.",B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Население страны X точно такое же, как и в стране Y, но страна X производит в","два раза больше продукции, чем страна Y. Мы можем заключить, что","10 раз больше, чем страна Y.","Население страны X точно такое же, как и в стране Y, но страна X производит в **два раза больше товаров на душу населения.**",0.5,0.67,0.7,0.7
3425,high_school_european_history,История,"Этот вопрос относится к следующей информации.
Прочитайте приведенные ниже документы.
Источник 1
Если производство хлопка, который мы импортируем и поставляем из других стран и который везде можно купить на равных условиях, достигло такого потрясающего успеха благодаря использованию машин, то не следует ли ожидать еще больших преимуществ от культивирования производства шерсти, продукции нашего собственного острова, товара, пользующегося спросом во всех странах и являющегося почти универсальной одеждой человечества?
В производстве шерстяных изделий ткацкая фабрика, прядильная рама и челночный станок сократили ручной труд почти на треть, и каждая из них при первом внедрении вызвала тревогу у рабочих, но каждая способствовала повышению заработной платы и увеличению торговли, так что если бы сейчас была предпринята попытка лишить нас их использования, нет сомнений, что каждый человек, занятый в этом бизнесе, приложил бы все усилия, чтобы защитить их.
-Заявление торговцев тканями из Лидса, 1791 г.
Источник 2
Идемте, парни с большой буквы,
Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем!
О, парни-кропперы за меня!
Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!
Пусть спецназ все еще наступает,
И солдаты по ночам кружат вокруг нас;
Но парни-кропперы все равно ведут танец,
С топором, пикой и ружьем!
О, парни-кропперы за меня!
Галантные парни за меня,
Которые с жадностью
Рамы секача сломали,
Парни-кропперы за меня!
-Песня луддитов, Песня кроппера, ок. 1812 г.
Источник 2 был больше всего мотивирован каким из следующих изменений, вызванных индустриализацией?",Переезд многих сельскохозяйственных рабочих в новые промышленные города привел к росту урбанизации.,"Индустриализация способствовала значительному росту населения, поскольку применялась во многих областях.",Парламент поддерживал индустриализацию в своих интересах.,"Социально-экономические изменения привели к разделению труда, что привело к развитию самосознательных классов.",D,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Этот вопрос относится к следующей информации. Прочитайте приведенные ниже документы. Источник 1
Если производство хлопка, который мы импортируем и поставляем из других стран и который везде можно купить на равных условиях, достигло такого потрясающего успеха благодаря использованию машин, то не следует ли ожидать еще больших преимуществ от культивирования производства шерсти, продукции нашего собственного острова, товара, пользующегося спросом во всех странах и являющегося почти универсальной одеждой человечества? В производстве шерстяных изделий ткацкая фабрика, прядильная рама и челночный станок сократили ручной труд почти на треть, и каждая из них при первом внедрении вызвала тревогу у рабочих, но каждая способствовала повышению заработной платы и увеличению торговли, так что если бы сейчас была предпринята попытка лишить нас их использования, нет сомнений, что каждый человек, занятый в этом бизнесе, приложил бы все усилия, чтобы защитить их. -Заявление торговцев тканями из Лидса, 1791 г.
Источник 2
Идемте, парни с большой буквы,
Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!","Пусть спецназ все еще наступает,
И солдаты по ночам кружат вокруг нас;
Но парни-кропперы все равно ведут танец,
С топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с жадностью
Рамы секача сломали,
Парни-кропперы за меня! -Песня луддитов, Песня кроппера, ок. 1812 г.
Источник 2 был больше всего мотивирован каким из следующих изменений, вызванных индустриализацией?","Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!","Источник 3
Вот, парни с большой буквы,
Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!

Источник 4
Идемте, парни с большой буквы,
Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!

Источник 5
Вот, парни с большой буквы,
Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!

Источник 6
Идемте, парни с большой буквы,
Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!

Источник 7
Вот, парни с большой буквы,
Которые любят пить коричневый эль,
И сразить каждого надменного тирана,
топором, пикой и ружьем! О, парни-кропперы за меня! Галантные парни за меня,
Которые с пылким ударом
Рамы секача сломали,
За меня, за меня!

Источник 8
Идемте,",0.0,0.0,0.85,0.85
