id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
3757,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"Молекулярная формула углеводорода, если в состав 3 его молей входит 1,26 – 10\(^{25}\) атомов углерода и 2,88 · 10\(^{25}\) атомов водорода",\(C_7H_{16}\),\(CH_4\),\(C_4H_{10}\),\(C_3H_8\),,A,test,"Молекулярная формула углеводорода, если в состав 3 его молей входит 1,26 –","10\(^{25}\) атомов углерода и 2,88 · 10\(^{25}\) атомов водорода",моль-объема,"входит 1,26 г углерода",0.0,0.0,0.53,0.46,No
10015,https://ymnik.kz/tests_old/history/?v=57,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Т.Шевченко с 1847 г. по 1857 г. в Казахстане:,Находился по служебным делам.,Искал материалы для своих произведений.,Исследовал быт казахского народа.,Возглавил экспедицию по изучению Каспия.,Был в ссылке.,E,test,Т.Шевченко с 1847 г. по,1857 г. в Казахстане:,Т.Шевченко с 1847 г. по 1920 г.,смерти,0.0,0.0,0.36,0.32,No
20563,https://ymnik.kz/tests_old/literature/?v=13,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Укажите, кто из представителей первой половины XІX века был создателем гражданской, политической лирики:",Шортанбай Канайулы.,Махамбет Утемисулы.,Алмажан Азаматова.,Дулат Бабатайулы.,Шернияз Жарылгасулы.,B,test,"Укажите, кто из представителей первой половины XІX века","был создателем гражданской, политической лирики:","А. Игорь,
Б. Олег,
В. Владимир,
Г. Всеволод","Александр I, Николай I и другие",0.0,0.0,0.4,0.38,No
21933,https://ymnik.kz/tests_old/worldhistory_kz/?v=25,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Римдіктер жаулап алған елдерін қалай атады?,Рим облыстары.,Имениелер.,Патшалық.,Отарлар.,Провинциялар.,E,test,Римдіктер жаулап алған елдерін,қалай атады?,бөлігі бойынша,басқаруды жүзеге асыру үшін,0.0,0.0,0.46,0.51,No
10590,https://ymnik.kz/tests_old/history/?v=62,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Добровольное историко-просветительское общество ""Адилет"" было создано:",В 1988 году.,В 1990 году.,В 1992 году.,В 1991 году.,В 1989 году.,E,test,"Добровольное историко-просветительское общество ""Адилет""",было создано:,Каков основной цель общества?,"Основными целями данного объединения стали сбор и сохранение исторической памяти народа через просвещение его потомков, а также создание механизмов контроля над историческими фактами для предотвращения забвения прошлых событий.",0.0,0.0,0.66,0.65,No
22061,https://ymnik.kz/tests_old/worldhistory/?v=41,Humanities,World_History,High School,Russian,World History (High School in rus),Первое в Центральной Европе западнославянское государство:,Болгарское царство,Польское государство,Франкское государство,Чешское государство,Великоморавская держава,E,test,Первое в Центральной Европе,западнославянское государство:,Вопрос по истории,"Согласно этим данным, можно заключить, что регион стал местом интересного исторического сближения между странами.",0.0,0.0,0.32,0.29,No
20901,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"Понятие “автаркия” означает:
","лишение населения гражданских прав
","развитие местного самоуправления
","Проявление равнодушного отношение к населению
","политика, направленная на обособление экономики страны от экономики других стран
","уровень централизации государственной власти
",D,test,Понятие “автаркия”,"означает:
",Определение этого термина.,"Это понятие характеризуется способностью человека действовать автономно, минуя влияние среды и ожиданий других.",0.0,0.0,0.67,0.79,No
5686,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Разница между процентами, полученными банком и выплаченным по депозитам:
",прибыль,"дисконт
","спрэд
","маржа
","премия
",D,test,"Разница между процентами, полученными банком","и выплаченным по депозитам:
",Вариант А,"Следовательно, клиенту нужно внимательно изучить условия предложения, чтобы избежать неожиданных финансовых потерь от скрытых расчётов.",0.0,0.0,0.38,0.52,No
18481,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Период распространения звуковой волны с длиной равной 2,38 км в воздухе \((\vartheta_{звука}=340\; м/с)\)","2,3 мин",7 мс,143 c,7 c,,D,test,Период распространения звуковой волны с длиной равной,"2,38 км в воздухе \((\vartheta_{звука}=340\; м/с)\)",1 м,равной её частоте,0.0,0.0,0.36,0.45,No
18351,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Для плавления 0,5 кг льда, взятого при температуре плавления, необходимо количество теплоты (\(\lambda=3,4\cdot10^5\)Дж/кг)",\(17\cdot10^6\) Дж,"\(1,7\cdot10^5\) Дж","\(1,7\cdot10^4\) Дж",\(17\cdot10^5\) Дж,,B,test,"Для плавления 0,5 кг льда, взятого при температуре","плавления, необходимо количество теплоты (\(\lambda=3,4\cdot10^5\)Дж/кг)","334 кДж, чтобы растопить",требуется сообщить ему тепло,0.0,0.0,0.52,0.38,No
19564,https://ymnik.kz/tests_old/russian/?v=56,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),"Поэтическое слово, по мысли М.Цветаевой, есть равенство дара души и глагола.Укажите значение вводного словосочетания:",Порядок мыслей.,Различные чувства.,Оценка стиля высказывания.,Источник высказывания.,Уверенность.,D,test,"Поэтическое слово, по мысли М.Цветаевой, есть равенство дара",души и глагола.Укажите значение вводного словосочетания:,"А. Свобода слова.
Б. Ограничение слова.
В. Язык.
Г. Слово.","и всегда заслуживают уважения тех, кто их прочитает.",0.0,0.0,0.43,0.45,No
3876,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"Пропилен определяют по качественной реакции обесцвечивания бромной воды красновато-коричневый цвета. Выберите уравнение реакции, которое описывает данное изменение.",\(CH_2=CH_2 + Br_2 → CH_2Br–CH_2Br\),\(CH_2=CH–CH_3 + Br_2 → CH_2Br–CHBr–CH_3\),\(CH_2=CH_2 + HBr → CH_3–CH_2Br\),\(CH_2=CH–CH_3 + HBr → CH_3–CHBr–CH_3\),,B,test,Пропилен определяют по качественной реакции обесцвечивания бромной воды красновато-коричневый цвета.,"Выберите уравнение реакции, которое описывает данное изменение.",Ответ:,"Если после взаимодействия с бромной водой наблюдается изменение цвета с насыщенного окрашивания на бесцветное, то это свидетельствует о наличии двойных связей в молекуле пропилена.",0.0,0.0,0.64,0.69,No
6946,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Жер шарындағы тұщы судың үлесі.,"2,5%","9,65%","96,5%","0,25%",,A,test,Жер шарындағы тұщы,судың үлесі.,Бұл қандай түрлік ерекшелікке ие?,осындай жауап берууге болады.,0.0,0.0,0.35,0.44,No
2281,https://ymnik.kz/tests_old/biology/?v=18,STEM,Biology,High School,Russian,Biology (High School in rus),Разрушает древесину,мукор,трутовик,пеницилл,головня,спорынья,B,test,Разрушает,древесину,Что это значит?,В этом случае разрушает город,0.0,0.0,0.23,0.38,No
22568,https://ymnik.kz/tests_old/worldhistory/?v=52,Humanities,World_History,High School,Russian,World History (High School in rus),Упорное сопротивление монголам оказал город Шемаха на территории:,Хорезма,Афганистана,Азербайджана,Северной Индии,Северного Ирана,C,test,Упорное сопротивление монголам оказал город,Шемаха на территории:,Москвой,Казань,0.0,0.0,0.45,0.41,No
12749,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),"Еңбек нарығында ұсынылған жұмыс күшіне деген қоғамдық қажеттіліктердің жалпы көлемін бейнелейтін, оны бос жұмыс орындары бар жұмыс берушілер қалыптастыратын еңбек нарығының кұрамдасы:",Еңбек ұсынысы,Еңбекке сұраныс,Кәсіптік одақтар,Еңбек биржалары,,B,test,"Еңбек нарығында ұсынылған жұмыс күшіне деген қоғамдық қажеттіліктердің жалпы көлемін бейнелейтін, оны бос",жұмыс орындары бар жұмыс берушілер қалыптастыратын еңбек нарығының кұрамдасы:,"бейнелейтін, оны бос, сондықтан","оңтайлы және тиімді еңбек нарығында ұсынылған жұмыс күшіне деген қоғамдық қажеттіліктердің жалпы көлемін бейнелейтін, оны бос ете білуші және бөлінуіне байланысты жүзеге асатын шараларды қабылдауға мүмкіндік береді.",0.0,0.0,0.41,0.5,No
3059,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Егер бастапқы заттардың массалары бірдей болса қай кезде бөлінетін оттектің көлемі көп болады?,KClO3,HgO,H2O2,KMnO4,,C,test,Егер бастапқы заттардың массалары бірдей болса қай кезде,бөлінетін оттектің көлемі көп болады?,жолындағы қимылды қорғайтатын,"Егер бастапқы заттардың массалары бірдей болса, қай кезде кинетикалық энергияның өзгеру заңына негізделген есептеулер жүргізіледі?",0.0,0.0,0.52,0.33,No
17005,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),ПӘК-і 40% жылу қозғалтқышы қыздырғыштан 5 кДж жылу алған. Қозғалтқыштың жасаған жұмысы,1 кДж,3 кДж,2 кДж,5 кДж,,C,test,ПӘК-і 40% жылу қозғалтқышы қыздырғыштан 5 кДж жылу алған.,Қозғалтқыштың жасаған жұмысы,Осы мәселені шешудің,"Сонымен қатар, ұсақтайық есептеулер мен есепті қарастырып, төмендегідей нәтижені аламыз.",0.0,0.0,0.56,0.55,No
9335,https://ymnik.kz/tests_old/history_kz/?v=28,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Керей мен Жәнібек қай мемлекет жерінде Қазақ хандығын құрған?,Моңғолия.,Моғолстан.,Өзбекстан.,Татарстан.,Қырғызстан.,B,test,Керей мен Жәнібек қай мемлекет,жерінде Қазақ хандығын құрған?,"А) Қазақстанның, Ә) Қазақстан, Б) Қазақстан, В) Қазақстан. Жоғары дәреже",,0.0,0.0,0.27,0.22,No
7417,https://ymnik.kz/tests_old/geography/?v=37,Social Science,Geography,High School,Russian,Geography (High School in rus),"Государство имеет такую форму административно-территориального устройства, при которой в стране существует единая законодательная власть",Федерация,Республика,Унитарное,Конфедерация,Конституционная монархия,C,test,"Государство имеет такую форму административно-территориального устройства, при которой",в стране существует единая законодательная власть,"Государство имеет такую форму административно-территориального устройства, при которой оно подразделяется на регионы",при которой центральный орган осуществляет полный контроль над деятельностью всех уровней власти,0.0,0.0,0.67,0.65,No
20696,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"__________________ — политическая система, которая исключает участие народа в управлении государством.
","Бюрократия
",Тоталитаризм,Элитаризм,"Демократия
","Авторитаризм
",E,test,"__________________ — политическая система, которая исключает участие","народа в управлении государством.
",Авторитаризм,Авторытаризм,0.0,0.0,0.4,0.43,No
9143,https://ymnik.kz/tests_old/history_kz/?v=31,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),«Несториандық» христиандарды қудалауға негіз болған 431 жылғы жоғары дін басыларының жиналысы:,Эфес соборы.,Рим соборы.,Ватикан соборы.,Византия соборы.,Никей соборы.,A,test,«Несториандық» христиандарды қудалауға негіз болған 431 жылғы,жоғары дін басыларының жиналысы:,түсіндірме берілсін,"Екінші орындық жинақтама және Оқиға тексеруі үшін «Христиан діни мейірімділігіне» сілтеме берілмей, **«Оқиғаның атты»** деп атауға болады. Бұл мәселені шешу үшін **«431 жылғы Ефес конгрегациясы»** деген сөз тіркесті қолдану керек болар еді.",0.0,0.0,0.41,0.57,No
6349,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Тынық мұхиттағы ең үлкен жанартаулық аралдар тобын көрсетіңіз.,Отты Жер,Фиджи,Гавай,Филиппин,,C,test,Тынық мұхиттағы ең үлкен жанартаулық,аралдар тобын көрсетіңіз.,...,,0.0,0.0,0.47,0.66,No
11238,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Болымсыздық демеулігін табыңыз.,Тегіс,Түгел,Түгіл,Тұрған,,C,test,Болымсыздық демеулігін,табыңыз.,әдістемелерге,,0.0,0.0,0.63,0.45,No
16745,https://oltest.kz/tests/filosofiya_i_psihologiya/,Humanities,Philosophy and psychology,University,Russian,Philosophy and Psychology (Professional & University in rus),"Впервые идею о неразделимости души и живого тела выдвинул:
",Аристотель,Платон,Пифагор,"Демократ
","Сократ
",A,test,Впервые идею о неразделимости души,"и живого тела выдвинул:
",Вопрос:,Такая концепция заложила основу для последующих философских открытий и научных исследований.,0.0,0.0,0.44,0.36,No
1740,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),К многоклеточным организмам относится,Губка,Вольвокс,Эвглена,Фораминиферы,,A,test,К многоклеточным,организмам относится,относится к растениям и животным,В отличие от одноклеточных,0.0,0.0,0.42,0.45,No
2168,https://ymnik.kz/tests_old/biology/?v=33,STEM,Biology,High School,Russian,Biology (High School in rus),Реснички - органы передвижения,эвглены зеленой,арцеллы,инфузории-туфельки,хламидомонады,вольвокса,C,test,Реснички -,органы передвижения,это микроскопические образования,"Реснички - это микроскопические волоски на телёнок, которые помогают животным и растениям передвигаться и дышать.",0.0,0.0,0.51,0.5,No
2445,https://oltest.kz/tests/biologiya/,STEM,Biology,University,Russian,Biology (Professional & University in rus),"Виды растений и животных, относящиеся ко второй категории Красной Книги:","
Сокращающиеся в численности виды",Исчезающие виды,Восстановленные виды,"
Неизвестные виды",Редкие виды,A,test,"Виды растений и животных, относящиеся ко",второй категории Красной Книги:,относящимися к ним,"Виды растений и животных, относящиеся ко этим видам",0.0,0.0,0.4,0.36,No
10142,https://ymnik.kz/tests_old/history/?v=13,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Назовите мятежный район, где численность восставших в 1930 г. достигла 5 тыс. человек:",Моюнкумы,Шемонаиха,Каркаралинск.,Сузак,Каракумы,E,test,"Назовите мятежный район, где численность восставших в 1930 г. достигла 5 тыс.",человек:,какий,"В данном разделе текста речь идет об одном из районов Крыма или Южных регионов, где в конце XIX — начале XX века формировались восстания против советского режима. Однако на основе предоставленного факта о численности восставших в 1930 году (5 тыс.) наиболее вероятным историческим контекстом является упоминание о районах, связанных с крестьянской или трудовой повинностью, таких как Херсонская губерния или Донбасс в годы Гражданской войны. Если имеется в виду конкретный исторический регион, ответ может варьироваться, но продолжение текста логично завершить указанием конкретного места (например, «В районе Херсона» или аналогично) либо дать пояснение к факту.",0.0,0.0,0.55,0.69,No
10735,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Жұрнақ жалғану арқылы жасалған жаңа сөзді көрсетіңіз.,"Ғарышкер, зейнеткер","Ғарыш, үнқағаз","Бейнетаспа, кеден","Ермексаз, сынып",,A,test,Жұрнақ жалғану арқылы жасалған,жаңа сөзді көрсетіңіз.,қателіктердің,"Осы құрылымның ерекшелігіне байланысты тапсырманы дұрыс толтыруға болады, сондай-ақ нақты мағынаға қатысты кезеңдерді анықтау үшін ""Жұрнақ жалғану арқылы жасалған"" терминінің контексті белгілеу керек.",0.0,0.0,0.52,0.47,No
10617,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Празд­нество у казахов по поводу рождения ребенка,Укы тагу,Шильдехана,Кудалык,Аластау,,B,test,Празд­нество у казахов по,поводу рождения ребенка,по какому празднику?,по традициям,0.0,0.0,0.37,0.39,No
1766,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),"Животное, имеющее раздвоенный язык",Рептилии,Птицы,Моллюски,Рыбы,,A,test,"Животное, имеющее раздвоенный",язык,"Животное, имеющее раздвоенный живот, является амфибий",... хвостом.,0.0,0.0,0.33,0.34,No
16546,https://oltest.kz/tests/medicina/,STEM,Medicine,University,Russian,Medicine (Professional & University in rus),"В костях взрослого человека органические вещества составляют:
",0.63,0.12,0.33,0.9,0.3,C,test,В костях взрослого человека,"органические вещества составляют:
",они имеют более высокую плотность,"В костях взрослого человека находятся кости разных размеров, каждый из которых выполняет свою важную роль в формировании тела.",0.0,0.0,0.57,0.5,No
20735,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"__________________ — форма социальной организации, при которой мужчины господствуют над женщинами.
",Патриархат,"Глава семейства
","Интеллектуальность
","Физическая сила
","Матриархат
",A,test,"__________________ — форма социальной организации, при которой","мужчины господствуют над женщинами.
",«Государство»,"Правительственный аппарат — форма социальной организации, при которой осуществляется централизованное управление общественными интересами.",0.0,0.0,0.33,0.33,No
22663,https://ymnik.kz/tests_old/worldhistory/?v=30,Humanities,World_History,High School,Russian,World History (High School in rus),В III в.до н.э.почти все индийские царства объединил под своей властью:,Ашшурбанапал,Хаммурапи,Ашока,Валтасар,Камбиз,C,test,В III в.до н.э.почти все индийские царства,объединил под своей властью:,и были раздроблены,...были объединены в единое государство,0.0,0.0,0.77,0.48,No
3015,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),"Гидролиздегенде осы ретпен сілтілік, қышқылдық орта көрсететін тұздар қатары","\(Al_2S_3,Na_3PO_4,NaNO_3\)","\(CrCl_3,K_2SO_4, LiNO_3\)","\(Li_2SO_4,KNO_3,FeSO_4\)","\(K_2CO_3,NH_4Cl, AlCl_3\)",,D,test,"Гидролиздегенде осы ретпен сілтілік, қышқылдық",орта көрсететін тұздар қатары,дұрыс ба?,Бұл құбылыстың негізгі факторының тәнсіз болуына қарай...,0.0,0.0,0.48,0.61,No
13135,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Шығармашылықты түйсіктің көрінісі ретінде бағалаған ғалым,Б.Рассел,Ф.Шеллинг,З.Фрейд,Сократ,,C,test,Шығармашылықты түйсіктің көрінісі ретінде,бағалаған ғалым,...құндылықтарды бағалайды.,"Осылайша, түйсіктің көрінісі ретінде шығармашылықты дамыту бойынша адамдардың ішкі қайыптарын қалыптастыру қажет. Бұл тұлғаның қолдану дәлелденді.",0.0,0.0,0.42,0.65,No
16178,https://itest.kz/ru/endless,Humanities,Math_Literacy,High School,Russian,Math Literacy (High School in rus),Стоимость покупки с учетом 3% скидки по дисконтной карте составила 1746 тенге. Сколько пришлось бы заплатить за покупку при отсутсвии дисконтной карты?,1758 тг,1824 тг,1800 тг,1762 тг,,C,test,Стоимость покупки с учетом 3% скидки по дисконтной карте составила 1746 тенге.,Сколько пришлось бы заплатить за покупку при отсутсвии дисконтной карты?,Какова была первоначальная цена товара?,"Следовательно, первоначальная стоимость товара равна 1800 тенге.",0.0,0.0,0.73,0.75,No
13660,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),"Организованная система социальных связей и норм, призванная удовлетворить основные потребности общества, социальных групп и личности",Социальная структура,Социальная группа,Социальный институт,Социальная организация,,C,test,"Организованная система социальных связей и норм, призванная удовлетворить основные","потребности общества, социальных групп и личности",общечеловеческих ценностей,"Организованная система социальных связей и норм, призванная удовлетворить основные потребности общества",0.0,0.0,0.76,0.74,No
137,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),"
Что не относится к группе основные средства?","
инструменты",рабочий продуктивный скот,"
незавершенное производство",предметы административного и хозяйственного назначения,"
многолетние насаждения",C,test,"
Что не относится к",группе основные средства?,Варианты ответа,в списке.,0.0,0.0,0.32,0.37,No
5307,https://oltest.kz/tests/vospitanie_i_obuchenie/,Humanities,Education and training ,University,Russian,Education and Training (Professional & University in rus),"Содержательно–процессуальную, или внутреннюю, сторону учебного процесса характеризует:
","Метод обучения
","Форма организации обучения
","Принцип обучения
","Все ответы неверны
","Технические средства обучения
",A,test,"Содержательно–процессуальную, или внутреннюю, сторону","учебного процесса характеризует:
",При применении к делу,необходимой является детальное исследование внутренней конструкции юридических фактов.,0.0,0.0,0.42,0.29,No
20072,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Автор поэтического сборника «Листопад» (1901 г.),А.А. Фет,И.А. Бунин,Ф.И. Тютчев,Б.Л. Пастернак,,B,test,Автор поэтического сборника «Листопад»,(1901 г.),Кто является автором?,«Автор поэтического сборника «Листопад» — Сергей Есенин.»,0.0,0.0,0.83,0.77,No
14137,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Түбірдің мәнін табыңыз.
 \(\sqrt{0,87\cdot49+0,82\cdot49}\)","9,1","1,3","82,81",91,,A,test,Түбірдің мәнін табыңыз.,"\(\sqrt{0,87\cdot49+0,82\cdot49}\)",Түбірдің мәнін табыңыз. Жауабы: А,Түбірдің мәнін табыңыз. Мәтінді оқып шығыңыз.,0.0,0.0,0.69,0.53,No
14549,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Бөлуді орындаңыз.
 \(\frac{8c}{21d^2}:\frac{6c^2}{7d}\)",\(\frac{4}{9dc}\),\(\frac{8}{9dc}\),\(\frac{1}{9dc}\),\(\frac{5}{9dc}\),,A,test,Бөлуді орындаңыз.,\(\frac{8c}{21d^2}:\frac{6c^2}{7d}\),Бұл сұрақтың жауабы,Бөлуді орындаңыз. Бұл жолдың басты ережесі болашақтың алдын ала қарайтын ерекшелік.,0.0,0.0,0.36,0.59,No
