question,choice_A,choice_B,choice_C,choice_D,answer,category,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
How can polarized light be produced using a dichroic material such as Polaroid film?, selective absorption, refraction, reflection, None of the other choices,A,,val,How can polarized light be produced using a,dichroic material such as Polaroid film?,polaroid filter?,"How can polarized light be produced using a **polarizing filter?**

When unpolarized light (which vibrates in all directions perpendicular to its path) passes through a polarizing filter, the filter acts like a series of parallel slats. It blocks light waves vibrating in directions other than the angle of the filter's axis, allowing only the waves aligned with that axis to pass through. The result is a beam of light where the electric field oscillates in a single plane, known as polarized light.

Common methods to produce polarized light include:
1.  **Transmission through a Polaroid filter:** As described above.
2.  **Reflection:** Light reflecting off non-metallic surfaces (like water or glass) at a specific angle (Brewster's angle) becomes partially or fully polarized parallel to the surface.
3.  **Scattering:** When sunlight scatters off molecules in the atmosphere, the scattered light becomes partially polarized (this is why the sky appears polarized).
4.  **Birefringence:** Passing light through certain crystals (like calcite) that split the light into two rays with different polarizations.",0.02,0.25,0.47,0.68
What does the abbreviation 'CSCE' represent?, Collective Security in Conservation of Energy, Collective System of Cooperation on Environment, Common Security and Common Economic Growth, Conference on Security and Co-operation in Europe,D,,val,What does the abbreviation,'CSCE' represent?,"""CF"" stand for?",stand for?,0.0,0.0,0.55,0.55
Which of the following methods is most suitable for the long-term storage of microbial samples when executed correctly?, Storage in a freezer at ultra low temperatures (-70°C), Storage on a petri plate at room temperature, Storage in a freezer at -10°C, None of the other choices,A,,val,Which of the following methods is most suitable for the long-term,storage of microbial samples when executed correctly?,storage of large amounts of data in a distributed system?,storage of biological samples?,0.55,0.24,0.69,0.51
A product's value is composed of:, proprietary characteristics and attributes for which customers are willing to pay., proprietary characteristics and attributes for which customers consider paying., performance characteristics and attributes for which customers consider paying., performance characteristics and attributes for which customers are willing to pay.,D,,val,A product's value is,composed of:,determined by the market.,"determined not by its cost to create, but by the perceived benefit it delivers to the customer.",0.0,0.0,0.61,0.62
"Which of the following temples was built by Lokamahadevi, the senior queen of Chalukya ruler Vikramaditya II?", Virupaksha temple at Pattadakal, Meguti temple at Aihole, Vaikuntha Perumal temple at Kanchipuram, Draupadi Rath at Mamallapuram,A,,val,"Which of the following temples was built by Lokamahadevi, the",senior queen of Chalukya ruler Vikramaditya II?,"wife of King Vikramaditya?
A. Kailash Temple
B. Konark Sun Temple
C. Khajuraho Group of Monuments
D. Brihadeeswarar Temple","wife of the Chola emperor Rajaraja I, and is famous for its massive Nandi statue?",0.09,0.15,0.61,0.64
What is the product when isopropyl methyl ketone is treated with zinc amalgam and concentrated hydrochloric acid?, neo-pentane, iso-pentane, iso-butane, n-pentane,B,,val,What is the product when isopropyl methyl ketone is treated,with zinc amalgam and concentrated hydrochloric acid?, with excess methylmagnesium bromide followed by acidic workup?,"with sodium amide (NaNH₂) followed by water? The product is **isopropyl methyl ketone** itself, as the reaction conditions do not lead to a chemical transformation of the ketone under these specific circumstances.

However, if the question implies a standard nucleophilic addition or a different reagent (such as a Grignard reagent or hydride source), the answer would vary. For instance:
- With a **Grignard reagent** (e.g., methylmagnesium bromide) followed by acid workup, the product would be **2-methyl-2-butanol**.
- With a **hydride reducing agent** (e.g., NaBH₄ or LiAlH₄), the product would be **2-propanol** (isopropyl alcohol) if the carbonyl is reduced, though isopropyl methyl ketone specifically yields **2-butanol** upon reduction.

If the context refers to an **aldol condensation** or similar carbon-carbon bond-forming reaction, additional details about the reagents and conditions are required to determine the exact product. Without further specification, the most common textbook reaction involving isopropyl methyl ketone (methyl ethyl ketone) is its reduction to **2-butanol** or its alkylation to form higher alcohols.",0.02,0.13,0.45,0.51
What protein is associated with Creutzfeld-Jacob disease (CJD)?, Myosin, Keratin, Prion, Myoglobin,C,,val,What protein is associated with,Creutzfeld-Jacob disease (CJD)?,the regulation of cell division?,the regulation of cell division and is often overexpressed in certain cancers?,0.0,0.0,0.4,0.39
"In Chaucer's Canterbury Tales, who is the character that wears a gold brooch inscribed with ""Love conquers all"" in Latin?", The Nun, The Doctor, The Prioress, The Wife of Bath,C,,val,"In Chaucer's Canterbury Tales, who is the character that wears a gold","brooch inscribed with ""Love conquers all"" in Latin?",ring and is known for his greed?,"In Chaucer's Canterbury Tales, who is the character that wears a gold ring on his thumb? The answer is the **Pardoner**. In the General Prologue, Chaucer describes him as having a ""gold ring on his thumb"" (a ""gylle ringe""), which he uses to display his wealth and authority while preaching false sermons to earn money.",0.03,0.0,0.42,0.45
Who developed the concept of Theasuro-Facet?, Jean Aitkinson, Ranganathan, None of the other choices, Derek Austin,A,,val,Who developed the concept,of Theasuro-Facet?,"of the ""Big Bang"" theory?",of the theory?,0.33,0.25,0.49,0.38
"A vertical rectangular plane surface is submerged in water, with its top edge at 1.5 meters and its bottom edge at 6.0 meters below the water's surface. What is the distance from the free surface to the center of pressure?", 4.2m, None of the other choices, 4.0 m, 4.5m,A,,val,"A vertical rectangular plane surface is submerged in water, with its top edge at 1.5 meters and its bottom edge at 6.0 meters below the water's surface.",What is the distance from the free surface to the center of pressure?,The depth of the centroid of the surface is 3.75 meters.,"Given that the top edge is at a depth of 1.5 meters and the bottom edge is at 6.0 meters, the total height of the submerged surface is 4.5 meters. Assuming the surface is vertical, the centroid (geometric center) of the plane lies at a depth of 3.75 meters below the water's surface.",0.2,0.24,0.61,0.66
What is a typical error parents tend to make when attempting to curb unwanted behaviors?, None of the other choices, They use punishment too frequently.," They use intermittent punishment, when they should be using intermittent schedules of reinforcement.", They create intermittent schedules of reinforcement when they think they are punishing.,D,,val,What is a typical error parents tend to make,when attempting to curb unwanted behaviors?,when raising children?,when they try to fix every problem for their children instead of teaching them how to solve them themselves.,0.16,0.22,0.7,0.66
How can a short circuit be detected?, a meggar, an ammeter, an ohmmeter, an oscillscope,C,,val,How can a short,circuit be detected?,circuit be used to measure the temperature of a room?,How can a short story be so long?,0.18,0.31,0.37,0.46
"Which gymnastic position is commonly used to finish a back extension and cartwheel, where the weight is borne on one leg, the other leg is extended straight behind with the toe pointed, and the chest remains upright?", None of the other choices, Lunge, Relev or Releve, Pli or Plie,A,,val,"Which gymnastic position is commonly used to finish a back extension and cartwheel, where the weight is borne on one leg, the","other leg is extended straight behind with the toe pointed, and the chest remains upright?","weight is borne on one leg, the other leg is extended straight up in the air, and the arms are raised overhead.","knee is bent, and the other leg is extended backward with the foot pointed, while the arms are raised overhead or held in a specific position to maintain balance and complete the movement.",0.37,0.43,0.7,0.65
MALT makes up approximately ... percent of the lymphoid tissue in the human body.,10%, None of the other choices,70%,20%,B,,val,MALT makes up approximately ... percent of the,lymphoid tissue in the human body.,total area of the Maltese Islands.,MALT makes up approximately 10 to 15 percent of the total body protein in a healthy adult.,0.17,0.17,0.42,0.46
"For administering a cleansing enema, what is the common position used?", Supine, Prone, Sims left lateral, Dorsal Recumbent,C,,val,"For administering a cleansing enema, what is",the common position used?,the correct position for the patient?,"the correct procedure? First, wash your hands thoroughly and gather all necessary supplies, including a pre-lubricated enema kit, a clean basin, and privacy. Lie on your left side with your knees drawn up toward your chest to facilitate the flow of fluid into the colon. Slowly insert the nozzle into the rectum, ensuring it is well-lubricated to prevent discomfort, and gently squeeze the bulb or bag to allow the solution to enter. Remain in this position for several minutes to let the fluid work, then stand up and walk to the toilet to evacuate. Always follow the specific instructions provided with the product or as directed by a healthcare professional.",0.03,0.4,0.51,0.7
"In the powder method, the powder sample is held in which of the following?", Thin walled flask, Thin walled test tube, Thin walled curvettes, Thin walled glass capillary tubes,D,,val,"In the powder method, the powder sample is",held in which of the following?,placed in a glass tube and heated to a high temperature.,"In the powder method, the powder sample is placed in a sample holder and subjected to X-ray radiation to produce a diffraction pattern, which is then analyzed to determine the material's crystal structure and phase composition.",0.14,0.12,0.41,0.56
"In a complete binary tree with a depth of 4, how many nodes have no successors?",8, None of the other choices,0,16,A,,val,In a complete binary tree with a depth of,"4, how many nodes have no successors?"," 5, what is the maximum number of nodes it can have?","In a complete binary tree with a depth of $d$ (where the root is at depth 0), the maximum number of nodes is $2^{d+1} - 1$. However, since the tree is ""complete"" rather than ""perfect,"" the number of nodes $n$ can range from $2^d$ to $2^{d+1} - 1$. This means the tree is filled level by level, with all levels except possibly the last being completely full, and the last level having all its nodes as far left as possible.",0.02,0.22,0.44,0.6
"On a black sheet of paper, two small white dots are spaced 1 mm apart. If an eye with a pupil diameter of approximately 3 mm observes them, what is the maximum distance at which these dots can still be seen as separate? Assume the wavelength of light λ is 500 nm.", 6m, 5m, 1m, 3m,B,,val,"On a black sheet of paper, two small white dots are spaced 1 mm apart. If an eye with a pupil diameter of approximately 3 mm observes them, what is the maximum distance at which these dots can still be seen as separate?",Assume the wavelength of light λ is 500 nm.,"A. 1.5 m
B. 2.5 m
C. 3.5 m
D. 4.5 m","To solve this, we apply the Rayleigh criterion for the diffraction limit of resolution. The minimum angular separation $\theta$ required to distinguish two point sources is given by $\theta = 1.22 \frac{\lambda}{D}$, where $\lambda$ is the wavelength of light and $D$ is the diameter of the aperture (the pupil). Assuming a standard visible light wavelength of approximately 550 nm (green light, where the eye is most sensitive), we have $\lambda \approx 5.5 \times 10^{-7}$ m and $D = 3$ mm $= 3 \times 10^{-3}$ m.

Calculating the minimum angular resolution:
$$ \theta = 1.22 \times \frac{5.5 \times 10^{-7} \text{ m}}{3 \times 10^{-3} \text{ m}} \approx 2.24 \times 10^{-4} \text{ radians} $$

The maximum distance $L$ at which the dots remain separate is found using the small-angle approximation $\theta \approx \frac{s}{L}$, where $s$ is the separation between the dots (1 mm $= 10^{-3}$ m). Rearranging for $L$:
$$ L = \frac{s}{\theta} = \frac{10^{-3} \text{ m}}{2.24 \times 10^{-4}} \approx 4.46 \text{ meters} $$

Therefore, the maximum distance at which the two dots can still be seen as separate is approximately **4.5 meters**.",0.06,0.0,0.52,0.69
"In which essay did Eliot's theory of the ""objective correlative"" appear?", The Metaphysical Poets, Hamlet, Three voices of Poetry, Tradition and the Individual Talent,B,,val,In which essay did Eliot's theory of,"the ""objective correlative"" appear?","the ""objective correlative"" appear?","In which essay did Eliot's theory of the objective correlative first appear? It was introduced in his seminal 1919 work, **""Hamlet and His Problems,""** where he argued that a poet must find ""a set of objects, a situation, a chain of events which shall be the formula of that particular emotion; such that when the external facts, which must terminate in sensory experience, are given, the emotion is immediately evoked.""",0.11,1.0,0.48,0.98
"Pointing to a photograph, a man remarked, ""I have no siblings, but that man’s father is the son of my father."" Whose photograph is it?", His Cousin's, His uncle's, His nephew's, His son's,D,,val,"Pointing to a photograph, a man remarked, ""I have no siblings, but that man’s father is the son of my father.""",Whose photograph is it?,"The relationship between the man in the photograph and the speaker is that of:
A. Father
B. Brother
C. Son
D. Uncle","""That man is my son.""",0.22,0.15,0.74,0.71
Which of the following statements accurately describes Oracle Cloud Infrastructure's Object Storage Service?, An Archive Object Storage tier bucket can be upgraded to the Standard Object Storage tier., You cannot directly download an object froman Archive Object Storage bucket., None of the other choices, An existing Standard Object Storage tier bucket can be downgraded to the Archive Object Storage tier.,B,,val,Which of the following statements accurately describes Oracle,Cloud Infrastructure's Object Storage Service?, Database Cloud Service?,"Which of the following statements accurately describes Oracle?

**Answer:** Oracle is a multinational computer technology corporation known for developing and marketing database software and technology, cloud engineered systems, and enterprise software products. Founded in 1977, the company is best known for its Oracle Database, which is a leading relational database management system (RDBMS) used by millions of organizations worldwide. Oracle also provides a comprehensive suite of cloud services through Oracle Cloud Infrastructure (OCI), applications for human capital management, supply chain, and customer experience, and hardware solutions including servers and storage systems. The company is publicly traded on the New York Stock Exchange under the ticker symbol ORCL and is headquartered in Austin, Texas.",0.05,0.44,0.49,0.6
"What properties result from different concentrations of a solute in a solvent, regardless of the solute's specific nature in relation to the solvent?", Extensive properties, Colligative properties, Intensive properties, None of the other choices,A,,val,"What properties result from different concentrations of a solute in a solvent, regardless of",the solute's specific nature in relation to the solvent?,the nature of the solvent?,"the identity of the solvent or solute? This phenomenon, known as colligative properties, depends solely on the number of solute particles present in a solution rather than their chemical nature. Common examples include boiling point elevation, freezing point depression, osmotic pressure, and vapor pressure lowering.",0.11,0.53,0.6,0.86
"If arctan(3) + arctan(x) = arctan(8), what is the value of x?",5, \(\frac{1}{5}\), \(\frac{5}{14}\), None of the other choices,B,,val,"If arctan(3) + arctan(x) = arctan(8), what",is the value of x?,is the value of x?,"is the value of $x$?

To solve for $x$, we can use the tangent addition formula:
$$ \tan(A + B) = \frac{\tan A + \tan B}{1 - \tan A \tan B} $$

Let $A = \arctan(3)$ and $B = \arctan(x)$. Then:
$$ \tan(\arctan(3) + \arctan(x)) = \tan(\arctan(8)) $$

Substituting the values:
$$ \frac{3 + x}{1 - 3x} = 8 $$

Now, solve for $x$:
$$ 3 + x = 8(1 - 3x) $$
$$ 3 + x = 8 - 24x $$
$$ 25x = 5 $$
$$ x = \frac{5}{25} = \frac{1}{5} $$

**Answer:** $x = \frac{1}{5}$ (or 0.2)",0.11,1.0,0.57,0.97
"Mr. Harper often yelled at Mrs. Harper for unnecessarily trumping cards during their bridge games. Rather than improving her gameplay, Mrs. Harper quit playing bridge entirely. This scenario exemplifies what?", the punisher feeling reinforced for giving out punishment., None of the other choices, the punished individual turning the punishment into reinforcement., the punished individual learning to dislike the punisher.,B,,val,"Mr. Harper often yelled at Mrs. Harper for unnecessarily trumping cards during their bridge games. Rather than improving her gameplay, Mrs. Harper quit playing bridge entirely.",This scenario exemplifies what?,"Mr. Harper often yelled at Mrs. Harper for unnecessarily trumping cards during their bridge games. Rather than improving her gameplay, Mrs. Harper quit playing bridge entirely. This is an example of the _______ effect.","Consequently, the couple's weekly bridge nights were replaced by quiet evenings where Mr. Harper would play solitaire alone, occasionally sighing at the empty chair across from him.",0.0,0.05,0.61,0.77
Which one of the following statements about a microcontroller is INCORRECT?, It is less flexible from the design point of view compared to a microprocessor., It has many bit handling instructions., It has a separate memory map for data and code., It has more than two instructions to move data between memory and CPU.,D,,val,Which one of the following statements about,a microcontroller is INCORRECT?,the relationship between the size of a country's population and its economic growth rate is true?,the options provided is true?,0.22,0.19,0.4,0.36
"Level of Difficulty: 2, Page Reference: 316
42) Which of the following is not a characteristic of smooth muscle?", it appears to lack troponin, there are more thick filaments than thin filaments, there are no sarcomeres, None of the other choices,B,,val,"Level of Difficulty: 2, Page Reference: 316
42) Which of the following",is not a characteristic of smooth muscle?,"is the correct answer?
A) 1
B) 2
C) 3
D) 4
E) 5",is the correct answer?,0.18,0.19,0.51,0.5
Which gland or cell is responsible for secreting the lipid layer of the tear film?, Orbital gland, Lacrimal gland, Tarsal gland, Goblet cells,C,,val,Which gland or cell is responsible for secreting the,lipid layer of the tear film?,hormone that regulates blood sugar levels?,"Which gland or cell is responsible for secreting the hormone insulin? The pancreas, specifically the beta cells within the Islets of Langerhans, is responsible for secreting insulin. This hormone plays a critical role in regulating blood glucose levels by facilitating the uptake of glucose into cells for energy or storage.",0.07,0.0,0.36,0.45
"In a standard sort and shuffle phase of MapReduce, how are keys and values presented and passed to the reducers?", Keys are presented to reducer in sorted order; values for a given key are sorted in ascending order., Keys are presented to a reducer in random order; values for a given key are sorted in ascending order., Keys are presented to reducer in sorted order; values for a given key are not sorted., Keys are presented to a reducer in random order; values for a given key are not sorted.,C,,val,"In a standard sort and shuffle phase of MapReduce, how are keys",and values presented and passed to the reducers?, grouped?,grouped together and sorted in ascending order by the framework before being passed to the reducers.,0.42,0.0,0.69,0.62
________ signifies the principle of causing no harm and is generally ________ in nature., Nonmaleficence; proactive, Beneficence; proactive, None of the other choices, Nonmaleficence; reactive,D,,val,________ signifies the principle of causing no harm,and is generally ________ in nature.,A. Ahimsa,Ahimsa signifies the principle of causing no harm.,0.0,0.0,0.69,0.58
"Identify three activities, tools, and techniques commonly employed in current network design processes.", Analyzing network traffic, Network auditing, Filtering incoming network traffic, Simulation of network traffic,A,,val,"Identify three activities, tools, and techniques commonly employed",in current network design processes., in the field of data science.,"in project management to effectively plan, execute, and control tasks. These include:

1.  **Activities**: Defining specific work packages or tasks required to achieve project objectives, such as conducting stakeholder interviews or developing a risk register.
2.  **Tools**: Utilizing software and resources like Gantt charts for scheduling, Microsoft Project for resource allocation, or collaborative platforms like Jira and Trello for task tracking.
3.  **Techniques**: Applying methodologies such as the Critical Path Method (CPM) to determine the longest sequence of dependent tasks, or the Delphi technique to gather expert opinions for forecasting.",0.02,0.18,0.49,0.65
The Nan Hua Jing (南華經) classics, contains the teachings of Mencius, contains the teachings of Confucius, None of the other choices, contains the teachings of Lao Tzu,C,,val,The Nan Hua Jing,(南華經) classics,"is a Daoist text that was written in the 4th century CE. It is one of the most important texts in the Daoist canon and is considered to be the foundation of the Quanzhen school of Daoism. The text is divided into three parts: the first part is called the ""Great Perfection of the Way,"" the second part is called the ""Great Perfection of the Way and Virtue,"" and the third part is called the ""Great Perfection of the Way and Virtue and the Great Perfection of the Way and Virtue."" The text is written in a style that is both poetic and philosophical, and it is filled with metaphors and allegories that are meant to convey the deepest truths of the Dao. The text is also known for its emphasis on the importance of meditation and the cultivation of the inner self.","The *Nan Hua Jing* (Classic of the Southern Flower), also known as the *Nan Hua Pin Jing* or the *Scripture of the Southern Flower*, is a significant Mahayana Buddhist text that emerged during the Tang Dynasty in China. It is attributed to the Indian monk Śubhakarasiṃha (also known as Vajrabodhi) and his disciple Amoghavajra, who translated it into Chinese around 703–704 CE. The text is closely associated with the Huayan (Avatamsaka) school of Buddhism and elaborates on the concept of the ""Southern Flower"" as a metaphor for the ultimate truth or the Buddha-nature that blossoms within all sentient beings.

The *Nan Hua Jing* emphasizes the interpenetration of all phenomena, the non-duality of samsara and nirvana, and the idea that the entire universe is a manifestation of the Buddha's wisdom. It draws heavily on the imagery of the Avatamsaka Sutra, particularly the metaphor of the flower that contains the entire cosmos within its petals, symbolizing the unity and interconnectedness of all things. The text also discusses the practice of meditation, the cultivation of compassion, and the path to enlightenment, urging practitioners to realize their inherent Buddha-nature and to act in harmony with the natural order of the universe.

In the context of Chinese Buddhist literature, the *Nan Hua Jing* played a crucial role in shaping the philosophical and spiritual foundations of the Huayan school, influencing both monastic practice and lay devotion. Its teachings continue to be studied and revered today, offering profound insights into the nature of reality and the potential for liberation that lies within every being.",0.0,0.0,0.47,0.44
What is the color temperature of a candle flame?, 1850K., 1830K., 1840K., None of the other choices,A,,val,What is the color temperature,of a candle flame?,of a candle flame?,"of the light source you are using? It is measured in Kelvin (K) and determines whether the light appears warm (yellowish, like a candle) or cool (bluish, like daylight).",0.18,1.0,0.56,0.96
How does adaptive optics improve the resolution of telescope images through the rapid use of a computer?, combine the light collected by several connected telescopes., trigger a laser to heat up the atmosphere., adjust the shape of the mirror., change the humidity inside the tube.,C,,val,How does adaptive optics improve the resolution of telescope images,through the rapid use of a computer?,by compensating for atmospheric turbulence,"by compensating for atmospheric distortion. Earth's atmosphere acts like a shimmering lens, causing starlight to blur and twinkle, which severely limits the resolving power of ground-based telescopes. Adaptive optics systems counteract this by using a wavefront sensor to measure the incoming light's distortions in real-time. A deformable mirror, controlled by a computer, then rapidly adjusts its shape—often hundreds of times per second—to cancel out these distortions. This process allows ground-based telescopes to achieve image clarity and resolution that rivals or even surpasses those of space-based observatories like the Hubble Space Telescope.",0.08,0.0,0.56,0.52
What is the size of a plane table?, 300 mm x 450 mm, 450 mm x 600 mm, 600 mm x 750 mm, 750 mm x 900 mm,C,,val,What is the size of,a plane table?,the largest known star in the universe?,the universe?,0.0,0.0,0.46,0.39
"What has a person exercised when they successfully make a decision despite the lack of an obvious model, rule, or reliable and complete data?", judgment., None of the other choices, effective strategic thinking., foresight,A,,val,What has a person exercised when they successfully make a decision despite the lack,"of an obvious model, rule, or reliable and complete data?",of information?,"of information or certainty? This quality is known as **decisiveness** or **judgment**. It involves the ability to weigh available options, assess potential risks, and commit to a course of action even when the outcome is not guaranteed. True decisiveness is not about having all the answers, but about having the confidence to move forward with the best information at hand, thereby avoiding the paralysis that often comes from overthinking or waiting for perfect conditions.",0.07,0.17,0.56,0.71
Which of the following is a crucial guideline to follow when giving medications to a patient?, Documenting the medication administration after the fact, Administering medications prescribed to another patient in the same room, Administering the medication in any form the patient prefers, Checking the patient’s identification before administration,D,,val,Which of the following is a crucial guideline to,follow when giving medications to a patient?,follow when writing a research paper?,follow when writing a research paper?,0.46,0.46,0.52,0.52
"What is the term for the idea that a manager's ability to make completely rational decisions is limited by internal and external environmental influences, as well as by their own traits and decision-making skills?", objective rationality, None of the other choices, A & B., values,B,,val,What is the term for the idea that a manager's ability to make completely rational decisions is limited by internal,"and external environmental influences, as well as by their own traits and decision-making skills?",and external constraints?,"factors such as cognitive limitations, incomplete information, and emotional biases? This concept is known as **bounded rationality**.

Coined by Herbert Simon in the 1950s, bounded rationality challenges the traditional economic assumption that managers are ""homo economicus""—perfectly rational actors who always maximize utility. Instead, Simon argued that decision-makers operate under constraints: they have limited knowledge of all available options, cannot process vast amounts of data simultaneously, and often rely on heuristics (mental shortcuts) to simplify complex problems. Consequently, rather than seeking the single best possible solution, managers typically aim for a ""satisficing"" outcome—a solution that is good enough to meet their minimum requirements. This framework remains fundamental to modern organizational behavior, explaining why real-world decisions often deviate from purely logical models.",0.06,0.22,0.57,0.77
Which of the following hydraulic fluids is based on phosphate ester?, Skydrol 500B-4, MIL-0-83282, MIL-0-5606, None of the other choices,A,,val,Which of the following hydraulic fluids is,based on phosphate ester?,not recommended for use in aircraft hydraulic systems?,most commonly used in modern aircraft hydraulic systems?,0.0,0.0,0.47,0.45
What does it signify when concordance rates are higher among identical twins compared to fraternal twins?, There is partially a genetic basis., There is a 100% genetic cause., There is a 100% environmental cause., There is partially an environmental basis.,A,,val,What does it signify when concordance rates are higher,among identical twins compared to fraternal twins?, than for monozygotic twins than for dizygotic twins?,"What does it signify when concordance rates are higher? It signifies a stronger genetic influence on the trait or condition being studied. When concordance rates—the probability that both members of a pair (such as identical twins) share a specific characteristic—are significantly higher than chance, it suggests that heredity plays a substantial role in determining that outcome. For instance, if identical twins (who share nearly 100% of their DNA) show a much higher rate of agreement on a trait compared to fraternal twins (who share about 50% of their DNA), researchers can infer that genetic factors are more influential than environmental ones in shaping that trait.",0.11,0.27,0.64,0.66
Into which nodes is perianal lymph drained?, Superficial inguinal lymph nodes, Deep inguinal lymph nodes, External iliac lymph nodes, Internal iliac lymph nodes,A,,val,Into which nodes is,perianal lymph drained?, the information from the source node distributed?,the data being routed?,0.0,0.0,0.54,0.47
Which approach to the study of law would a researcher focus on if they are investigating the incidence of rape in various types of societies and its correlation with the level of male dominance in these societies?, sociological, philosophical, anthropological, None of the other choices,C,,val,Which approach to the study of law would a researcher focus on if they are investigating the incidence of rape in various,types of societies and its correlation with the level of male dominance in these societies?,"countries?
A. Legal history
B. Jurisprudence
C. Legal sociology
D. Legal philosophy
E. Legal theory","countries to understand the social patterns, causes, and consequences of the crime within different communities?",0.13,0.0,0.71,0.6
What does time shifting of a discrete time signal refer to?, y[n] = x[n-k], None of the other choices, y[n] = x[n+k], y[n] = x[-n-k],A,,val,What does time shifting of a discrete,time signal refer to?,signal correspond to?,"signal mean? It refers to the operation of delaying or advancing a discrete-time signal by a certain number of samples. Mathematically, if $x[n]$ is the original signal, a time shift by $n_0$ results in a new signal $y[n] = x[n - n_0]$. If $n_0 > 0$, the signal is delayed (shifted to the right); if $n_0 < 0$, the signal is advanced (shifted to the left). This operation is fundamental in digital signal processing for applications such as filtering, synchronization, and system analysis.",0.07,0.57,0.53,0.81
6-What objective did Lévi-Strauss have in examining ethnographic facts and cultural artifacts from various cultural backgrounds?, None of the other choices, To produce his own fieldwork studies, To become an anthropologist, To understand the working of the human mind,D,,val,6-What objective did Lévi-Strauss have in examining ethnographic facts,and cultural artifacts from various cultural backgrounds?,to show that the human mind is a universal structure?,"to demonstrate that the human mind operates according to universal, unconscious structures, much like language, and that these structures allow for the transformation of raw experience into meaningful cultural systems, thereby revealing the underlying logic that connects all human societies despite their apparent surface differences.",0.08,0.0,0.56,0.62
Which of the following statements about electron affinity is false?, It is expressed in electron volts, It causes energy to be absorbed, None of the other choices, It involves formation of an anion,B,,val,Which of the following statements about,electron affinity is false?,the relationship between the size of a population and the rate of growth of that population is true?,the options is true?,0.25,0.09,0.36,0.39
Which statement regarding Business Objects is accurate?, None of the other choices, Logging of individual stages is not configurable in Business Objects, A Business Object is configured in the Studio area of Blue Prism, It is Blue Prism best practice to include business rules within Business Objects,C,,val,Which statement regarding Business,Objects is accurate?,es is true?,Which statement regarding Business **is true?**,0.22,0.33,0.7,0.64
"What single discount is equivalent to a series of discounts of 20%, 10%, and 5%?",31.60%,25%,33.50%,30%,A,,val,What single discount is equivalent to a series of,"discounts of 20%, 10%, and 5%?","discounts of 10%, 20%, and 30%?",discounts?,0.29,0.67,0.74,0.84
A natural language generation program needs to determine __________, both what to say & when to say something, what to say, when to say something, why it is being used,B,,val,A natural language generation program,needs to determine __________,is designed to produce human-like text based on input prompts.,designed to create human-like text from given inputs.,0.17,0.14,0.56,0.57
