subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
conceptual_physics,The impulse–momentum relationship is a direct result of Newton’s,first law,second law,third law,law of gravity,1,B,test,The impulse–momentum relationship is a,direct result of Newton’s,"fundamental principle in classical mechanics that states the change in momentum of an object is equal to the impulse applied to it. This relationship is mathematically expressed as J = Δp, where J represents the impulse and Δp represents the change in momentum. Impulse is defined as the product of the average force applied to an object and the time interval over which the force acts. This principle is derived from Newton's second law of motion and is widely used in analyzing collisions, explosions, and other dynamic systems where forces act over short periods of time.","fundamental principle in physics that states the change in an object's momentum is equal to the impulse applied to it. Mathematically, this is expressed as $J = \Delta p$, where impulse ($J$) is the product of force and the time interval over which it acts, and $\Delta p$ represents the change in momentum. This relationship is a direct consequence of Newton's second law of motion and is particularly useful for analyzing collisions and interactions where forces vary over time.",0.09,0.06,0.45,0.42
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors children. Scenario 2 | I threw my food at the bear to distract it.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors children.",Scenario 2 | I threw my food at the bear to distract it.,Scenario 2 | I steal a loaf of bread to feed my hungry family.,"Scenario 2 | I steal money from my employer to pay for my family's medical bills.

**Reasoning:**
In Scenario 1, buying dog food to feed children is an act of kindness, though the specific item (dog food) is mismatched for human consumption; however, the intent is benevolent and the act itself (buying food) is not morally wrong. In Scenario 2, stealing money is a clear violation of property rights and legal statutes, constituting a morally wrong act under ordinary US moral standards, regardless of the distressing reason (medical bills) provided.",0.12,0.32,0.61,0.74
security_studies,What differences emerged with regard to theorizing on both sides of the Atlantic?,"From a US perspective, it is common to regard the main voice of security to be external. The question of what should or what should not count as security issues and how to conceptualize security.",The European school is based on a hegemonic form of knowledge. Knowledge is conceived as the understanding of causal mechanisms in relation to the material on which they act.,The different forms of knowledge relate to a conflicting conception of the relationship to policy: the problem-solving tradition in US political science vs. the critical studies in Europe.,Theorizing has parallel theoretical forms of knowledge based on empirically substantiated cause-and-effect relationships.,2,C,test,What differences emerged with regard to theorizing on,both sides of the Atlantic?,the relationship between the state and the economy in the late nineteenth century? (A) The state became more interventionist in the economy. (B) The state became less interventionist in the economy. (C) The state became more focused on social welfare. (D) The state became more focused on military spending.,"the relationship between language and thought, particularly as scholars moved from the early 20th-century Sapir-Whorf hypothesis toward more nuanced, probabilistic models of linguistic relativity.",0.06,0.04,0.45,0.52
computer_security,A digital signature needs a,Private-key system,Shared-key system,Public-key system,All of them,2,C,test,A digital signature,needs a,"is a mathematical scheme for verifying the authenticity of digital messages or documents. A valid digital signature generally consists of two parts: the signature itself and some information about the signer. The signature is usually a value that depends on both the message and the signer's private key. The information about the signer is typically a digital certificate issued by a trusted third party, called a certificate authority (CA), which binds the signer's public key to their identity.","is a cryptographic technique used to verify the authenticity and integrity of a digital message or document. It works by using a pair of keys: a private key, which the signer uses to create the signature, and a public key, which anyone can use to verify it. This ensures that the message has not been altered in transit and confirms the identity of the sender, providing a secure equivalent to a handwritten signature in the digital realm.",0.03,0.02,0.34,0.38
miscellaneous,What is the correct spelling of New Mexico's largest city?,Albuqerque,Albuquerque,Albequerque,Santa Fe,1,B,test,What is the correct spelling of,New Mexico's largest city?,"""accommodate""?","the word ""accommodate""? It is spelled **a-c-c-o-m-m-o-d-a-t-e**. The word contains double ""c""s and double ""m""s, a common point of confusion due to its Latin roots.",0.05,0.0,0.34,0.23
high_school_mathematics,What is the least possible positive integer-value of $n$ such that $\sqrt{18\cdot n \cdot 34}$ is an integer?,15,10,17,34,2,C,test,What is the least possible positive integer-value of $n$ such that,$\sqrt{18\cdot n \cdot 34}$ is an integer?,the product of the first $n$ prime numbers is a perfect square?,"The least possible positive integer-value of $n$ such that $n^2 + 1$ is divisible by 10 is **9**.

*(Note: Since the original text was cut off, this solution assumes the most common context for such problems where the condition is $n^2 + 1 \equiv 0 \pmod{10}$. If the condition was different, please provide the full text for an accurate answer.)*

**Step-by-step derivation:**
1.  We need $n^2 + 1$ to be a multiple of 10.
2.  This implies $n^2 + 1 \equiv 0 \pmod{10}$, or $n^2 \equiv -1 \equiv 9 \pmod{10}$.
3.  We check the squares of positive integers modulo 10:
    *   $1^2 = 1$
    *   $2^2 = 4$
    *   $3^2 = 9$ (Matches)
    *   $4^2 = 16 \equiv 6$
    *   $5^2 = 25 \equiv 5$
    *   $6^2 = 36 \equiv 6$
    *   $7^2 = 49 \equiv 9$ (Matches)
    *   $8^2 = 64 \equiv 4$
    *   $9^2 = 81 \equiv 1$
    *   $10^2 = 100 \equiv 0$
4.  The residues that satisfy $n^2 \equiv 9 \pmod{10}$ are $n \equiv 3 \pmod{10}$ and $n \equiv 7 \pmod{10}$.
5.  The smallest positive integers satisfying this are 3 and 7.
6.  However, if the question implies $n^2+1$ is divisible by 10, let's re-evaluate:
    *   If $n=3$, $3^2+1 = 10$, which is divisible by 10.
    *   If $n=7$, $7^2+1 = 50$, which is divisible by",0.03,0.19,0.44,0.55
virology,Positive stranded RNA viruses have which of the following characteristics?,Their genome RNA can be translated directly as mRNA,They have to transcribe their genome RNA to a mirror image copy as a mRNA,This genome is circular,Their RNA genome is segmented,0,A,test,Positive stranded RNA viruses have which,of the following characteristics?,following characteristics? (A) They have a DNA genome. (B) They replicate in the cytoplasm. (C) They require a host cell to replicate. (D) They have a double-stranded RNA genome. (E) They have a protein coat.,"characteristics that allow them to use their RNA genome directly as messenger RNA (mRNA) for protein synthesis upon entering a host cell, enabling immediate translation by host ribosomes without the need for prior transcription.",0.05,0.1,0.5,0.63
college_computer_science,Which of the following language features requires that stack-based storage allocation be used rather than static allocation?,Recursive procedures,Arbitrary goto's,Two-dimensional arrays,Integer-valued functions,0,A,test,Which of the following language features requires that stack-based storage,allocation be used rather than static allocation?, is used for function calls and local variables?,"is used to manage function calls, local variables, and return addresses, ensuring that data is preserved in the correct order (Last-In, First-Out) during program execution.",0.06,0.13,0.51,0.56
miscellaneous,Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,3,D,test,Which of these countries does,not participate in NAFTA?,not have a coastline?,not have a coastline?,0.25,0.25,0.41,0.41
miscellaneous,In the story 'Jack and the Beanstalk' what does Jack trade to get the magic beans?,a cow,a hat,a harp,a goose,0,A,test,In the story 'Jack and the Beanstalk' what does,Jack trade to get the magic beans?,Jack trade with the giant for? A. a hen that lays golden eggs B. a harp that plays itself C. a bag of magic beans D. all of the above,Jack trade with the giant for?,0.46,0.27,0.59,0.61
high_school_government_and_politics,The opinions of congressional committees often fail to accurately mirror public opinion because,the membership of committees often overrepresents constituencies with the greatest stake in the committee's business,most committees are too small to include representatives of all popular opinions,the minority party controls nearly half of all committees,committee members often lose track of their constituents' priorities because of their frequent contact with special-interest lobbyists,0,A,test,The opinions of congressional committees often fail to,accurately mirror public opinion because,reflect the views of the entire House or Senate.,"The opinions of congressional committees often fail to reflect the views of the full House or Senate, as committee members may prioritize narrow interests or lack the broader perspective of the entire chamber.",0.0,0.0,0.57,0.65
high_school_mathematics,Which of the following points is NOT a solution to both the inequalities y > 9x – 8 and y < – x + 8?,"(– 2, 15)","(–1, 5)","(0, 0)","(1, 5)",0,A,test,Which of the following points is NOT a solution to both the inequalities y >,9x – 8 and y < – x + 8?,"-2x + 4 and y < 3x - 2?
A) (2, 0)
B) (0, 1)
C) (1, 3)
D) (3, 5)",x + 2 and y < -x + 4?,0.5,0.17,0.7,0.6
nutrition,"Which of these factors increases the risk for cancer of the stomach?
",Obesity,Sugar,Salt and salt-preserved foods,Dietary fibre,2,C,test,Which of these factors increases the risk,"for cancer of the stomach?
", of developing atherosclerosis?,of developing type 2 diabetes?,0.2,0.25,0.57,0.56
logical_fallacies,The fallacy of _ignoratio elenchi_ is also known as,argument against the person,appeal to compassion,ignorance of refutation,"the ""you too"" fallacy",2,C,test,The fallacy of _ignoratio elenchi_,is also known as,is the fallacy of,"is the error of proving a point that is irrelevant to the issue at hand. Also known as the fallacy of irrelevance or missing the point, it occurs when an argument fails to address the specific claim being debated and instead attempts to prove a different conclusion. For example, if someone argues that a proposed law will increase crime rates, and the response is, ""But the law will save money,"" the responder has committed *ignoratio elenchi* because the cost of the law is not the same as its effect on crime. This fallacy undermines logical discourse by shifting the focus away from the actual question, rendering the rebuttal ineffective regardless of how well the irrelevant point is supported.",0.07,0.25,0.48,0.56
human_aging,"The information stored in memory, according to research and our Senior View interviewees, is",True to life,Our own interpretation,Always exaggerated,Never accurate,1,B,test,"The information stored in memory, according to research","and our Senior View interviewees, is","by the Atkinson-Shiffrin model, is divided into three main stores: sensory memory, short-term memory, and long-term memory.","The information stored in memory, according to research, is not a static recording but a dynamic reconstruction that changes every time it is recalled.",0.07,0.08,0.49,0.43
professional_accounting,"Simm Co. has determined its December 31 inventory on a LIFO basis to be $400,000. Information pertaining to the inventory follows:
Estimated selling price: $408,000
Estimated cost of disposal: 20,000
Normal profit margin: 60,000
Current replacement cost: 390,000
At December 31, what should be the amount of Simm's inventory?","$400,000","$390,000","$388,000","$328,000",2,C,validation,"Simm Co. has determined its December 31 inventory on a LIFO basis to be $400,000.","Information pertaining to the inventory follows:
Estimated selling price: $408,000
Estimated cost of disposal: 20,000
Normal profit margin: 60,000
Current replacement cost: 390,000
At December 31, what should be the amount of Simm's inventory?","Simultaneously, it has determined its December 31 inventory on a FIFO basis to be $420,000. The company's tax rate is 30%. What is the amount of Simm's December 31 inventory that should be reported on its balance sheet?","However, for financial reporting purposes under GAAP, the company must also determine the inventory value using the Lower of Cost or Market (LCM) method. After performing this analysis, Simm Co. concludes that the market value of the inventory is $380,000. Consequently, the company must write down its inventory from the LIFO cost of $400,000 to the LCM of $380,000, recognizing a $20,000 loss on the income statement and reducing the inventory balance on the balance sheet to $380,000.",0.16,0.23,0.53,0.56
clinical_knowledge,Which of these is most likely to cause deviation of the trachea?,A left basal pneumonia,A small right pleural effusion,Previous tuberculosis of the right upper lobe,Idiopathic fibrosing alveolitis,2,C,test,Which of these is most likely to,cause deviation of the trachea?, cause a chemical reaction?,happen next?,0.0,0.22,0.45,0.43
high_school_us_history,"This question refers to the following information.
""Permit us, then, earnestly to recommend these articles to the immediate and dispassionate attention of the legislatures of the respective states. Let them be candidly reviewed under a sense of the difficulty of combining in one system the various sentiments and interests of a continent divided into so many sovereign and independent communities, under a conviction of the absolute necessity of uniting all our councils and all our strength, to maintain and defend our common liberties….""
Journals of the Continental Congress, 1777
A major weakness of the Articles of Confederation was that they",created a too-powerful chief executive,did not include a mechanism for their own amendment,made it too difficult for the government to raise money through taxes and duties,denied the federal government the power to mediate disputes between states,2,C,test,"This question refers to the following information. ""Permit us, then, earnestly to recommend these articles to the immediate and dispassionate attention of the legislatures of the respective states.","Let them be candidly reviewed under a sense of the difficulty of combining in one system the various sentiments and interests of a continent divided into so many sovereign and independent communities, under a conviction of the absolute necessity of uniting all our councils and all our strength, to maintain and defend our common liberties…."" Journals of the Continental Congress, 1777
A major weakness of the Articles of Confederation was that they","We are persuaded that these articles are calculated to promote the public interest, and to secure the blessings of liberty to ourselves and our posterity. We therefore earnestly recommend them to the immediate and dispassionate attention of the legislatures of the respective states.""","""Permit us, then, earnestly to recommend these articles to the immediate and dispassionate attention of the legislatures of the respective states. We have the honor to be, gentlemen, with great respect, your most obedient servants, the Convention.""

*(Note: This text is the concluding paragraph of the **Articles of Confederation**, adopted by the Continental Congress in 1781. The full sentence typically reads: ""Permit us, then, earnestly to recommend these articles to the immediate and dispassionate attention of the legislatures of the respective states. We have the honor to be, gentlemen, with great respect, your most obedient servants, the Convention."")*",0.15,0.21,0.57,0.48
professional_law,"After drinking for many hours, a very drunk man encountered another man in a convenience store and asked him for five dollars. The customer refused, and the drunk man knocked him down and began beating his head against the floor. The drunk man woke up hours later in jail, with no memory of the events. The police charged him with aggravated assault, which required proof of specific intent. At trial, the drunk man asked for an additional jury charge of simple assault, which did not require specific intent. The trial court refused, and the drunk man was convicted of aggravated assault. On appeal, will the appeals court likely reverse for a new trial, ordering that a charge on simple assault be added?","Yes, because the lesser included crime must always be a part of the jury charge in order to allow the jury to pick and choose whichever crime it feels applies.","Yes, because the evidence of voluntary intoxication could rule out a finding of specific intent, and therefore the jury should have the choice of each crime before it.","No, because voluntary intoxication is no defense to crime.","No, because the violent force of beating his head on the ground would preclude a simple assault charge as a matter of law.",1,B,validation,"After drinking for many hours, a very drunk man encountered another man in a convenience store and asked him for five dollars. The customer refused, and the drunk man knocked him down and began beating his head against the floor. The drunk man woke up hours later in jail, with no memory of the events. The police charged him with aggravated assault, which required proof of specific intent.","At trial, the drunk man asked for an additional jury charge of simple assault, which did not require specific intent. The trial court refused, and the drunk man was convicted of aggravated assault. On appeal, will the appeals court likely reverse for a new trial, ordering that a charge on simple assault be added?","The court found that the defendant's actions were consistent with a specific intent to cause serious bodily harm, even though he had no memory of the event due to intoxication. The defense argued that the defendant was not criminally responsible because he was too intoxicated to form the required intent. Which of the following is the most likely outcome of the case? (A) The defendant will be found not guilty because he was too intoxicated to form the specific intent. (B) The defendant will be found guilty because intoxication is not a defense to a crime of specific intent. (C) The defendant will be found guilty because the police had probable cause to arrest him. (D) The defendant will be found not guilty because he had no memory of the events. (E) The defendant will be found guilty because the victim suffered serious bodily harm.","The defense attorney argued that the man's severe intoxication rendered him incapable of forming the specific intent required for the charge, effectively creating a legal defense of voluntary intoxication. However, the court ruled that because the man voluntarily consumed the alcohol, he was responsible for his subsequent actions and could not use his drunkenness as an excuse to negate the intent. Consequently, the jury found him guilty of aggravated assault, and he was sentenced to prison time.",0.2,0.12,0.68,0.69
human_aging,The initial length of telomere stand for members of a species is,Always the same,Determined genetically,Dependent upon climate and time of year at birth,Determined by parent diet and exercise,1,B,test,The initial length of telomere stand for,members of a species is,the number of base pairs at the end of a chromosome.,"the number of DNA repeats at the ends of chromosomes, which protect genetic material from degradation and prevent chromosomes from fusing with one another. As cells divide, these telomeres naturally shorten, acting as a biological clock that limits the number of times a cell can replicate; when they become too short, the cell enters senescence or undergoes apoptosis. This mechanism is crucial for preventing uncontrolled cell growth and cancer, though certain cells, like stem cells and cancer cells, utilize the enzyme telomerase to maintain or lengthen telomeres, thereby achieving extended replicative potential.",0.06,0.25,0.37,0.38
professional_law,"After two men robbed a local bank, they left the bank and went in different directions with a plan to meet three days later at the train station. Two days after the robbeiy, one of the men was involved in an auto accident. The man was rushed to the hospital and taken to the x-ray room. A doctor positioned the man so that the x-ray technician would be able to take x-rays of his lower back area. Based on the man's complaints about the area of pain, the doctor stated, ""It seems as if you might have a fractured pelvis. If you do, you'll have to stay in bed for several weeks. "" The man responded that he couldn't do that because he had to meet the other man tomorrow. A technician who was in the room at the time overheard the man's response to the doctor. Subsequently, both men are charged with robbery and conspiracy. At the man's trial, as evidence of a conspiracy, the prosecution attempts to introduce the doctor's testimony that the man said, ""I have to meet the other man tomorrow. "" The defense objects. This evidence is","inadmissible, because it violates the physician- patient privilege.","admissible, because the technician overheard the conversation.","admissible, because of the nature of the man's statements.","admissible, because the statement was not confidential, under the circumstances.",2,C,test,"After two men robbed a local bank, they left the bank and went in different directions with a plan to meet three days later at the train station. Two days after the robbeiy, one of the men was involved in an auto accident. The man was rushed to the hospital and taken to the x-ray room. A doctor positioned the man so that the x-ray technician would be able to take x-rays of his lower back area. Based on the man's complaints about the area of pain, the doctor stated, ""It seems as if you might have a fractured pelvis. If you do, you'll have to stay in bed for several weeks. "" The man responded that he couldn't do that because he had to meet the other man tomorrow.","A technician who was in the room at the time overheard the man's response to the doctor. Subsequently, both men are charged with robbery and conspiracy. At the man's trial, as evidence of a conspiracy, the prosecution attempts to introduce the doctor's testimony that the man said, ""I have to meet the other man tomorrow. "" The defense objects. This evidence is","The doctor then asked, ""What is the other man's name?"" The man replied, ""His name is John."" The doctor then said, ""John is a very important man. If you have a fractured pelvis, you will not be able to walk for several weeks. If you do not have a fractured pelvis, you will be able to walk immediately. If you have a fractured pelvis, you will be in a lot of pain. If you do not have a fractured pelvis, you will not be in any pain. If you have a fractured pelvis, you will have to stay in bed for several weeks. If you do not have a fractured pelvis, you will not have to stay in bed for several weeks. If you have a fractured pelvis, you will not be able to meet John tomorrow. If you do not have a fractured pelvis, you will be able to meet John tomorrow. If you have a fractured pelvis, you will be very sick. If you do not have a fractured pelvis, you will not be very sick. If you have a fractured pelvis, you will have to take a lot of medicine. If you do not have a fractured pelvis, you will not have to take a lot of medicine. If you have a fractured pelvis, you will have to have surgery. If you do not have a fractured pelvis, you will not have to have surgery. If you have a fractured pelvis, you will have to stay in the hospital for several weeks. If you do not have a fractured pelvis, you will not have to stay in the hospital for several weeks. If you have a fractured pelvis, you will have to miss work for several weeks. If you do not have a fractured pelvis, you will not have to miss work for several weeks. If you have a fractured pelvis, you will have to pay a lot of money for your medical bills. If you do not have a fractured pelvis, you will not have to pay a lot of money for your medical bills. If you have a fractured pelvis, you will have to miss out on a lot of fun activities. If you do not have a fractured pelvis, you will not have to miss out on a lot of fun activities. If you have a fractured pelvis, you will have to miss out on a lot of time with your family and friends. If you do not have a fractured pelvis, you","The doctor, hearing the man's urgent explanation, immediately called for a second opinion. Another physician examined the x-rays and confirmed the fracture was not severe enough to require prolonged bed rest; instead, he prescribed a supportive brace and allowed the patient to move around with limited weight-bearing. Relieved, the man thanked the doctors profusely and left the hospital, confident he could still make his appointment with his partner at the train station the following day.",0.2,0.06,0.58,0.55
high_school_macroeconomics,Julia would spend $30 per week even if she made no income. Her weekly income is $1000 and her marginal propensity to consume is 0.5. How much does Julia save per week?,$500,$ 35,$530,$470,3,D,validation,Julia would spend $30 per week even if she made no income. Her weekly income is $1000 and her marginal propensity to consume is 0.5.,How much does Julia save per week?,What is her marginal propensity to save?,"Therefore, her total consumption is calculated as $30 + (0.5 \times 1000)$, which equals $530.",0.0,0.14,0.76,0.83
philosophy,One objection to Singer’s theory that he considers is that it:,does not do enough to address suffering in other countries besides our own.,inappropriately makes proximity morally important.,does not account for the fact that we have stricter obligations to our loved ones than to strangers.,requires too drastic a revision to our moral scheme.,3,D,test,One objection to Singer’s theory that he,considers is that it:,has not yet been answered is that it seems to imply that we ought to give all our money to the relief of extreme poverty.,"One objection to Singer's theory that he fails to account for the special obligations we have to our own children and family members, arguing that his strict impartiality demands we give away all surplus resources to the most effective charities regardless of our personal relationships.",0.04,0.21,0.44,0.51
high_school_european_history,"This question refers to the following information.
As with a Commander of the Army, or leader of any enterprise, so it is with the mistress of the house. Her spirit will be seen through the whole establishment; and just in proportion as she performs her duties intelligently and thoroughly, so will her domestics follow in her path. Of all of those acquirements, which more particularly belong to the feminine character, there are none which take a higher rank, in our estimation, than such as enter into a knowledge of household duties; for on these are perpetually dependent the happiness, comfort, and well-being of the family.
Isabella Beeton, Book of Household Management, 1861
From the passage, one may infer that Beeton believed that",women were better suited than men for the task of household management,women were better suited than men to run schools,men were better suited than women for the task of household management,men were better suited than women to run schools,0,A,validation,"This question refers to the following information. As with a Commander of the Army, or leader of any enterprise, so it is with the mistress of the house. Her spirit will be seen through the whole establishment; and just in proportion as she performs her duties intelligently and thoroughly, so will her domestics follow in her path.","Of all of those acquirements, which more particularly belong to the feminine character, there are none which take a higher rank, in our estimation, than such as enter into a knowledge of household duties; for on these are perpetually dependent the happiness, comfort, and well-being of the family. Isabella Beeton, Book of Household Management, 1861
From the passage, one may infer that Beeton believed that","The mistress of the house is the soul of the establishment; and just as the character of the commander is reflected in the discipline and morale of his troops, so too is the character of the mistress reflected in the conduct and efficiency of her servants. If she is diligent, kind, and wise, her household will thrive; if she is negligent, harsh, or foolish, her household will suffer accordingly. Thus, the success or failure of any domestic enterprise depends largely upon the wisdom and virtue of its mistress.","If she is negligent, careless, or inconsistent, her servants will inevitably reflect those same faults; but if she is diligent, kind, and firm, they will naturally emulate her example. Thus, the character and efficiency of an entire household depend almost entirely upon the wisdom and conduct of its mistress.",0.14,0.16,0.59,0.58
high_school_psychology,"According to cognitive theorist Jean Piaget, children in which of the following stages of cognitive development are egocentric, or unable to understand another person's perspective?",Sensorimotor,Preoperational,Concrete operational,Formal operational,1,B,test,"According to cognitive theorist Jean Piaget, children in which of the following stages of cognitive","development are egocentric, or unable to understand another person's perspective?",development are capable of thinking logically about concrete events?,development are capable of thinking logically about concrete events?,0.2,0.2,0.68,0.68
elementary_mathematics,"An office building has 300,000 + 5,000 + 600 + 10 square feet of floor space. What is the number of square feet of floor space written in standard form?","30,561","35,610","300,561","305,610",3,D,test,"An office building has 300,000 + 5,000 + 600 + 10 square feet of floor space.",What is the number of square feet of floor space written in standard form?,"The total floor space is 306,110 square feet.","This adds up to a total of 306,110 square feet.",0.24,0.26,0.73,0.74
professional_law,"A resident lived in a house across the street from a small office building. One of the offices in that building was that of a criminal defense lawyer. The resident hated the idea of the lawyer's office being close to her home. She felt that it meant dangerous criminals were coming and going in her neighborhood. The resident spent a lot of time looking out her window, trying to figure out which people going in and out of the office building were criminals, and imagining what sorts of crimes they had committed. The resident eventually decided that she needed to drive the lawyer out of the neighborhood. She made a telephone call to the lawyer and said, ""You are scum, and so are all of your clients. I know that you're conspiring to commit crimes with all those bad people you represent. The police should arrest you and put you in jail with your clients. "" The lawyer was very upset by what he heard. If the lawyer asserts a claim for defamation against the resident based on the telephone call, he will most likely","succeed, because the resident's remarks constituted slander per Se.","succeed, because the lawyer found the remarks to be upsetting.","not succeed, because the resident's remarks were a matter of personal opinion rather than statements of fact.","not succeed, because the resident's remarks were not published or communicated to anyone but the plaintiff.",3,D,test,"A resident lived in a house across the street from a small office building. One of the offices in that building was that of a criminal defense lawyer. The resident hated the idea of the lawyer's office being close to her home. She felt that it meant dangerous criminals were coming and going in her neighborhood. The resident spent a lot of time looking out her window, trying to figure out which people going in and out of the office building were criminals, and imagining what sorts of crimes they had committed. The resident eventually decided that she needed to drive the lawyer out of the neighborhood. She made a telephone call to the lawyer and said, ""You are scum, and so are all of your clients.","I know that you're conspiring to commit crimes with all those bad people you represent. The police should arrest you and put you in jail with your clients. "" The lawyer was very upset by what he heard. If the lawyer asserts a claim for defamation against the resident based on the telephone call, he will most likely","I am going to burn your office down."" The lawyer was shocked by the call, but he did not feel threatened. He simply replied, ""I am not afraid of you, and I am not afraid of your clients. But I am afraid of what you are going to do to yourself.""","""You are scum, and so are all of your clients,"" the resident continued, her voice trembling with a mix of fear and misplaced righteousness. ""I know exactly who you represent, and I know the terrible things they've done. If I hear one more car pull up to that building, I will call the police myself. You have no business operating here, and you certainly have no business making my life a nightmare. Get out of my neighborhood, or I will make sure you never practice law in this city again."" The lawyer listened in silence, his expression unreadable, before simply hanging up the phone.",0.16,0.18,0.66,0.68
high_school_chemistry,"Consider the Lewis structures for the following molecules: CO2, CO32-, NO2-, and NO3-. Which molecule would have the smallest bond angle between terminal atoms?",CO2,CO32-,NO2-,NO3-,2,C,validation,"Consider the Lewis structures for the following molecules: CO2, CO32-, NO2-, and NO3-.",Which molecule would have the smallest bond angle between terminal atoms?,"Which of the following statements is true?
(A) CO2 has two resonance structures, while CO32- has three.
(B) CO2 has two resonance structures, while CO32- has two.
(C) CO2 has no resonance structures, while CO32- has three.
(D) CO2 has no resonance structures, while CO32- has two.
(E) CO2 has three resonance structures, while CO32- has two.","The Lewis structures for these species reveal a common theme regarding resonance and formal charge. In carbon dioxide ($CO_2$), the central carbon forms double bonds with both oxygen atoms, resulting in a linear geometry with no formal charges on any atom. For the carbonate ion ($CO_3^{2-}$) and nitrate ion ($NO_3^-$), the central atom forms one double bond and two single bonds with the surrounding oxygens; however, the double bond is delocalized across all three positions, creating three equivalent resonance structures where the negative charge is distributed equally among the oxygen atoms. Similarly, the nitrite ion ($NO_2^-$) exhibits resonance between two structures where the nitrogen-oxygen double bond alternates, giving the ion a bent shape and distributing the negative charge over the two oxygen atoms. In all cases involving the polyatomic ions, resonance stabilization lowers the overall energy of the molecule compared to any single static Lewis structure.",0.05,0.06,0.51,0.67
college_biology,A rise in intracellular free calcium in the sea urchin oocyte causes the release of proteolytic enzymes which act to prevent polyspermy. The events just described entail the,zona reaction,acrosomal reaction,cortical reaction,fertilization reaction,2,C,test,A rise in intracellular free calcium in the sea urchin oocyte causes the release of proteolytic enzymes which act to prevent polyspermy.,The events just described entail the,This is an example of the fast block to polyspermy.,"These enzymes, specifically proteases like calpain, cleave the cortical cytoskeleton and trigger the exocytosis of cortical granules. Upon fusion with the plasma membrane, the granule contents modify the egg's outer layers, creating a fertilization envelope that physically blocks additional sperm from entering, thereby ensuring the integrity of the genetic material.",0.07,0.12,0.48,0.62
astronomy,Mars has an atmospheric pressure of 600 pascals. If the acceleration due to gravity on Mars is (roughly) 4 m/s2 and the surface area of Mars is about 145000000 square km what is the approximate mass of the martian atmosphere?,2.2x1011 kg,2.2x1014kg,2.2x1020kg,2.2x1016 kg,3,D,test,Mars has an atmospheric pressure of 600 pascals.,If the acceleration due to gravity on Mars is (roughly) 4 m/s2 and the surface area of Mars is about 145000000 square km what is the approximate mass of the martian atmosphere?,This is approximately 0.6% of Earth's atmospheric pressure.,"This is roughly 0.6% of Earth's atmospheric pressure, making the Martian atmosphere extremely thin and unable to support liquid water on the surface or protect against harmful solar radiation.",0.19,0.09,0.54,0.53
machine_learning,"You observe the following while fitting a linear regression to the data: As you increase the amount of training data, the test error decreases and the training error increases. The train error is quite low (almost what you expect it to), while the test error is much higher than the train error. What do you think is the main reason behind this behavior. Choose the most probable option.",High variance,High model bias,High estimation bias,None of the above,0,A,validation,"You observe the following while fitting a linear regression to the data: As you increase the amount of training data, the test error decreases and the training error increases. The train error is quite low (almost what you expect it to), while the test error is much higher than the train error.",What do you think is the main reason behind this behavior. Choose the most probable option.,"Which of the following is the most likely explanation for this behavior?
(A) The model is underfitting.
(B) The model is overfitting.
(C) The model is perfectly fitted.
(D) The data is not linearly separable.","This pattern indicates that the model is **underfitting** the data. The large gap between the low training error and the high test error suggests that the linear regression model is too simple to capture the underlying structure of the data, leading to high bias. Increasing the amount of training data helps reduce variance (lowering test error), but it does not address the fundamental issue of the model's inability to fit the training data well, which is why the training error remains low but the test error stays significantly higher. To improve performance, you would likely need to increase the model's complexity, such as adding polynomial features or using a more flexible model.",0.05,0.2,0.65,0.71
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Seeing animals in the zoo makes me sad, so I decided to free the animals at my city zoo. Scenario 2 | I briefly whispered to friend in the public theater as the movie played.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Seeing animals in the zoo makes me sad, so I decided to free the animals at my city zoo.",Scenario 2 | I briefly whispered to friend in the public theater as the movie played.,"Scenario 2 | I am a student at a university, and I decided to skip class today to go to the movies.","Scenario 2 | I found a wallet on the street containing a large sum of cash, and instead of turning it in, I kept the money for myself.",0.24,0.28,0.65,0.66
