question,предмет,выбор,отвечать,sheet,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
" Утверждение 1 | Каждое факторкольцо каждого коммутативного кольца является коммутативным кольцом. Утверждение 2 | Идеал N в кольце R с единицей 1 является всем кольцом R тогда и только тогда, когда 1 в N.", абстрактная_алгебра," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",2,Sheet1, Утверждение 1 | Каждое факторкольцо каждого коммутативного кольца является коммутативным кольцом.,"Утверждение 2 | Идеал N в кольце R с единицей 1 является всем кольцом R тогда и только тогда, когда 1 в N.",Утверждение 2 | Каждое факторкольцо каждого поля является полем.,Утверждение 2 | Каждое факторкольцо каждого коммутативного кольца с единицей является кольцом с единицей.,0.25,0.25,0.61,0.49
" Представители двух разных видов обладают похожей структурой, которую они используют аналогичным образом для выполнения одной и той же функции. Какая информация лучше всего поможет отличить объяснение, основанное на гомологии, от объяснения, основанного на конвергентной эволюции?", биология для старшей школы," «Эти два вида обитают на большом расстоянии друг от друга». «У этих двух видов много общих белков, и нуклеотидные последовательности, кодирующие эти белки, почти идентичны». «Размеры структур у взрослых особей обоих видов схожи». «Оба вида хорошо адаптированы к своей среде обитания».",1,Sheet1," Представители двух разных видов обладают похожей структурой, которую они используют аналогичным образом для выполнения одной и той же функции.","Какая информация лучше всего поможет отличить объяснение, основанное на гомологии, от объяснения, основанного на конвергентной эволюции?",Это пример конвергентной эволюции.,"Этот феномен, известный как конвергентная эволюция, наблюдается, например, у акул и дельфинов, у которых независимо друг от друга сформировались схожие обтекаемые формы тела для эффективного плавания в воде.",0.0,0.0,0.62,0.7
"После продолжительного собеседования с вице-президентом компании сотрудницу приняли на работу в бухгалтерию. Стороны договорились о трудоустройстве по собственному желанию. В конце первой рабочей недели сотруднице выдали брошюру под названием «Руководство по трудоустройству» с указанием прочитать ее полностью к концу следующей недели. Вечером того же дня сотрудница начала читать руководство. На первых страницах описывалась история компании и приводилась личная биография ее президента. На странице 20 в руководстве говорилось, что компания относится к своим сотрудникам «как к семье» и что сотрудники будут уволены «только по уважительной причине». Сотрудница дочитала руководство, как и было указано. Сотрудница истолковала утверждение на странице 20 как гарантию продолжения работы, если нет уважительной причины для увольнения. В течение следующих двух месяцев сотрудница постоянно жаловалась своему руководителю на недостаточное освещение в бухгалтерии. Наконец, руководитель, устав от жалоб, уволил сотрудницу. Затем сотрудник подал в суд на компанию, требуя возмещения ущерба на основании принципа эстоппеля в отношении обещаний. Какой из следующих фактов, если он верен и доказуем, был бы наиболее полезен для удовлетворения иска сотрудника?",профессиональное_право," «В момент найма сотрудницы компания субъективно предполагала, что ей будет обеспечена гарантия занятости». «Сотрудница истолковала пункт в руководстве, гласящий, что к сотрудникам компании будут относиться «как к членам семьи», как гарантию занятости и возможность увольнения только по уважительной причине». «Незадолго до получения руководства сотрудница всерьез рассматривала возможность увольнения, но продолжала работать в компании, полагаясь на положения, содержащиеся на странице 20 руководства». «Жалобы сотрудницы на недостаточное освещение были фактически правдивыми и обоснованными».",2,Sheet1,"После продолжительного собеседования с вице-президентом компании сотрудницу приняли на работу в бухгалтерию. Стороны договорились о трудоустройстве по собственному желанию. В конце первой рабочей недели сотруднице выдали брошюру под названием «Руководство по трудоустройству» с указанием прочитать ее полностью к концу следующей недели. Вечером того же дня сотрудница начала читать руководство. На первых страницах описывалась история компании и приводилась личная биография ее президента. На странице 20 в руководстве говорилось, что компания относится к своим сотрудникам «как к семье» и что сотрудники будут уволены «только по уважительной причине». Сотрудница дочитала руководство, как и было указано.","Сотрудница истолковала утверждение на странице 20 как гарантию продолжения работы, если нет уважительной причины для увольнения. В течение следующих двух месяцев сотрудница постоянно жаловалась своему руководителю на недостаточное освещение в бухгалтерии. Наконец, руководитель, устав от жалоб, уволил сотрудницу. Затем сотрудник подал в суд на компанию, требуя возмещения ущерба на основании принципа эстоппеля в отношении обещаний. Какой из следующих фактов, если он верен и доказуем, был бы наиболее полезен для удовлетворения иска сотрудника?","На второй неделе сотрудница пришла на работу и попросила у вице-президента разрешения уволиться. Вице-президент отказал, сославшись на то, что компания относится к своим сотрудникам «как к семье» и что сотрудники будут уволены «только по уважительной причине». Сотрудница попросила объяснить, что является уважительной причиной для увольнения. Вице-президент ответил, что уважительной причиной может быть только болезнь или смерть близкого родственника. Сотрудница сказала, что у нее нет близких родственников, и поэтому она не может быть уволена по уважительной причине. Вице-президент согласился с этим и уволил сотрудницу.","На следующее утро сотрудница пришла в офис, но ее не пустили в кабинет бухгалтера. Вице-президент, который встретил ее у входа, с серьезным видом сообщил, что руководство не может принять ее на работу, так как она не соответствует требованиям. «Мы относимся к сотрудникам как к семье, — объяснил он, — и в семье не берут людей, которые не знают наших традиций. Кроме того, мы увольняем только по уважительной причине, а ваше отсутствие на работе в первый же день уже является основанием для отказа». Сотрудница, растерянная и не понимая, где она ошиблась, спросила, неужели она должна была прочитать брошюру до начала работы. Вице-президент лишь улыбнулся и сказал: «Конечно, мы ценим преданность, но вы же знаете, что в нашей компании работают только те, кто готов к любым испытаниям. Удачи вам в поиске другого места».",0.0,0.0,0.61,0.7
 Наиболее распространенная мутация при муковисцидозе включает в себя:, медицинская генетика, ['удаление'. 'дублирование'. 'замена'. 'вставка'.],0,Sheet1, Наиболее распространенная мутация при,муковисцидозе включает в себя:,синдроме Линча — это мутация в гене MLH1.,Наиболее распространенная мутация при **синдроме Дауна** — это трисомия по 21-й хромосоме.,0.0,0.0,0.39,0.46
 Три из перечисленных ниже свойств являются классическими свойствами безопасности; какое из них таковым не является?, компьютерная_безопасность, ['Конфиденциальность' 'Доступность' 'Правильность' 'Целостность'],1,Sheet1, Три из перечисленных ниже свойств являются классическими свойствами,безопасности; какое из них таковым не является?," тригонометрических функций. Выберите эти три свойства:
1) f(x) = f(x + 2π)
2) f(x) = f(-x)
3) f(x) = -f(-x)
4) f(x) = f(x + π)","Три из перечисленных ниже свойств являются классическими свойствами **сложных чисел: делимость, составность и наличие делителей, отличных от единицы и самого числа.**",0.0,0.0,0.48,0.45
" Какой из перечисленных источников является источником кислорода, образующегося в процессе фотосинтеза?", биология для старшей школы, ['H2O' 'H2O2' 'CO2' 'CO'],0,Sheet1, Какой из перечисленных источников является источником,"кислорода, образующегося в процессе фотосинтеза?", информации о Древней Руси?,правильного ответа?,0.0,0.0,0.42,0.46
"С учетом коммерции и маркетинга, что из перечисленного представляет собой наиболее существенное препятствие для развития информационной безопасности?", исследования безопасности," ['В создании систем безопасности нет прямой окупаемости инвестиций.' 'Системы безопасности ухудшают удобство использования и могут сделать ИТ-системы менее функциональными, а следовательно, менее привлекательными для потребителя.' 'Существует стремление сократить время, необходимое для вывода нового ИТ-продукта или системы на рынок, поэтому системы безопасности приносятся в жертву ради сокращения времени выхода на рынок.' 'Все эти варианты.']",3,Sheet1,"С учетом коммерции и маркетинга, что из перечисленного представляет собой",наиболее существенное препятствие для развития информационной безопасности?,наиболее эффективную стратегию продвижения продукта на рынке?,наиболее эффективную стратегию продвижения продукта?,0.0,0.0,0.61,0.62
 Какая из следующих наднациональных организаций не является экономическим союзом?, география для старшей школы, ['ЕС' 'КАРИКОМ' 'НАФТА' 'НАТО'],3,Sheet1, Какая из следующих наднациональных организаций,не является экономическим союзом?,не является частью Европейского союза?,представлена в списке?,0.0,0.0,0.48,0.75
 Какой из следующих путей является симпластическим путем перемещения сахарозы из места фотосинтеза в клетках мезофилла во флоэму?, колледж_биология,"['Водоросли, паренхима флоэмы, клетка-спутница, ситовидная трубка' 'Паренхима флоэмы, волокна, обкладка сосудистого пучка, трахеиды' 'Клетки-спутницы, паренхима флоэмы, волокна, ситовидная трубка' 'Обкладка сосудистого пучка, паренхима флоэмы, клетка-спутница, ситовидная трубка']",3,Sheet1, Какой из следующих путей является симпластическим путем перемещения сахарозы из,места фотосинтеза в клетках мезофилла во флоэму?,фотосинтезирующих клеток в клетки флоэмы?,межклеточного пространства в клетки фотосинтезирующих тканей?,0.0,0.0,0.73,0.82
" Фрэнсис Камм обсуждает случай ученого, работающего над поиском лекарства от врожденной слепоты и движимого лишь корыстным стремлением к власти, чтобы предположить, что", моральные_споры," ['Иногда действие может быть допустимым, даже если оно мотивировано дурным желанием.' 'Все действия, мотивированные дурными желаниями, недопустимы.' 'Стремление к господству, как утверждает Сандел, не является дурным желанием.' 'Иногда единственный способ излечить болезнь — это эгоистичные желания.']",0,Sheet1," Фрэнсис Камм обсуждает случай ученого, работающего над поиском лекарства от врожденной слепоты и","движимого лишь корыстным стремлением к власти, чтобы предположить, что",в конечном итоге теряет зрение.,разрабатывающего генную терапию для восстановления зрения у пациентов с наследственной формой слепоты.,0.0,0.0,0.44,0.36
" Какое из следующих утверждений верно относительно оптической изомерии комплексов, содержащих ахиральные лиганды?",колледж_химия," ['Квадратные плоские комплексы могут проявлять оптическую изомерию только в том случае, если все четыре лиганда идентичны.' 'Тетраэдрические комплексы никогда не проявляют оптическую изомерию.' 'Линейные комплексы могут проявлять оптическую изомерию, когда оба лиганда различны.' 'Октаэдрические комплексы монодентатных лигандов могут проявлять оптическую изомерию только в том случае, если они имеют по меньшей мере три различных лиганда.']",3,Sheet1, Какое из следующих утверждений верно относительно оптической,"изомерии комплексов, содержащих ахиральные лиганды?",системы?,системы?,0.0,0.0,0.41,0.41
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я бросил газеты в лесной пожар. Сценарий 2 | Я попросил своих детей накрыть на стол к ужину.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1," В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я бросил газеты в лесной пожар.",Сценарий 2 | Я попросил своих детей накрыть на стол к ужину.,"Сценарий 2 | Я спас человека, который пытался утопиться.","Сценарий 2 | Я спас человека, застрявшего в ледяной воде.

В данном случае явно аморальным поступком является действие в **Сценарии 1**. Бросание предметов (газет) в лесной пожар усугубляет ситуацию, способствуя распространению огня, что противоречит общепринятым моральным нормам и законам США, обязывающим предотвращать ущерб природе и имуществу. Напротив, спасение жизни в Сценарии 2 является морально одобряемым и героическим поступком.",0.5,1.0,0.62,0.72
"На основе своего исследования взаимосвязи между чувством принадлежности и тревожностью Шахтер пришел к выводу, что что из перечисленного лучше всего объясняет желание участников исследования с высоким уровнем тревожности ждать вместе с другими участниками с высоким уровнем тревожности?", профессиональная_психология, ['характеристики спроса' 'опасения при оценке' 'избавление от дискомфорта' 'социальное сравнение'],3,Sheet1,"На основе своего исследования взаимосвязи между чувством принадлежности и тревожностью Шахтер пришел к выводу, что что из перечисленного лучше всего объясняет желание",участников исследования с высоким уровнем тревожности ждать вместе с другими участниками с высоким уровнем тревожности?,членов группы быть вместе?,"членства в группе. Согласно теории Шахтера, тревога, возникающая в ситуациях неопределенности, побуждает людей искать социальной поддержки и информации у других, что усиливает потребность в принадлежности к группе.",0.0,0.0,0.6,0.69
" Для Сократа непрожитая жизнь — трагедия, потому что она наносит тяжкий вред _____.", философия, ['государство' 'система правосудия' 'тело' 'душа'],3,Sheet1," Для Сократа непрожитая жизнь — трагедия, потому",что она наносит тяжкий вред _____., что она не была прожита в согласии с добродетелью.,что она не была прожита достойно.,0.0,0.0,0.65,0.67
" Когда белый свет попадает в призму, зелёный свет преломляется сильнее, чем...", концептуальная_физика, ['синий свет.' 'фиолетовый свет.' 'красный свет.' 'Ни один из этих вариантов не является правильным.'],2,Sheet1," Когда белый свет попадает в призму,","зелёный свет преломляется сильнее, чем...",он распадается на спектр цветов.,он распадается на радужные цвета.,0.0,0.0,0.55,0.52
" Если мировая цена на медь превысит внутреннюю (США) цену на медь, мы можем ожидать, что", макроэкономика для старшей школы, ['Соединенные Штаты станут нетто-экспортером меди'. 'Соединенные Штаты введут пошлину на импорт меди для защиты отечественных производителей'. 'Спрос на американскую медь упадет'. 'Растущий торговый дефицит США в сфере товаров и услуг'.],0,Sheet1, Если мировая цена на медь превысит внутреннюю (США),"цену на медь, мы можем ожидать, что",", то мировая цена на медь будет выше внутренней (США).",", Россия может начать экспортировать медь в США, чтобы компенсировать разницу в ценах и максимизировать доходы от продажи этого стратегического ресурса.",0.0,0.0,0.55,0.66
" После сдачи экзамена AP по психологии и успешной учебы, а также экзамена, Дональд поступает в колледж. Если Дональд интересуется психологией и обладает высокой мотивацией к достижениям, то на первом курсе он, скорее всего, добьется успеха.", психология старшей школы,"['Запишитесь на вводный курс психологии, на котором он будет уверен в своих силах.' 'Запишитесь на семинар для аспирантов старших курсов, где он получит много новой информации, но, скорее всего, ему будет трудно сдать экзамен.' 'Избегайте занятий по психологии, поскольку он уже освоил материал.' 'Запишитесь на курс для студентов старших курсов, где ему придется много работать, чтобы добиться успеха, и он узнает много нового.']",3,Sheet1," После сдачи экзамена AP по психологии и успешной учебы, а также экзамена, Дональд поступает в колледж.","Если Дональд интересуется психологией и обладает высокой мотивацией к достижениям, то на первом курсе он, скорее всего, добьется успеха.","Он начинает изучать психологию, но вскоре понимает, что эта область не для него.","После сдачи экзамена AP по психологии и успешной учебы, а также экзамена, Дональд поступает в колледж. Там он начинает изучать психологию, чтобы глубже понять механизмы человеческого поведения, которые так заинтересовали его во время подготовки к тесту.",0.0,0.0,0.68,0.73
" Уравнение E = mc² указывает на то, что энергия", концептуальная_физика," ['Равно массе, движущейся со скоростью света в квадрате.' 'Равно движущейся массе.' 'Принципиально отличается от массы.' 'и масса тесно связаны.']",3,Sheet1, Уравнение E = mc² указывает,"на то, что энергия",на связь между энергией и массой.,"на то, что энергия (E) равна массе (m), умноженной на квадрат скорости света (c²).",0.0,0.0,0.66,0.56
" Вы слышите, что у Соединенных Штатов отрицательный баланс по текущему счету. На основании этой информации мы делаем вывод, что", макроэкономика для старшей школы," «Существует торговый дефицит. Существует дефицит счета движения капитала. Существует профицит счета движения капитала. За границу отправляется больше долларов США, чем иностранной валюты поступает в Соединенные Штаты».",2,Sheet1," Вы слышите, что у Соединенных Штатов отрицательный баланс по текущему счету.","На основании этой информации мы делаем вывод, что","Это означает, что США импортируют больше товаров и услуг, чем экспортируют.","Это означает, что страна импортирует товаров и услуг больше, чем экспортирует, что приводит к оттоку капитала за рубеж.",0.0,0.0,0.66,0.7
" В танцевальной команде 72 ученика, и 4 из 9 берут уроки чечетки. Сколько учеников берут уроки чечетки?", элементарная_математика, ['32' '49' '63' '68'],0,Sheet1," В танцевальной команде 72 ученика, и 4 из 9 берут уроки чечетки.",Сколько учеников берут уроки чечетки?,Сколько всего учеников в команде берут уроки чечетки?,"Так как 4 ученика из 9 составляют группу, занимающуюся чечеткой, то в танцевальной команде 4 человека занимаются этим видом танца, а остальные 68 — нет.",0.0,0.0,0.76,0.88
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я собрал весь мусор во дворе соседа. Сценарий 2 | Я кружил сына, пока у него не закружилась голова.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",3,Sheet1,"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я собрал весь мусор во дворе соседа.","Сценарий 2 | Я кружил сына, пока у него не закружилась голова.",Сценарий 2 | Я украл кошелек у прохожего.,Сценарий 2 | Я украл кошелек у прохожего.,1.0,1.0,0.69,0.69
 Что не является компонентом гибкой организации?, управление, ['Рыночная направленность и позиция' 'Управление персоналом: многопрофильная подготовка' 'Организационная структура' 'Проектно-ориентированная культура'],3,Sheet1, Что не является,компонентом гибкой организации?,признаком живого организма?,Что не является истиной.,0.0,0.0,0.29,0.33
 Кукуруза торгуется на конкурентном рынке. Что из перечисленного определенно повысит равновесную цену кукурузы?, макроэкономика для старшей школы," ['И предложение, и спрос сдвигаются вправо.' 'И предложение, и спрос сдвигаются влево.' 'Предложение сдвигается вправо; спрос сдвигается влево.' 'Предложение сдвигается влево; спрос сдвигается вправо.']",3,Sheet1, Кукуруза торгуется на конкурентном рынке.,Что из перечисленного определенно повысит равновесную цену кукурузы?,Кукуруза торгуется на конкурентном рынке.,"Кукуруза торгуется на конкурентном рынке, где цены формируются под влиянием спроса и предложения, а также глобальных факторов, таких как погодные условия и экспортные ограничения.",0.0,0.0,0.64,0.7
" Международная организация сотрудничества, объединяющая 185 стран и призванная стабилизировать валютный обмен и мировую экономику,", внешняя политика США, [Всемирный банк. Организация Объединенных Наций. ЮНИСЕФ. Международный валютный фонд.],3,Sheet1," Международная организация сотрудничества, объединяющая 185 стран и призванная","стабилизировать валютный обмен и мировую экономику,","способствовать экономическому развитию и сотрудничеству между странами, была основана в 1945 году.","обеспечить мир, безопасность и сотрудничество между народами, была основана в 1945 году.",0.0,0.0,0.68,0.74
 Концепция прерывистого равновесия относится к, колледж_биология," ['колеблющиеся стадии экологической сукцессии' 'экологическая сукцессия, остановленная внезапными изменениями окружающей среды, например, пожаром' 'устойчивые взаимоотношения хищник-жертва в относительно стабильной среде' 'всплески видообразования, за которыми следуют относительно неизменные линии']",3,Sheet1, Концепция прерывистого равновесия,относится к,"Концепция прерывистого равновесия (англ. intermittent equilibrium) — это термин, используемый в физике и химии для описания состояния системы, которая не находится в полном термодинамическом равновесии, но демонстрирует периодические флуктуации, которые в среднем могут быть описаны как равновесное состояние. Это понятие часто применяется в изучении сложных систем, где внешние воздействия или внутренние процессы приводят к циклическим изменениям параметров системы.","Концепция прерывистого равновесия (intermittent equilibrium) описывает состояние системы, которая не находится в статическом равновесии, а постоянно переключается между фазами активности и покоя, или между различными устойчивыми состояниями. В отличие от классического равновесия, где параметры системы остаются неизменными, здесь динамика характеризуется циклическими изменениями, часто вызванными внешними воздействиями или внутренними нелинейными процессами. Этот принцип широко применяется в экологии (например, в моделях популяций хищник-жертва), экономике (циклы繁荣 и спада) и биологии (ритмы сна и бодрствования), объясняя устойчивость сложных систем через способность адаптироваться к переменам, а не через их полное отсутствие.",0.0,0.0,0.44,0.48
" Если корпорация XYZ купит оригинальную картину Матисса, чтобы повесить её в зале заседаний совета директоров, то", макроэкономика для старшей школы," ['ВВП уменьшается на сумму покупки, потому что C уменьшается.' 'ВВП увеличивается на сумму покупки, потому что I увеличивается.' 'ВВП не изменяется, потому что это продажа подержанных товаров.' 'ВВП) уменьшается, потому что I уменьшается.']",2,Sheet1," Если корпорация XYZ купит оригинальную картину Матисса, чтобы повесить","её в зале заседаний совета директоров, то","в офисе, это будет считаться инвестицией в активы или в расходы на операционную деятельность?","в офисе, это не обязательно сделает её более успешной, но точно повысит статус компании в глазах клиентов.",0.0,0.0,0.62,0.61
Какая из следующих систем навигации в основном предназначена для перемещения материалов?, разнообразный, ['Эскалатор' 'Конвейер' 'Шоссе' 'Железная дорога'],1,Sheet1,Какая из следующих систем навигации в основном,предназначена для перемещения материалов?,используется для определения местоположения судов в открытом море?,используется для определения местоположения судов и самолетов в глобальном масштабе?,0.0,0.0,0.63,0.63
"Фермер, являясь полноправным владельцем фермы, завещал её своей племяннице и её мужу в качестве совладельцев. Племянница и её муж немедленно вступили во владение фермой и жили там со своей дочерью и сыном. Впоследствии муж погиб в автомобильной аварии. В 1972 году, через два года после смерти отца, дочь переехала в другой штат. Сын жил с матерью на ферме до её смерти без завещания в 1980 году. Сын продолжал единолично владеть фермой до своей смерти в 2001 году. В своём завещании сын завещал ферму местной благотворительной организации. При жизни сын не знал, что его сестра всё ещё жива и что право собственности на ферму перешло к ним двоим как к единственным оставшимся в живых наследникам их матери. После смерти матери в 1980 году сын выдавал себя за владельца фермы, содержал её и платил все налоги на имущество. Сестра не общалась ни с матерью, ни с братом с момента смены места жительства в 1972 году. В юрисдикции, где находится ферма, установлен 20-летний срок исковой давности для приобретения имущества по давности владения. Каким интересом, если таковой имеется, обладает сестра в отношении этого имущества?",профессиональное_право," ['Никакого, из-за ее собственной нерешительности.' 'Никакого, потому что брат приобрел право собственности на ферму по давности владения.' 'Неразделенная половина доли, поскольку владение брата не противоречило ее праву собственности.' 'Неразделенная половина доли, поскольку 20-летний срок исковой давности не истек, так как она не знала об исключительном владении брата.']",2,Sheet1,"Фермер, являясь полноправным владельцем фермы, завещал её своей племяннице и её мужу в качестве совладельцев. Племянница и её муж немедленно вступили во владение фермой и жили там со своей дочерью и сыном. Впоследствии муж погиб в автомобильной аварии. В 1972 году, через два года после смерти отца, дочь переехала в другой штат. Сын жил с матерью на ферме до её смерти без завещания в 1980 году. Сын продолжал единолично владеть фермой до своей смерти в 2001 году. В своём завещании сын завещал ферму местной благотворительной организации.","При жизни сын не знал, что его сестра всё ещё жива и что право собственности на ферму перешло к ним двоим как к единственным оставшимся в живых наследникам их матери. После смерти матери в 1980 году сын выдавал себя за владельца фермы, содержал её и платил все налоги на имущество. Сестра не общалась ни с матерью, ни с братом с момента смены места жительства в 1972 году. В юрисдикции, где находится ферма, установлен 20-летний срок исковой давности для приобретения имущества по давности владения. Каким интересом, если таковой имеется, обладает сестра в отношении этого имущества?","Однако благотворительная организация не смогла принять ферму, так как не была уведомлена о завещании в установленный законом срок. В результате ферма была продана на аукционе, и вырученные средства были распределены между наследниками сына. Вопрос: Кто имел право на получение средств от продажи фермы?","Однако благотворительная организация не смогла принять наследство, так как в момент смерти сына (в 2001 году) она не была зарегистрирована в качестве юридического лица в соответствии с требованиями штата, либо её уставные цели изменились, что сделало невозможным принятие имущества в качестве благотворительного дара. В результате ферма была признана бесхозной собственностью (escheat) и перешла в собственность государства штата, где находилась земля, а не племяннице или её потомкам, несмотря на то, что они ранее владели имуществом.",0.0,0.0,0.55,0.63
