subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion
high_school_european_history,"This question refers to the following information.
For the catastrophe of 1914 the Germans are responsible. … Germany, in this matter, was unfortunate enough to allow herself (in spite of her skill at dissimulation) to be betrayed into an excess of candour by her characteristic tendency to go to extremes. Deutschland über alles. Germany above everything! … There you have the ultimate framework of an old but childish race.
Georges Clemenceau, Grandeur and Misery of Victory, 1930
From the passage, one may infer that Clemenceau believed",that the lyrics from the popular song Deutschland über alles (which eventually became the German national anthem) were the reason Germany started the war,that the lyrics from the popular song Deutschland über alles (which eventually became the German national anthem) were evidence of Germany's aggressive attitude,that the reason Germany lost the war was that it was betrayed from within,that Germany provided the ultimate framework for modern warfare,1,B,test,"This question refers to the following information. For the catastrophe of 1914 the Germans are responsible. … Germany, in this matter, was unfortunate enough to allow herself (in spite of her skill at dissimulation) to be betrayed into an excess of candour by her characteristic tendency to go to extremes. Deutschland über alles.","Germany above everything! … There you have the ultimate framework of an old but childish race. Georges Clemenceau, Grandeur and Misery of Victory, 1930
From the passage, one may infer that Clemenceau believed",
college_chemistry,Predict the hyperfine value for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.,0.375 mT,3.75 G,2.35 mT,0.58 G,3,D,test,Predict the hyperfine value for the EPR spectrum of,fully deuteriated benzene radical anion C6D6•-.,
astronomy,Why did Ptolemy have the planets orbiting Earth on ‘circles upon circles’ in his model of the universe?,To explain why more distant planets take longer to make a circuit through the constellations of the zodiac.,To explain the fact that planets sometimes appear to move westward rather than eastward relative to the stars in our sky.,To explain why the Greeks were unable to detect stellar paralax.,To properly account for the varying distances of the planets from Earth.,1,B,test,Why did Ptolemy have the planets orbiting Earth on ‘circles upon,circles’ in his model of the universe?,
high_school_physics,"In the laboratory, a cart experiences a single horizontal force as it moves horizontally in a straight line. Of the following data collected about this experiment, which is sufficient to determine the work done on the cart by the horizontal force?","The magnitude of the force, the cart’s initial speed, and the cart’s final speed",The mass of the cart and the distance the cart moved,"The mass of the cart, the cart’s initial speed, and the cart’s final speed",The mass of the cart and the magnitude of the force,2,C,validation,"In the laboratory, a cart experiences a single horizontal force as it moves horizontally in a straight line.","Of the following data collected about this experiment, which is sufficient to determine the work done on the cart by the horizontal force?",
high_school_biology,"The geneticist Mary Lyon hypothesized the existence of structures visible just under the nuclear membrane in mammals, which were later named Barr bodies. Which of the following statement is NOT correct about Barr bodies?","In the early female embryo, one copy of the X chromosome becomes inactivated in every body cell.",The same chromosome in every cell of a normal female is inactivated.,A male with the XXY genotype will have one Barr body.,Barr bodies consist of highly methylated DNA.,1,B,test,"The geneticist Mary Lyon hypothesized the existence of structures visible just under the nuclear membrane in mammals, which were later named Barr bodies.",Which of the following statement is NOT correct about Barr bodies?,
machine_learning,"What is the dimensionality of the null space of the following matrix? A = [[3, 2, −9], [−6, −4, 18], [12, 8, −36]]",0,1,2,3,2,C,test,What is the dimensionality of the null space of the following matrix?,"A = [[3, 2, −9], [−6, −4, 18], [12, 8, −36]]",
medical_genetics,Most new mutations appear to be,beneficial,neutral or deleterious,present in homozygotes rather than heterozygotes,detectable using allozyme studies (protein electrophoresis),1,B,test,Most new mutations appear,to be,
high_school_computer_science,Which of the following best describes the primary way in which a distributed denial-ofservice (D D o S) attack differs from a denial-ofservice (D o S) attack?,The goal of the attack,The number of computers being attacked,The number of computers launching the attack,The time period in which the attack occurs,2,C,test,Which of the following best describes the primary way in which a distributed denial-ofservice (D D,o S) attack differs from a denial-ofservice (D o S) attack?,
security_studies,Which of these statements is not accurately applied to Critical Security Studies?,The referent object can be objectively studied and should be considered accordingly.,The security analyst and the object of the security should not be regarded as separate.,Critical Security Studies is a post-positivist approach.,Critical Security studies questions the epistemological principles of other approaches in Security Studies.,0,A,test,Which of these statements is not accurately,applied to Critical Security Studies?,
high_school_macroeconomics,There is relatively more crowding out as the result of expansionary fiscal policy when,expansionary monetary policy accompanies the fiscal policy,the investment demand curve is inelastic,government spending improves profit expectations among businesses,the investment demand curve is elastic,3,D,test,There is relatively more crowding out as the,result of expansionary fiscal policy when,
philosophy,Butler argues that the belief that there is a conflict between public goods and private goods arises from our notions of:,justice.,benevolence.,property.,charity.,2,C,validation,Butler argues that the belief that there is a conflict between public,goods and private goods arises from our notions of:,
college_medicine,"A scientist using mouse models to determine the response of blood hormones to large levels of glucose in the body discovers a new hormone not previously described. According to his data, this hormone is found both inside and out of cells when carrying out its function, increase the amount of nucleic acid in the cell while functioning, and are derived from a structure containing four hydroxycarbon rings. This will likely be categorized as which type of hormone?",Enzymatic,Steroid,Peptide,Amino acid,1,B,test,"A scientist using mouse models to determine the response of blood hormones to large levels of glucose in the body discovers a new hormone not previously described. According to his data, this hormone is found both inside and out of cells when carrying out its function, increase the amount of nucleic acid in the cell while functioning, and are derived from a structure containing four hydroxycarbon rings.",This will likely be categorized as which type of hormone?,
high_school_us_history,"This question refers to the following information.
Let us not, I beseech you sir, deceive ourselves. Sir, we have done everything that could be done, to avert the storm which is now coming on. We have petitioned; we have remonstrated; we have supplicated; we have prostrated ourselves before the throne, and have implored its interposition to arrest the tyrannical hands of the ministry and Parliament. Our petitions have been slighted; our remonstrances have produced additional violence and insult; our supplications have been disregarded; and we have been spurned, with contempt, from the foot of the throne. In vain, after these things, may we indulge the fond hope of peace and reconciliation. There is no longer any room for hope.… It is in vain, sir, to extenuate the matter. Gentlemen may cry, Peace, Peace, but there is no peace. The war is actually begun! The next gale that sweeps from the north will bring to our ears the clash of resounding arms! Our brethren are already in the field! Why stand we here idle? What is it that gentlemen wish? What would they have? Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take; but as for me, give me liberty or give me death!
—Patrick Henry, March 23, 1775
In this passage, Henry expresses an abiding American concern about which of the following?",No entangling alliances with foreign countries,The dangers of standing armies,Self-government,The separation of church and state,2,C,test,"This question refers to the following information. Let us not, I beseech you sir, deceive ourselves. Sir, we have done everything that could be done, to avert the storm which is now coming on. We have petitioned; we have remonstrated; we have supplicated; we have prostrated ourselves before the throne, and have implored its interposition to arrest the tyrannical hands of the ministry and Parliament. Our petitions have been slighted; our remonstrances have produced additional violence and insult; our supplications have been disregarded; and we have been spurned, with contempt, from the foot of the throne. In vain, after these things, may we indulge the fond hope of peace and reconciliation. There is no longer any room for hope.… It is in vain, sir, to extenuate the matter. Gentlemen may cry, Peace, Peace, but there is no peace. The war is actually begun! The next gale that sweeps from the north will bring to our ears the clash of resounding arms! Our brethren are already in the field!","Why stand we here idle? What is it that gentlemen wish? What would they have? Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take; but as for me, give me liberty or give me death! —Patrick Henry, March 23, 1775
In this passage, Henry expresses an abiding American concern about which of the following?",
high_school_world_history,"This question refers to the following information.
""After the Tencteri came, in former days, the Bructeri; but the general account now is, that the Chamavi and Angrivarii entered their settlements, drove them out and utterly exterminated them with the common help of the [neighboring] tribes, either from hatred of their tyranny, or from the attractions of plunder, or from heaven's [favorable] regard for us. It did not even grudge us the spectacle of the conflict. More than sixty thousand fell, not beneath the Roman arms and weapons, but, grander far, before our delighted eyes. May the tribes, I pray, ever retain if not love for us, at least hatred for each other; for while the destinies of empire hurry us on, fortune can give no greater boon than discord among our foes.""
Germania, Publius Cornelius Tacitus, ca. 98 C.E.
Which of the following conclusions about imperial treatment of ""barbarian"" (foreign) peoples in the period 600 B.C.E. to 600 C.E. is most directly supported by the passage?",Empires encouraged rival tribes to destroy one another to reduce threats to the state.,Empires welcomed migrations of barbarian peoples as sources of military manpower or economic productivity.,Empires used military force against all neighboring barbarian peoples as a means of expanding their influence.,Empires used religion to convert barbarian peoples so that they might become friendlier to the state.,0,A,test,"This question refers to the following information. ""After the Tencteri came, in former days, the Bructeri; but the general account now is, that the Chamavi and Angrivarii entered their settlements, drove them out and utterly exterminated them with the common help of the [neighboring] tribes, either from hatred of their tyranny, or from the attractions of plunder, or from heaven's [favorable] regard for us. It did not even grudge us the spectacle of the conflict. More than sixty thousand fell, not beneath the Roman arms and weapons, but, grander far, before our delighted eyes. May the tribes, I pray, ever retain if not love for us, at least hatred for each other; for while the destinies of empire hurry us on, fortune can give no greater boon than discord among our foes."" Germania, Publius Cornelius Tacitus, ca.","98 C.E. Which of the following conclusions about imperial treatment of ""barbarian"" (foreign) peoples in the period 600 B.C.E. to 600 C.E. is most directly supported by the passage?",
prehistory,The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.,"legumes, sarsens","lintels, stelae","sarsens, lintels","trilithon, tholoi",2,C,test,The 30 upright stones at Stonehenge are called,_______; the horizontal stones are _________.,
professional_law,"During a Senate debate, members discussed how to punish a particular senator for having publicly rebuked the head of his party. One of the members suggested that the party inform television reporters that the senator in question is ""an opportunist who has very little loyalty to his own party and will switch sides at the earliest convenience. ""In determining whether the senator has a valid cause of action against the member for his remarks, which of the following most accurately reflects the applicable rule of law?",The senator must prove actual malice in order to recover for defamation.,Any remarks made during the debate were privileged.,"The remarks violated the senator's First Amendment right of privacy by placing him in a ""false light. ""","The remarks constitute a ""fair and substantial"" relation to ""important governmental objectives. """,1,B,validation,"During a Senate debate, members discussed how to punish a particular senator for having publicly rebuked the head of his party. One of the members suggested that the party inform television reporters that the senator in question is ""an opportunist who has very little loyalty to his own party and will switch sides at the earliest convenience.","""In determining whether the senator has a valid cause of action against the member for his remarks, which of the following most accurately reflects the applicable rule of law?",
formal_logic,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
(T · ~U) ⊃ ~W
~W ⊃ X
~Z ⊃ W
~(X · Z) / T ⊃ U",Valid,"Invalid. Counterexample when T, X, and Z are true and U and W are false","Invalid. Counterexample when T and X are true and U, W, and Z are false","Invalid. Counterexample when T, W, and Z are true and U and X are false",0,A,test,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample.","(There may be other counterexamples as well.) (T · ~U) ⊃ ~W
~W ⊃ X
~Z ⊃ W
~(X · Z) / T ⊃ U",
clinical_knowledge,Which of the following factors can affect enzyme activity?,Temperature.,pH.,The presence of certain metal ions.,All of the above.,3,D,test,Which of the following factors,can affect enzyme activity?,
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stole the audio equipment at the talent show. Scenario 2 | I realized that the homeowners weren't home so I climbed through the window.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stole the audio equipment at the talent show.",Scenario 2 | I realized that the homeowners weren't home so I climbed through the window.,
abstract_algebra,"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",2x^2 + 5,6x^2 + 4x + 6,0,x^2 + 1,1,B,test,Find the product of the given polynomials in the given polynomial ring.,"f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",
college_biology,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,Prostaglandins,Inositol triphosphate,Cyclic AMP,Calmodulin,1,B,test,Which of the following is a second messenger that stimulates,release of calcium ions into the cytoplasm?,
marketing, This pricing approach is used when the firm sets prices according to how much customers are prepared to pay:,Cost-oriented approach.,Value-oriented approach.,Competitor-oriented approach.,Demand-oriented approach.,3,D,test, This pricing approach is used when the firm sets prices according,to how much customers are prepared to pay:,
moral_disputes, Metz argues that dignity is based in,a capacity for communal or friendly relationships,a capacity for moral thought,a capacity for rational deliberation,a capacity for certain kinds of feelings or sentiments,0,A,test, Metz argues that dignity,is based in,
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My daughter was getting F's, so I took all her food away for a week. Scenario 2 | I ironed my son for his school dance.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My daughter was getting F's, so I took all her food away for a week.",Scenario 2 | I ironed my son for his school dance.,
anatomy,Which of the following is flexible connective tissue that is attached to bones at the joints?,Adipose,Cartilage,Epithelial,Muscle,1,B,validation,Which of the following is flexible connective tissue that,is attached to bones at the joints?,
clinical_knowledge,The key attribute in successful marathon running is:,strength.,power.,stride length.,stamina.,3,D,test,The key attribute in successful,marathon running is:,
machine_learning,"A 6-sided die is rolled 15 times and the results are: side 1 comes up 0 times; side 2: 1 time; side 3: 2 times; side 4: 3 times; side 5: 4 times; side 6: 5 times. Based on these results, what is the probability of side 3 coming up when using Add-1 Smoothing?",2.0/15,1.0/7,3.0/16,1.0/5,1,B,dev,A 6-sided die is rolled 15 times and the results are: side 1 comes up 0 times; side 2: 1 time; side 3: 2 times; side 4: 3 times; side 5: 4 times; side 6: 5 times.,"Based on these results, what is the probability of side 3 coming up when using Add-1 Smoothing?",
professional_psychology,"An experimental psychologist with a Ph.D. wants to become a clinical psychologist. According to the APA’s General Guidelines for Providers of Psychological Services, he must:",complete appropriate coursework.,complete doctoral-level coursework and training in clinical psychology.,obtain supervision from a licensed clinical psychologist.,obtain a Ph.D. in clinical psychology from an accredited school.,1,B,validation,An experimental psychologist with a Ph.D. wants to become a clinical psychologist.,"According to the APA’s General Guidelines for Providers of Psychological Services, he must:",
high_school_psychology,Mayella believes that getting a good grade on an AP exam is a matter of luck. She most likely has,high academic self-efficacy,an internal locus of control,an external locus of control,high achievement motivation,2,C,test,Mayella believes that getting a good grade on an AP exam is a matter of luck.,She most likely has,
high_school_macroeconomics,At the peak of a typical business cycle which of the following is likely the greatest threat to the macroeconomy?,Unemployment,Bankruptcy,Declining labor productivity,Inflation,3,D,test,At the peak of a typical business cycle which of the following,is likely the greatest threat to the macroeconomy?,
clinical_knowledge,Which one of the following is not a use for intravenous infusions?,Administer prescribed intravenous fluid.,Administer dyes or contrast media for radiographic examinations.,Administer prescribed blood products.,To orally hydrate a patient.,3,D,validation,Which one of the following is not,a use for intravenous infusions?,
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I planted a large garden in the center of the narrow public street. Scenario 2 | I drive very fast when I'm on a racetrack.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I planted a large garden in the center of the narrow public street.",Scenario 2 | I drive very fast when I'm on a racetrack.,
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dug up a hole at the beach to bury her toes. Scenario 2 | When the Nazis came to my door, I told them where Ann Frank was hiding.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",2,C,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dug up a hole at the beach to bury her toes.","Scenario 2 | When the Nazis came to my door, I told them where Ann Frank was hiding.",
professional_accounting,Which of the following procedures would an auditor most likely perform before the balance sheet? date?,Confirm with client's lawyer that all litigation probable of assertion has been disclosed to the auditor.,Obtain an understanding of the client's internal control activities.,Determine whether there are any liens or encumbrances on assets that have been pledged as collateral.,Consider the client's plans and ability to meet imminent purchase commitments and cash flow obligations.,1,B,test,Which of the following procedures would an auditor most likely perform before the balance sheet?,date?,
high_school_us_history,"This question refers to the following information.
One of the rights which the freeman has always guarded with most jealous care is that of enjoying the rewards of his own industry. Realizing that the power to tax is the power to destroy and that the power to take a certain amount of property or of income is only another way of saying that for a certain proportion of his time a citizen must work for the government, the authority to impose a tax on the people has been most carefully guarded.… A government which lays taxes on the people not required by urgent necessity and sound public policy is not a protector of liberty, but an instrument of tyranny. It condemns the citizen to tyranny. One of the first signs of the breaking down of free government is a disregard by the taxing power of the right of the people to their own property.… Unless the people can enjoy that reasonable security in the possession of their property, which is guaranteed by the Constitution, against unreasonable taxation, freedom is at an end.… With us economy is imperative. It is a full test of our national character.… It is always the people who toil that pay.
—Calvin Coolidge, ""Economy in the Interest of All,"" June 30, 1924
The ideas expressed above were influenced by which of the following?",Widespread prosperity in the 1920s,Widespread economic hardship in the 1920s,The rapid growth of the welfare state in the 1920s,Highly publicized antitrust prosecutions,0,A,test,"This question refers to the following information. One of the rights which the freeman has always guarded with most jealous care is that of enjoying the rewards of his own industry. Realizing that the power to tax is the power to destroy and that the power to take a certain amount of property or of income is only another way of saying that for a certain proportion of his time a citizen must work for the government, the authority to impose a tax on the people has been most carefully guarded.… A government which lays taxes on the people not required by urgent necessity and sound public policy is not a protector of liberty, but an instrument of tyranny. It condemns the citizen to tyranny.","One of the first signs of the breaking down of free government is a disregard by the taxing power of the right of the people to their own property.… Unless the people can enjoy that reasonable security in the possession of their property, which is guaranteed by the Constitution, against unreasonable taxation, freedom is at an end.… With us economy is imperative. It is a full test of our national character.… It is always the people who toil that pay. —Calvin Coolidge, ""Economy in the Interest of All,"" June 30, 1924
The ideas expressed above were influenced by which of the following?",
nutrition,"Calculate the body mass index (BMI) for a patient whose height is 1.75 m and whose weight is 99 kg.
",29,32,39,43,1,B,test,Calculate the body mass index (BMI) for a patient whose height is,"1.75 m and whose weight is 99 kg.
",
professional_medicine,"A 75-year-old female presents to the office for a health maintenance examination. She says that she is more fatigued than she was at 65, but she still gardens and drives to the grocery store. Routine laboratory studies reveal a leukocyte count of 25.0 × 103/mcL (reference range 4.5-11.0 × 103/mcL) and 97% mature-appearing lymphocytes on a peripheral blood smear. Immunohistochemical stains demonstrate the lymphocytes to be of B-cell origin. The most likely diagnosis is",acute lymphocytic leukemia,acute myelogenous leukemia,chronic lymphocytic leukemia,chronic myelogenous leukemia,2,C,test,"A 75-year-old female presents to the office for a health maintenance examination. She says that she is more fatigued than she was at 65, but she still gardens and drives to the grocery store. Routine laboratory studies reveal a leukocyte count of 25.0 × 103/mcL (reference range 4.5-11.0 × 103/mcL) and 97% mature-appearing lymphocytes on a peripheral blood smear.",Immunohistochemical stains demonstrate the lymphocytes to be of B-cell origin. The most likely diagnosis is,
conceptual_physics,A rainbow is the result of light in raindrops that undergoes,internal reflection,dispersion,refraction,All of these,3,D,test,A rainbow is the result of light,in raindrops that undergoes,
econometrics,"Which of the following may be consequences of one or more of the CLRM assumptions being violated?

i) The coefficient estimates are not optimal


ii) The standard error estimates are not optimal


iii) The distributions assumed for the test statistics are inappropriate


iv) Conclusions regarding the strength of relationships between the dependent

and independent variables may be invalid.",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iii) only","(i), (ii), (iii), and (iv)",3,D,test,Which of the following may be consequences of one or more of the CLRM assumptions being violated?,"i) The coefficient estimates are not optimal


ii) The standard error estimates are not optimal


iii) The distributions assumed for the test statistics are inappropriate


iv) Conclusions regarding the strength of relationships between the dependent

and independent variables may be invalid.",
high_school_chemistry,Most transition metals share a common oxidation state of +2. Which of the following best explains why?,Transition metals all have a minimum of two unpaired electrons.,Transition metals have unstable configurations and are very reactive.,Transition metals tend to gain electrons when reacting with other elements.,Transition metals will lose their outermost s-block electrons when forming bonds.,3,D,test,Most transition metals share a common oxidation state of +2.,Which of the following best explains why?,
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I checked out from the hotel I turned in the dirty towels. Scenario 2 | I always kept my whiskey bottles out of reach of my 3-year-old son.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",3,D,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I checked out from the hotel I turned in the dirty towels.",Scenario 2 | I always kept my whiskey bottles out of reach of my 3-year-old son.,
formal_logic,Select the best translation into predicate logic. Alexis is greeted by Ben. (a: Alexis; b: Ben; Gxy: x greets y),Gab,~Gba,aGb,Gba,3,D,test,Select the best translation into predicate logic. Alexis is greeted by Ben.,(a: Alexis; b: Ben; Gxy: x greets y),
college_mathematics,Statement 1 | Suppose {s_n} and {t_n} are sequences of complex numbers such that lim_n→∞ s_n = s and lim_n→∞ tn = t. lim_n→∞ s_nt_n = st. Statement 2 | There exists a bounded sequence of real numbers with no convergent subsequence.,"True, True","True, False","False, True","False, False",1,B,test,Statement 1 | Suppose {s_n} and {t_n} are sequences of complex numbers such that lim_n→∞ s_n = s and lim_n→∞ tn = t. lim_n→∞ s_nt_n = st.,Statement 2 | There exists a bounded sequence of real numbers with no convergent subsequence.,
miscellaneous,Which of these is not a style of shoe?,gingham,brogan,espadrille,docksider,0,A,test,Which of these is not,a style of shoe?,
elementary_mathematics,"A survey of 1000 registered voters revealed that 450 people would vote for candidate A in an upcoming election. If 220,000 people vote in the election, how many votes would the survey takers predict candidate A should receive?","44,500","48,900","95,000","99,000",3,D,test,A survey of 1000 registered voters revealed that 450 people would vote for candidate A in an upcoming election.,"If 220,000 people vote in the election, how many votes would the survey takers predict candidate A should receive?",
high_school_psychology,The contingency model explains classical conditioning from which of the following perspectives?,behavioral,psychoanalytic,cognitive,humanistic,2,C,test,The contingency model explains classical conditioning from,which of the following perspectives?,
miscellaneous,"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,1,B,test,Which movie popularized the phrase,"""You talkin' to me?""",
high_school_psychology,The left cerebral hemisphere is specialized for which of the following functions?,"verbal, mathematical, and recognizing emotional expressions","mathematical, spatial, and musical","verbal, analytic, and mathematical","mathematical, spatial, and analytic",2,C,test,The left cerebral hemisphere is specialized for,which of the following functions?,
high_school_world_history,"This question refers to the following information.
Whether the question be to continue or to discontinue the practice of sati, the decision is equally surrounded by an awful responsibility. To consent to the consignment year after year of hundreds of innocent victims to a cruel and untimely end, when the power exists of preventing it, is a predicament which no conscience can contemplate without horror. But, on the other hand, to put to hazard by a contrary course the very safety of the British Empire in India is an alternative which itself may be considered a still greater evil. When we had powerful neighbours and greater reason to doubt our own security, expediency might recommend a more cautious proceeding, but now that we are supreme my opinion is decidedly in favour of an open and general prohibition.
William Bentinck, Govenor-General of India, ""On the Suppression of Sati,"" 1829
I have made it my study to examine the nature and character of the Indians [who trade with us], and however repugnant it may be to our feelings, I am convinced they must be ruled with a rod of iron, to bring and keep them in a proper state of subordination, and the most certain way to effect this is by letting them feel their dependence on [the foodstuffs and manufactured goods we sell them].
George Simpson, Head of Northern Department, Hudson's Bay Company, 1826
The authors of both passages served institutions associated with which of the following colonial techniques commonly used by Western imperial powers?",Direct rule by the crown,Complete privatization of colonial authority,Martial law enforced by sizable armies,The chartering of companies to assume costs and share profits,3,D,test,"This question refers to the following information. Whether the question be to continue or to discontinue the practice of sati, the decision is equally surrounded by an awful responsibility. To consent to the consignment year after year of hundreds of innocent victims to a cruel and untimely end, when the power exists of preventing it, is a predicament which no conscience can contemplate without horror. But, on the other hand, to put to hazard by a contrary course the very safety of the British Empire in India is an alternative which itself may be considered a still greater evil.","When we had powerful neighbours and greater reason to doubt our own security, expediency might recommend a more cautious proceeding, but now that we are supreme my opinion is decidedly in favour of an open and general prohibition. William Bentinck, Govenor-General of India, ""On the Suppression of Sati,"" 1829
I have made it my study to examine the nature and character of the Indians [who trade with us], and however repugnant it may be to our feelings, I am convinced they must be ruled with a rod of iron, to bring and keep them in a proper state of subordination, and the most certain way to effect this is by letting them feel their dependence on [the foodstuffs and manufactured goods we sell them]. George Simpson, Head of Northern Department, Hudson's Bay Company, 1826
The authors of both passages served institutions associated with which of the following colonial techniques commonly used by Western imperial powers?",
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I accidentally walked in on my roommate making love to a girl, I declined to watch. Scenario 2 | I was going to puke, so I leaned closer to my mother-in-law.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",2,C,validation,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I accidentally walked in on my roommate making love to a girl, I declined to watch.","Scenario 2 | I was going to puke, so I leaned closer to my mother-in-law.",
