question,предмет,выбор,отвечать,sheet,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
"Программист пишет программу, предназначенную для обработки больших объемов данных. Какой из следующих факторов с наименьшей вероятностью повлияет на способность программы обрабатывать большие наборы данных?", информатика в старшей школе," ['Время выполнения программы' 'Количество операторов программирования в программе' 'Объем памяти, необходимый программе во время выполнения' 'Объем места для хранения, необходимый программе во время выполнения']",1,Sheet1,"Программист пишет программу, предназначенную для обработки больших объемов данных.",Какой из следующих факторов с наименьшей вероятностью повлияет на способность программы обрабатывать большие наборы данных?,Выберите правильный ответ.,"Важно отметить, что качество обработки данных напрямую влияет на результативность всей системы.",0.0,0.0,0.74,0.72,No
 Утверждение 1 | Каждая целостная область с характеристикой 0 бесконечна. Утверждение 2 | Каждая целостная область с простой характеристикой конечна., абстрактная_алгебра," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",2,Sheet1, Утверждение 1 | Каждая целостная область с характеристикой 0 бесконечна.,Утверждение 2 | Каждая целостная область с простой характеристикой конечна.,Ответ: неверно,"Утверждение 2 | Если область обладает характеристикой больше нуля, то она ограничена.",1.0,0.0,0.73,0.69,No
" Женщина надлежащим образом составила завещание, согласно которому завещала свою ферму племяннику, а остаток имущества – племяннице. В течение 12 лет после составления завещания женщина жила на своей ферме. Затем она продала её и на вырученные средства купила дом в городе, в котором жила до самой смерти, так и не изменив завещание. После принятия завещания к рассмотрению в суде, и племянник, и племянница заявили о своём праве собственности на дом. Законодательство, регулирующее этот вопрос, отсутствует. Кто является собственником дома?", профессиональное_право,"['Племянник, в силу доктрины аннулирования наследства.' 'Племянник, в силу доктрины эстоппеля по справедливости.' 'Племянница, в силу доктрины утраты права наследования.' 'Племянница, поскольку она является наследницей остаточного имущества.']",0,Sheet1," Женщина надлежащим образом составила завещание, согласно которому завещала свою ферму племяннику, а остаток имущества – племяннице. В течение 12 лет после составления завещания женщина жила на своей ферме. Затем она продала её и на вырученные средства купила дом в городе, в котором жила до самой смерти, так и не изменив завещание. После принятия завещания к рассмотрению в суде, и племянник, и племянница заявили о своём праве собственности на дом.","Законодательство, регулирующее этот вопрос, отсутствует. Кто является собственником дома?",Каким образом применяются нормы гражданского кодекса Российской Федерации при наследовании такого рода вещей?,"Как следствие, судебное заседание завершилось тем, что суд постановил, что право собственности на городскую квартиру осталось у племянницы, так как завещание не предусматривало передачи этого объекта недвижимости племяннику. В связи с чем, хотя племянник и заявлял свои права на дом, он не мог оспорить законный статус наследников, установленных законом.",0.0,0.0,0.67,0.81,No
 Какое из следующих устройств является цифровым?, электротехника, ['Регулятор вентилятора' 'Микрофон' 'Сопротивление материала' 'Выключатель света'],3,Sheet1, Какое из следующих,устройств является цифровым?,вариантов ответа,"Для принятия правильного решения необходимо проанализировать условия задачи и сопоставить их с данными, приведенными в последующих пунктах.",0.0,0.0,0.22,0.33,No
"Владелец магазина галантереи заказал по телефону у оптового поставщика одежды из кашемира и шерсти «три дюжины фиолетовых кашемировых носков, размер 10–13 по текущей рыночной цене». Торговый представитель поставщика устно принял заказ по согласованной цене 250 долларов за дюжину. В соответствии с обычной деловой практикой поставщика, торговый представитель затем отправил по почте следующее подтверждающее письмо, которое он подписал и датировал: «В соответствии с вашим телефонным заказом, настоящим письмом подтверждается покупка 36 дюжин кашемировых носков фиолетового цвета, размер 10–13, по согласованной цене 250 долларов за дюжину. Общая сумма продажи: 9000 долларов». Мужчина получил это письмо, бегло просмотрел его, но не заметил ни надписи «36 дюжин», ни общей цены. Мужчина положил письмо в свои файлы и не ответил на него. Три недели спустя поставщик предложил 36 дюжин фиолетовых кашемировых носков, от которых покупатель отказался, сославшись на то, что заказал только три дюжины. Поставщик перепродал те же фиолетовые кашемировые носки другому покупателю за общую сумму в 8000 долларов. Поставщик подал в суд на покупателя за разницу в 1000 долларов. Если покупатель сошлется на статью о мошенничестве в качестве защиты, будет ли такая защита успешной?",профессиональное_право," [«Да, потому что закон не был соблюден предложением поставщика о поставке товара, который был отклонен заказчиком, и поставщик не полагался на устное соглашение иначе, чем путем попытки доставки». «Да, потому что согласованная цена за три дюжины носков превышала 500 долларов, а в письменном уведомлении поставщика неверно указывалось количество заказанного товара». «Нет, потому что письменного уведомления поставщика было достаточно для соблюдения закона в отношении поставщика, и заказчик, имея основания знать о содержании уведомления, не уведомил о возражениях в течение 10 дней с момента получения». «Нет, потому что письменное уведомление поставщика действовало как акцепт, с предложениями дополнительных условий, которые стали частью договора после того, как заказчик не возразил против таких дополнительных условий в разумные сроки».]",2,Sheet1,"Владелец магазина галантереи заказал по телефону у оптового поставщика одежды из кашемира и шерсти «три дюжины фиолетовых кашемировых носков, размер 10–13 по текущей рыночной цене». Торговый представитель поставщика устно принял заказ по согласованной цене 250 долларов за дюжину. В соответствии с обычной деловой практикой поставщика, торговый представитель затем отправил по почте следующее подтверждающее письмо, которое он подписал и датировал: «В соответствии с вашим телефонным заказом, настоящим письмом подтверждается покупка 36 дюжин кашемировых носков фиолетового цвета, размер 10–13, по согласованной цене 250 долларов за дюжину. Общая сумма продажи: 9000 долларов». Мужчина получил это письмо, бегло просмотрел его, но не заметил ни надписи «36 дюжин», ни общей цены. Мужчина положил письмо в свои файлы и не ответил на него.","Три недели спустя поставщик предложил 36 дюжин фиолетовых кашемировых носков, от которых покупатель отказался, сославшись на то, что заказал только три дюжины. Поставщик перепродал те же фиолетовые кашемировые носки другому покупателю за общую сумму в 8000 долларов. Поставщик подал в суд на покупателя за разницу в 1000 долларов. Если покупатель сошлется на статью о мошенничестве в качестве защиты, будет ли такая защита успешной?","На основании вышеизложенных обстоятельств, сделка должна быть признана действительной.","Следовательно, ввиду полученной ошибки, мужчина решил внести изменения в договор и вернуть деньги, хотя изначально он не мог избежать таких условий.",0.0,0.0,0.82,0.72,No
"Супермаркет заключил договор с пекарней на поставку 100 буханок цельнозернового хлеба в неделю в течение 12 недель подряд. Хлеб должен был доставляться в первый день каждой недели, а оплата производилась в течение четырех дней после доставки. В течение первых четырех недель пекарня доставляла хлеб в супермаркет, а супермаркет производил соответствующие платежи. Когда прибыла пятая партия, супермаркет обнаружил, что в ней содержится 80 буханок цельнозернового хлеба и 20 буханок хлеба на закваске. Менеджер супермаркета немедленно позвонил в пекарню, чтобы пожаловаться на доставку. Оператор пекарни извинился и предложил отправить 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?", профессиональное_право,"['Супермаркет будет иметь право отклонить пятую партию и расторгнуть договор.' 'Супермаркет будет иметь право отклонить пятую партию, но будет нести ответственность за оставшиеся поставки.' 'Супермаркет не будет иметь права отклонять предложение оператора об «исправлении».' 'Супермаркет будет иметь право «покрыть» убытки, купив хлеб-заменитель.']",2,Sheet1,"Супермаркет заключил договор с пекарней на поставку 100 буханок цельнозернового хлеба в неделю в течение 12 недель подряд. Хлеб должен был доставляться в первый день каждой недели, а оплата производилась в течение четырех дней после доставки. В течение первых четырех недель пекарня доставляла хлеб в супермаркет, а супермаркет производил соответствующие платежи. Когда прибыла пятая партия, супермаркет обнаружил, что в ней содержится 80 буханок цельнозернового хлеба и 20 буханок хлеба на закваске.","Менеджер супермаркета немедленно позвонил в пекарню, чтобы пожаловаться на доставку. Оператор пекарни извинился и предложил отправить 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?",Выберите верное утверждение.,При анализе состава пятой партии и сверке с условиями договора определить процент отклонения качества.,0.0,0.0,0.53,0.66,No
"Наказание ребенка, запрещающее ему выходить из дома на две недели после плохого поведения, является примером", психология старшей школы, ['избегающее привязанность' 'негативное наказание' 'обучение послушанию' 'негативное подкрепление'],1,Sheet1,"Наказание ребенка, запрещающее ему выходить из дома на две","недели после плохого поведения, является примером",неделями,на две недели,0.0,0.0,0.47,0.67,No
" Опрос 2008 года, проведенный среди 500 домохозяйств, показал, что 82% населения используют купоны на продукты питания. Какое из следующих утверждений лучше всего описывает, что подразумевается под погрешностью опроса в 3%?", статистика для старшей школы,"['Три процента опрошенных отказались от участия в опросе.' 'Не будет ничего удивительного, если 3% населения начнут или перестанут использовать купоны.' 'От 395 до 425 из 500 опрошенных домохозяйств ответили, что используют продуктовые купоны.' 'Вероятно, от 79% до 85% населения используют продуктовые купоны.']",3,Sheet1," Опрос 2008 года, проведенный среди 500 домохозяйств, показал, что 82% населения используют купоны на продукты питания.","Какое из следующих утверждений лучше всего описывает, что подразумевается под погрешностью опроса в 3%?",Ответ: Верно,"Следовательно, эти данные свидетельствуют о том, что использование специальных предложений остается одним из основных способов оптимизации расходов",0.0,0.0,0.68,0.68,No
 Протон входит в соленоид. При входе протон движется по прямой линии вдоль оси соленоида. Какое из следующих утверждений правильно описывает движение протона внутри соленоида?, физика в старшей школе,['Протон будет отклоняться по параболической траектории.' 'Протон будет отклоняться по круговой траектории.' 'Протон продолжит движение по прямой с постоянной скоростью.' 'Протон продолжит движение по прямой и замедлится.'],2,Sheet1, Протон входит в соленоид. При входе протон движется по прямой линии вдоль оси соленоида.,Какое из следующих утверждений правильно описывает движение протона внутри соленоида?,Какова траектория движения протона?,"Сила Лоренца равна нулю, так как вектор скорости и вектор магнитной индукции находятся параллельны",0.0,0.0,0.5,0.78,No
" Какая из перечисленных должностей не является особой должностью, занимаемой членом Конгресса?", школьное_правительство_и_политика, ['Временный председатель Конгресса' 'Спикер Палаты представителей' 'Председатель Фонда управления Конгрессом' 'Заместитель лидера меньшинства'],2,Sheet1, Какая из перечисленных должностей не является,"особой должностью, занимаемой членом Конгресса?",Варианты ответа,... и подобные должности,0.0,0.0,0.38,0.4,No
" В каком из следующих случаев решение Верховного суда установило доктрину «раздельного, но равного» в контексте государственной расовой сегрегации?", школьное_правительство_и_политика,['Плесси против Фергюсона' 'Маккалох против Мэриленда' 'Гиббонс против Огдена' 'Браун против Совета по образованию'],0,Sheet1, В каком из следующих случаев решение Верховного суда установило доктрину,"«раздельного, но равного» в контексте государственной расовой сегрегации?",права на свободу слова.,относительно брачных договоров и определения их правовых последствий,0.0,0.0,0.41,0.51,No
" Рынок билетов на бейсбольные матчи команды «Цинциннати Редс» в настоящее время находится в равновесии. Какое из следующих событий с наибольшей вероятностью увеличит потребительский излишек, получаемый болельщиками «Редс»?", микроэкономика для старшей школы," «„Красные“ предлагают парковку со скидкой на все домашние игры». «„Красные“ повышают цены на хот-доги, чтобы компенсировать более высокую стоимость булочек». «В городе Цинциннати ведется масштабный проект строительства автомагистрали, из-за которого болельщики часами стоят в пробках перед игрой». «„Красным“ приходится повышать цены на билеты, чтобы позволить себе самых талантливых игроков».",0,Sheet1, Рынок билетов на бейсбольные матчи команды «Цинциннати Редс» в настоящее время находится в равновесии.,"Какое из следующих событий с наибольшей вероятностью увеличит потребительский излишек, получаемый болельщиками «Редс»?",Ответьте правильно.,"Согласно данному положению, система способна адаптироваться к любым изменениям спроса.",0.0,0.0,0.59,0.57,No
" Шапиро утверждает, что люди — социальные или культурные животные, что имеет важное значение для его точки зрения, поскольку подразумевает, что", моральные_споры, ['Социальные нормы или правила играют значительную роль в формировании поведения'. 'Мы всего лишь продукты нашей биохимии'. 'Прошлый опыт играет значительную роль в формировании поведения'. 'Ничего из вышеперечисленного'],0,Sheet1," Шапиро утверждает, что люди — социальные или культурные животные, что имеет","важное значение для его точки зрения, поскольку подразумевает, что",。,что имеет право на независимое развитие,0.0,0.0,0.37,0.39,No
" По состоянию на 2019 год, какой примерно процент индийцев считает, что для того, чтобы быть нравственным и обладать хорошими ценностями, необходимо верить в Бога?",глобальные факты, ['59%' '69%' '79%' '89%'],2,Sheet1," По состоянию на 2019 год, какой примерно процент индийцев считает, что для того, чтобы","быть нравственным и обладать хорошими ценностями, необходимо верить в Бога?","что для того, чтобы сохранить свою национальную идентичность и традиции",чтобы обеспечить социальную стабильность и рост экономики,0.0,0.0,0.48,0.39,No
"Этот вопрос касается следующей информации. Этим вечным и неотменяемым указом мы установили и провозгласили: «Во-первых, чтобы воспоминания обо всем, что было совершено той или иной стороной… в течение всего предшествующего периода смут, оставались стертыми и забытыми, как будто ничего подобного никогда не происходило… Мы постановляем, чтобы католическая апостольская и римская религия была восстановлена и вновь утверждена во всех местах и населенных пунктах нашего королевства и подвластных нам стран, где ее исповедание было прервано, чтобы она могла исповедоваться мирно и свободно, без каких-либо трудностей или препятствий». … «И чтобы не оставлять повода для смуты или разногласий между нашими подданными, мы разрешили, и настоящим разрешаем, представителям указанной религии, называемой реформатской, жить и пребывать во всех городах и местах нашего королевства и странах нашего господства, не подвергаясь преследованиям, притеснениям или принуждению к совершению каких-либо религиозных действий, противоречащих их совести…» Генрих IV Французский, Нантский эдикт, 1598 г. Из этого отрывка можно сделать вывод, что",история Европы в старшей школе, ['Генрих IV был католиком' 'Генрих IV был протестантом' 'до 1598 года Франция была свободна от религиозных конфликтов' 'до 1598 года Франция была охвачена религиозными конфликтами'],3,Sheet1,"Этот вопрос касается следующей информации. Этим вечным и неотменяемым указом мы установили и провозгласили: «Во-первых, чтобы воспоминания обо всем, что было совершено той или иной стороной… в течение всего предшествующего периода смут, оставались стертыми и забытыми, как будто ничего подобного никогда не происходило… Мы постановляем, чтобы католическая апостольская и римская религия была восстановлена и вновь утверждена во всех местах и населенных пунктах нашего королевства и подвластных нам стран, где ее исповедание было прервано, чтобы она могла исповедоваться мирно и свободно, без каких-либо трудностей или препятствий».","… «И чтобы не оставлять повода для смуты или разногласий между нашими подданными, мы разрешили, и настоящим разрешаем, представителям указанной религии, называемой реформатской, жить и пребывать во всех городах и местах нашего королевства и странах нашего господства, не подвергаясь преследованиям, притеснениям или принуждению к совершению каких-либо религиозных действий, противоречащих их совести…» Генрих IV Французский, Нантский эдикт, 1598 г. Из этого отрывка можно сделать вывод, что",Вопрос на который нужно ответить,"«И именно таким образом мы стремимся обеспечить, чтобы каждый человек мог свободно исповедовать свою веру без каких-либо препятствий. И это постановление становится нераспространяемым законом, обязательным для каждого гражданина нашей державы.»",0.0,0.0,0.72,0.71,No
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я продавал экзотических диких животных на фермерском рынке. Сценарий 2 | Мне удалось скрыть свою новую находку, которую я обнаружил, работая допоздна.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1,"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я продавал экзотических диких животных на фермерском рынке.","Сценарий 2 | Мне удалось скрыть свою новую находку, которую я обнаружил, работая допоздна.",Сценарий 2 | Продажа наркотиков,"Сценарий 2 | Я использовал свои личную информацию для того, чтобы обойти банковские системы, чтобы получить деньги с другого человека.",1.0,1.0,0.66,0.6,No
"Клиент подал в суд на автодилера за продажу ему подержанного автомобиля, который дилер выдавал за новый. За несколько недель до суда автодилер подошел к его сестре и сказал: «Сестра, мне нужно сочувствие. Я продал клиенту подержанный автомобиль, а теперь он на меня подает в суд. Я не хотел никому причинить вреда. Я осмотрел автомобиль и все такое». Ни автодилер, ни его сестра не знали, что у двери стоял бойфренд сестры, который подслушал этот разговор. Когда настало время суда, автодилер уехал из страны и отказался присутствовать на заседании, поручив своему адвокату заняться этим делом. Адвокат клиента несколько раз пытался добиться присутствия автодилера на суде, но безуспешно. На суде бойфренда сестры вызывают для дачи показаний о подслушанном им разговоре. По возражениям адвоката автодилера суд, скорее всего, признает показания свидетелями.", профессиональное_право,"['Допустимо как заявление о существовавшем на тот момент психическом или эмоциональном состоянии.' 'Допустимо как заявление, сделанное вопреки интересам.' 'Допустимо как заявление о текущих ощущениях.' 'Недопустимо как показания из вторых рук, не подпадающие ни под одно из признанных исключений.']",1,Sheet1,"Клиент подал в суд на автодилера за продажу ему подержанного автомобиля, который дилер выдавал за новый. За несколько недель до суда автодилер подошел к его сестре и сказал: «Сестра, мне нужно сочувствие. Я продал клиенту подержанный автомобиль, а теперь он на меня подает в суд. Я не хотел никому причинить вреда. Я осмотрел автомобиль и все такое». Ни автодилер, ни его сестра не знали, что у двери стоял бойфренд сестры, который подслушал этот разговор.","Когда настало время суда, автодилер уехал из страны и отказался присутствовать на заседании, поручив своему адвокату заняться этим делом. Адвокат клиента несколько раз пытался добиться присутствия автодилера на суде, но безуспешно. На суде бойфренда сестры вызывают для дачи показаний о подслушанном им разговоре. По возражениям адвоката автодилера суд, скорее всего, признает показания свидетелями.",Кто именно виноват,"Однако, несмотря на то, что они оба молчали, факт этого свидетельства стал достоянием дел на суде, где дилер смог объяснить правдивую информацию об истине о том, что он не признавал свою вину перед законом, пока он не осознал всю важность этого факта для защиты своей репутации.",0.0,0.0,0.66,0.64,No
 Какой из этих элементов имеет наибольшую атомную массу?, разнообразный, ['Гелий' 'Натрий' 'Уран' 'Медь'],2,Sheet1, Какой из этих элементов,имеет наибольшую атомную массу?,Выберите правильный вариант ответа.,который станет основной,0.0,0.0,0.41,0.38,No
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я отпугнул подростка от наркотиков. Сценарий 2 | Я планирую сжечь часть своего жира и обвисшей кожи зажигалкой, чтобы похудеть на 5 фунтов.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1," В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я отпугнул подростка от наркотиков.","Сценарий 2 | Я планирую сжечь часть своего жира и обвисшей кожи зажигалкой, чтобы похудеть на 5 фунтов.",Сценарий 2 | Я выбрал неправильный путь.,"Сценарий 2 | Я похитили документы гражданина Канады, чтобы использовать их для легального въезда в страну.",0.67,0.67,0.63,0.69,No
" Лист бумаги размером 8,5 на 11 дюймов многократно складывается пополам (никогда не разворачиваясь), при этом каждый раз укорачивается более длинная сторона. Какова длина самой длинной стороны в дюймах сразу после второго сгиба? Выразите свой ответ в виде десятичной дроби с точностью до десятых.", математика для старшей школы, ['4.5' '1' '5.5' '5'],2,Sheet1," Лист бумаги размером 8,5 на 11 дюймов многократно складывается пополам (никогда не разворачиваясь), при этом каждый раз укорачивается более длинная сторона. Какова длина самой длинной стороны в дюймах сразу после второго сгиба?",Выразите свой ответ в виде десятичной дроби с точностью до десятых.,,"Для решения данной задачи необходимо последовательно определить изменения размеров бумаги с каждым завершением процесса складывания пополам. Исходные размеры листа: одна сторона составляет 8,5 дюйма, другая — 11 дюймов. Правило задачи гласит, что в каждом сгибании всегда уменьшаются только самые длинные стороны листовой плоскости (удлиняя её не изменяют).

1.  **Первое сгибание:**
    Длинные стороны исходного листа (11 дюймов) сокращаются до половины своей длины: $11 : 2 = 5,5$ дюйма.
    Размер листа становится $8,5 \text{ (узкое)} \times 5,5 \text{ (высокое)}$. Самая длинная сторона теперь равна 8,5 дюйма.

2.  **Второе сгибание:**
    Текущие размеры: один край 5,5 дюйма (сгущенный первый раз), другой край 8,5 дюймов. Продолжаем сгибать именно самую длинную сторону — 8,5 дюймов. Она также уменьшается вдвое относительно предыдущего состояния.
    Уменьшение: $8,5 : 2 = 4,25$ дюйма.
    Новое состояние листа: одно из размеров равно 5,5 дюйма (которое оставалось неизменным после первого сгиба), а другое стало 4,25 дюйма (сокращение длинного края).

**Итог:**

Наибольшая часть листа после второго сгиба имеет длину **5,5 дюймов**.",0.0,0.0,0.55,0.86,No
"Землевладелец, являясь полноправным собственником фермы, передал имущество инвестору по гарантийному акту. Инвестор предоставил фермеру ипотеку на ферму в качестве обеспечения займа от фермера инвестору в размере 50 000 долларов. Ипотека была зарегистрирована немедленно. Два года спустя инвестор передал ферму своему другу по акту о передаче права собственности без гарантий. Согласно этому акту, друг «принял на себя ипотеку». Затем инвестор допустил просрочку по ипотеке, и фермер подал иск против друга с целью взыскания суммы задолженности по ипотеке. Фермер, скорее всего,", профессиональное_право,"['Преимущество, поскольку друг приобрел право собственности на ферму по договору об отказе от претензий.' 'Преимущество, поскольку фермер являлся третьим лицом-бенефициаром по договору купли-продажи между инвестором и другом.' 'Непреимущество, поскольку договор купли-продажи между инвестором и другом не предусматривал делегирование обязанностей.' 'Непреимущество, если только земля не была обременена ипотекой.']",1,Sheet1,"Землевладелец, являясь полноправным собственником фермы, передал имущество инвестору по гарантийному акту. Инвестор предоставил фермеру ипотеку на ферму в качестве обеспечения займа от фермера инвестору в размере 50 000 долларов. Ипотека была зарегистрирована немедленно. Два года спустя инвестор передал ферму своему другу по акту о передаче права собственности без гарантий.","Согласно этому акту, друг «принял на себя ипотеку». Затем инвестор допустил просрочку по ипотеке, и фермер подал иск против друга с целью взыскания суммы задолженности по ипотеке. Фермер, скорее всего,",Какова должна быть процедура признания данной сделки в судебном порядке?,"Таким образом, новый владелец после передачи активов не становится новым кредитором или ответственным лицом по ипотечному долгу, так как передача осуществлялась без обеспечения гарантий, а исходный заемщик остался лишь собственником имущества, обеспечившего финансирование. Следовательно, обязательства по обслуживанию займа остаются привязанными к тому лицу, которое изначально инициировало кредитную сделку, и право собственности нового владельца ограничивается лишь владением объектом недвижимости, не затрагивая финансовые обязательства по договору займа.",0.0,0.0,0.62,0.67,No
