question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
11299,"Calculate the heat transferred when 100J of work is done on asystem consisting of 1 mole of an ideal gas. At constant temperature, \DeltaE = 0 for the expansion of an ideal gas.",-100J,200J,150J,-200J,50J,-150J,-50J,0J,100J,250J,A,0,engineering,stemez-Thermodynamics,,test,Calculate the heat transferred when 100J of work is done on asystem consisting of 1 mole of an ideal gas.,"At constant temperature, \DeltaE = 0 for the expansion of an ideal gas.", and the temperature of the gas increases by 100 K. Assume the gas is monatomic.,"To solve this, we apply the First Law of Thermodynamics, which states that the change in internal energy ($\Delta U$) of a system is equal to the heat added to the system ($Q$) plus the work done on the system ($W$): $\Delta U = Q + W$.

For an ideal gas, the change in internal energy depends only on the temperature change and is given by $\Delta U = nC_v\Delta T$, where $n$ is the number of moles and $C_v$ is the molar heat capacity at constant volume. However, the problem provides the work done ($W = 100\text{ J}$) but does not specify the process (e.g., isochoric, isobaric, adiabatic) or the resulting temperature change.

Without knowing the specific process or the change in temperature ($\Delta T$), the value of $\Delta U$ cannot be determined. Consequently, the heat transferred ($Q = \Delta U - W$) cannot be calculated with the given information alone. If the process were specified (for example, if it were an isochoric process where $W=0$, or an adiabatic process where $Q=0$), a numerical answer could be derived, but as stated, the heat transferred is indeterminate.",0.06,0.22,0.53,0.58
10894,Gauthier claims that moral agreements that are equally favorable to all parties are desirable because they:,promote a sense of community and unity.,satisfy our desire for fairness.,fulfill the basic needs of all parties.,promote the principle of equality.,maximize the productivity of society.,ensure the preservation of individual rights.,increase the overall happiness of society.,,,,B,1,philosophy,ori_mmlu-philosophy,,test,Gauthier claims that moral agreements that are equally favorable,to all parties are desirable because they:, to both parties are binding only if they are made with full knowledge and without coercion.,"to all parties involved are the most just and stable form of social contract, as they ensure mutual benefit without coercion.",0.36,0.35,0.72,0.68
758, Which of the following is not a useful base for segmenting organizational characteristics?,By industry type.,By level of technology adoption.,By geographical location.,By turnover.,By organizational culture.,By employee count.,By type of ownership.,By profitability.,By time of establishment.,By organizational size.,D,3,business,ori_mmlu-marketing,,test, Which of the following is not a,useful base for segmenting organizational characteristics?,characteristic of a perfect gas?,valid option?,0.0,0.0,0.48,0.3
12074,Consider a capacitor with capacitance C = 10^-6 farad. Assume that initial voltage across this capacitor is\nu_c(0) = 1 volt. Find the voltage\nu_c(t) at time t \geq 0 on this capacitor if the current through it isi_C(t) =cos(10^6t).,1 + cos (10^6 t),1 + sin (10^6 t),1 - cos (10^6 t),t * cos (10^6 t),1 + cos (10^4 t),1 - t * cos (10^6 t),sin (10^6 t) - 1,1 - sin (10^6 t),1 - t*sin (10^6 t),1 - sin (10^4 t),B,1,engineering,stemez-ElectricCircuits,,test,Consider a capacitor with capacitance C = 10^-6 farad. Assume that initial voltage across this capacitor is\nu_c(0) = 1 volt.,Find the voltage\nu_c(t) at time t \geq 0 on this capacitor if the current through it isi_C(t) =cos(10^6t).,Assume that the capacitor is connected to a voltage source v_s(t) = 2 sin(1000t) volts through a resistor R = 1000 ohms. Find the voltage across the capacitor v_c(t) for t > 0.,"Assume a constant current source of $i(t) = 2 \times 10^{-3}$ amperes is connected to the capacitor for $t \geq 0$. Determine the voltage across the capacitor, $\nu_c(t)$, at time $t = 0.5$ seconds.",0.29,0.23,0.67,0.65
6217,Zinc finger proteins and helix-turn-helix proteins are,involved in the synthesis of ATP,types of RNA-binding proteins,part of the hemoglobin in blood cells,involved in the control of translation,components of the cell's cytoskeleton,components of the cell membrane,types of DNA-binding proteins,components of ribosomes,types of lipid-binding proteins,,G,6,health,ori_mmlu-medical_genetics,,test,Zinc finger proteins and,helix-turn-helix proteins are,"C2H2 zinc finger proteins are a class of proteins that contain a zinc finger motif, which is a small structural domain that binds to DNA, RNA, or other proteins. These proteins play crucial roles in various cellular processes, including gene regulation, DNA repair, and protein-protein interactions. The zinc finger motif typically consists of a zinc ion coordinated by cysteine and histidine residues, which stabilizes the structure and allows the protein to interact with its target molecules. C2H2 zinc finger proteins are particularly abundant in eukaryotic genomes and are involved in a wide range of biological functions.",Zinc finger proteins and other DNA-binding domains play crucial roles in regulating gene expression by interacting with specific nucleotide sequences.,0.08,0.04,0.39,0.47
8676,Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,4 - t,4 / t,t - 4t,4 + t,t + 4,t / 4,t over 4,t − 4,,A,0,math,ori_mmlu-elementary_mathematics,,test,Identify the algebraic expression that matches the word phrase: 4,times as many cans as Tom collected.," times the sum of 3 and 2.
A) 4(3+2)
B) 4(3-2)
C) 4(3*2)
D) 4(3/2)
E) (4+3)*2",times the quantity of $x$ minus 3.,0.14,0.06,0.42,0.44
2834,"Consider that in humans red-green colorblindness is controlled by a recessive X-linked gene, c. Assume that a normal-visioned woman, whose father was colorblind, marries a normal-visioned man. What is the probability that their first child will be colorblind?",1/5,2/3,1/6,3/4,1/2,1/3,1/4,1/8,2/5,1/10,G,6,biology,stemez-Genetics,,test,"Consider that in humans red-green colorblindness is controlled by a recessive X-linked gene, c. Assume that a normal-visioned woman, whose father was colorblind, marries a normal-visioned man.",What is the probability that their first child will be colorblind?,What is the probability that their first child will be colorblind? (A) 0% (B) 25% (C) 50% (D) 75% (E) 100%,"Since the woman has normal vision but her father was colorblind (genotype $X^cY$), she must have inherited his affected X chromosome, making her a carrier with the genotype $X^CX^c$. The man has normal vision, so his genotype is $X^CY$. When they marry, their potential offspring are: daughters who are either homozygous normal ($X^CX^C$) or carriers ($X^CX^c$), all with normal vision; and sons who are either normal ($X^CY$) or colorblind ($X^cY$). Therefore, there is a 50% chance that any son born to this couple will be colorblind, while no daughters will express the condition.",0.09,0.69,0.64,0.92
2358,Define behaviorism and social learning theory.,"Behaviorism focuses on the analysis of human emotions as the primary factor in behavior, whereas social learning theory emphasizes the role of instinctual drives.",Behaviorism refers to a theory that considers only observable behavior. Social learning theory is based on the fact that children imitate and includes the importance of dependency as the major factor that brings about socialization.,Social learning theory is a subset of behaviorism that deals exclusively with verbal learning and linguistics.,Social learning theory is solely about children's aggression.,"Behaviorism is a theory that emphasizes the importance of supernatural influences on behavior, while social learning theory focuses on the impact of societal norms only.",Behaviorism is concerned with unobservable mental processes.,"Social learning theory suggests that behavior is entirely shaped by peer pressure, while behaviorism states that behavior is a result of conscious decision-making.","Behaviorism and social learning theory both argue that behavior is a direct consequence of divine will, without the influence of the environment or cognition.","Behaviorism is based on the idea that behavior is determined by past life experiences, while social learning theory asserts that behavior is solely a result of genetic inheritance.",Behaviorism believes in the major role of intrinsic factors in behavior.,B,1,psychology,stemez-Psychology,,test,Define behaviorism and social,learning theory.,psychology.,"Define behaviorism and social learning theory. Behaviorism, pioneered by figures like John B. Watson and B.F. Skinner, posits that all behaviors are acquired through conditioning—specifically through associations between stimuli and responses, reinforced by rewards or punishments. In contrast, social learning theory, developed largely by Albert Bandura, expands on this by arguing that people can learn new behaviors by observing and imitating others, a process heavily influenced by cognitive factors such as attention, memory, and motivation, rather than just direct reinforcement.",0.05,0.0,0.46,0.61
12201,Calculate the heat added when one mole of carbon dioxide is heated at constant volume from 540 to 3540 F.,"28,500 Btu","34,650 Btu","40,000 Btu","25,000 Btu","45,000 Btu","30,000 Btu","55,000 Btu","60,000 Btu","20,000 Btu","50,000 Btu",B,1,engineering,stemez-Thermodynamics,,test,Calculate the heat added when one mole of carbon dioxide is heated,at constant volume from 540 to 3540 F.," from 298 K to 373 K at constant pressure, assuming ideal gas behavior and using the following molar heat capacities: $C_p = 37.11 + 0.0495T - 1.679 \times 10^{-5}T^2$ J/(mol·K), where T is in Kelvin.","from 300 K to 1000 K at constant pressure, assuming ideal gas behavior and using the temperature-dependent molar heat capacity $C_p(T) = a + bT + cT^2 + dT^{-2}$. The heat added $Q$ is calculated by integrating $C_p(T)$ over the temperature range:

$$Q = \int_{300}^{1000} C_p(T) \, dT$$

Using standard thermodynamic data for $\text{CO}_2$ (where $a \approx 44.22$, $b \approx 8.79 \times 10^{-3}$, $c \approx -8.62 \times 10^{-6}$, and $d \approx 1.81 \times 10^{-1}$ in units of J/(mol·K) and appropriate powers of T), the integration yields approximately **23,400 J** (or 23.4 kJ).",0.03,0.08,0.46,0.5
7029,The appropriate fiscal policy to remedy a recession,calls for the federal government to run a deficit.,calls for the federal government to run a surplus.,is increased taxes and government spending.,is decreased government spending and taxes.,,,,,,,A,0,economics,ori_mmlu-high_school_macroeconomics,,test,The appropriate fiscal policy to,remedy a recession,address a recession is to increase government spending and/or decrease taxes to stimulate aggregate demand.,"The appropriate fiscal policy to address a recession involves increasing government spending and/or reducing taxes to stimulate aggregate demand, while the correct approach for curbing high inflation typically entails decreasing spending and/or raising taxes to cool down the economy.",0.09,0.21,0.6,0.61
8781,"A college admissions officer is interested in comparing the SAT math scores of high school applicants who have and have not taken AP Statistics. She randomly pulls the files of five applicants who took AP Statistics and five applicants who did not, and proceeds to run a t-test to compare the mean SAT math scores of the two groups. Which of the following is a necessary assumption?",The population of SAT scores from each group is not normally distributed.,The SAT scores from each group are unrelated.,The mean SAT scores from each group are similar.,The SAT scores from each group are skewed.,The population variances from each group are known.,The population of SAT scores from each group is normally distributed.,The population variances from the two groups are unequal.,The population variances from each group are unknown.,The population variances from the two groups are equal.,The population variances from each group are estimated.,F,5,math,ori_mmlu-high_school_statistics,,test,"A college admissions officer is interested in comparing the SAT math scores of high school applicants who have and have not taken AP Statistics. She randomly pulls the files of five applicants who took AP Statistics and five applicants who did not, and proceeds to run a t-test to compare the mean SAT math scores of the two groups.",Which of the following is a necessary assumption?,"The null hypothesis is that the mean SAT math scores of applicants who took AP Statistics are equal to the mean SAT math scores of applicants who did not take AP Statistics. The alternative hypothesis is that the mean SAT math scores of applicants who took AP Statistics are not equal to the mean SAT math scores of applicants who did not take AP Statistics. The t-test yields a p-value of 0.03. At a significance level of 0.05, the admissions officer should:
A. Fail to reject the null hypothesis and conclude that there is no significant difference in the mean SAT math scores between the two groups.
B. Reject the null hypothesis and conclude that there is a significant difference in the mean SAT math scores between the two groups.
C. Fail to reject the null hypothesis and conclude that there is a significant difference in the mean SAT math scores between the two groups.
D. Reject the null hypothesis and conclude that there is no significant difference in the mean SAT math scores between the two groups.
E. The test is inconclusive; more data is needed to make a decision.","She calculates the sample means and standard deviations for both groups, verifies that the assumption of equal variances is reasonable (or opts for Welch's t-test if not), and then computes the t-statistic and the corresponding p-value. Finally, she compares the p-value to her chosen significance level (typically $\alpha = 0.05$) to determine whether there is statistically significant evidence to conclude that the mean SAT math scores differ between applicants who have taken AP Statistics and those who have not.",0.07,0.04,0.71,0.66
3950,"A chemist decides to prepare some chlorine gas by the following reaction: MnO_2 + 4HCl \rightarrow MnCl_2 + 2H_2 O + Cl_2 \uparrow If he uses 100 g of MnO_2, what is the maximum volume of chlorine gas that can be obtained at standard temperature and pressure (STP)?",75.3 liters,15.0 liters,11.2 liters,86.9 liters,40.7 liters,22.4 liters,25.8 liters,34.5 liters,100 liters,50.0 liters,G,6,chemistry,stemez-Chemistry,,test,A chemist decides to prepare some chlorine gas by the following reaction: MnO_2 + 4HCl \rightarrow MnCl_2 + 2H_2 O + Cl_2 \uparrow If he uses 100 g,"of MnO_2, what is the maximum volume of chlorine gas that can be obtained at standard temperature and pressure (STP)?","of MnO_2 and 100 g of HCl, what is the maximum mass of Cl_2 that can be produced?","of MnO_2 and excess HCl, how many grams of Cl_2 can be produced?

**Step-by-step derivation:**

1.  **Calculate the molar mass of MnO_2:**
    *   Mn: 54.94 g/mol
    *   O: 16.00 g/mol $\times$ 2 = 32.00 g/mol
    *   Molar Mass (MnO_2) = $54.94 + 32.00 = 86.94$ g/mol

2.  **Convert the mass of MnO_2 to moles:**
    *   Moles of MnO_2 = $\frac{100 \text{ g}}{86.94 \text{ g/mol}} \approx 1.150$ mol

3.  **Determine the moles of Cl_2 produced using stoichiometry:**
    *   From the balanced equation: $1 \text{ mol MnO}_2 \rightarrow 1 \text{ mol Cl}_2$
    *   Therefore, moles of Cl_2 = $1.150$ mol

4.  **Calculate the molar mass of Cl_2:**
    *   Cl: 35.45 g/mol $\times$ 2 = 70.90 g/mol

5.  **Convert moles of Cl_2 to grams:**
    *   Mass of Cl_2 = $1.150 \text{ mol} \times 70.90 \text{ g/mol} \approx 81.54$ g

**Answer:**
Approximately **81.5 grams** of chlorine gas can be produced.",0.09,0.54,0.61,0.78
5642,"Felton Farm Supplies, Inc., has an 8 percent return on total assets of $300,000 and a net profit margin of 5 percent. What are its sales?","$2,000,000","$300,000","$900,000","$3,750,000.00","$600,000","$750,000","$1,500,000","$2,400,000","$480,000","$1,200,000",I,8,other,ori_mmlu-professional_accounting,,test,"Felton Farm Supplies, Inc., has an 8 percent return on total assets of $300,000 and a net profit margin of 5 percent.",What are its sales?,What is the firm's total assets turnover?,"To find the missing information, we can use the DuPont identity, which relates Return on Total Assets (ROA), Net Profit Margin, and Total Asset Turnover.

The formula is:
$$ \text{ROA} = \text{Net Profit Margin} \times \text{Total Asset Turnover} $$

Given:
*   $\text{ROA} = 8\%$ or $0.08$
*   $\text{Net Profit Margin} = 5\%$ or $0.05$

First, solve for Total Asset Turnover:
$$ 0.08 = 0.05 \times \text{Total Asset Turnover} $$
$$ \text{Total Asset Turnover} = \frac{0.08}{0.05} = 1.6 $$

Next, calculate Net Income using the ROA and Total Assets:
$$ \text{ROA} = \frac{\text{Net Income}}{\text{Total Assets}} $$
$$ 0.08 = \frac{\text{Net Income}}{\$300,000} $$
$$ \text{Net Income} = 0.08 \times \$300,000 = \$24,000 $$

Finally, calculate Sales using the Net Income and Net Profit Margin:
$$ \text{Net Profit Margin} = \frac{\text{Net Income}}{\text{Sales}} $$
$$ 0.05 = \frac{\$24,000}{\text{Sales}} $$
$$ \text{Sales} = \frac{\$24,000}{0.05} = \$480,000 $$

Alternatively, using Total Asset Turnover:
$$ \text{Total Asset Turnover} = \frac{\text{Sales}}{\text{Total Assets}} $$
$$ 1.6 = \frac{\text{Sales}}{\$300,000} $$
$$ \text{Sales} = 1.6 \times \$300,000 = \$480,000 $$

**SECOND PIECE:**
Therefore, the company's total sales for the period were **$480,000**.",0.01,0.17,0.53,0.8
11551,"Find the Laplace transform of f(t) = t^n, where n is a positive integer.",n^n / s^n,n! / s^n+1,n! / s^n+2,(n+1)! / s^n,n! / s^n,n! / (s+1)^n,n! / s^n-1,(n-1)! / s^n+1,(n+1)! / s^n+2,n! / (s-1)^n+1,B,1,engineering,stemez-ElectronicCommunications,,test,"Find the Laplace transform of f(t) = t^n,",where n is a positive integer.,where n is a non-negative integer.,"where $n$ is a non-negative integer and $t \geq 0$. Using the definition of the Laplace transform, $\mathcal{L}\{f(t)\} = \int_0^\infty e^{-st} f(t) \, dt$, we substitute $f(t) = t^n$:

$$ \mathcal{L}\{t^n\} = \int_0^\infty t^n e^{-st} \, dt $$

By applying integration by parts repeatedly or utilizing the Gamma function property $\int_0^\infty x^n e^{-x} \, dx = n!$, and performing the substitution $u = st$ (which implies $dt = du/s$), the integral simplifies to:

$$ \mathcal{L}\{t^n\} = \frac{n!}{s^{n+1}} $$

This result is valid for $s > 0$.",0.09,0.77,0.48,0.8
11108,Stevenson’s primary aim in this paper is to:,provide an account of what makes right actions right.,establish which things are good in themselves.,develop a theory of good moral character.,make ethical questions clear.,,,,,,,D,3,philosophy,ori_mmlu-philosophy,,test,Stevenson’s primary aim in this,paper is to:,"essay is to explore the complex relationship between identity and environment, suggesting that while nature plays a significant role in shaping an individual, nurture can also exert a powerful influence. Through the contrasting experiences of David and Henry, Stevenson illustrates how different upbringings and social contexts can lead to divergent outcomes, even when the individuals share similar genetic predispositions. Ultimately, the essay argues that human development is a dynamic interplay of both innate characteristics and external factors, challenging the notion of a deterministic view of nature versus nurture.","Stevenson's primary aim in this work is to explore the duality of human nature, illustrating how the struggle between good and evil resides within every individual rather than being an external force.",0.11,0.04,0.57,0.55
9488,"An air conditioner is a refrigerator with the inside of the house acting as the cold reservoir and the outside atmosphere acting as the hot reservoir. Assume that an air conditioner consumes $1.70 \times 10^3 \mathrm{~W}$ of electrical power, and that it can be idealized as a reversible Carnot refrigerator. If the coefficient of performance of this device is 3.30 , how much heat can be extracted from the house in a day?",5.50 $10^8 \mathrm{~J}$,5.10 $10^8 \mathrm{~J}$,2.50 $10^8 \mathrm{~J}$,6.00 $10^8 \mathrm{~J}$,6.50 $10^8 \mathrm{~J}$,3.20 $10^8 \mathrm{~J}$,4.85 $10^8 \mathrm{~J}$,7.20 $10^8 \mathrm{~J}$,3.85 $10^8 \mathrm{~J}$,4.00 $10^8 \mathrm{~J}$,G,6,physics,scibench-thermo,,test,"An air conditioner is a refrigerator with the inside of the house acting as the cold reservoir and the outside atmosphere acting as the hot reservoir. Assume that an air conditioner consumes $1.70 \times 10^3 \mathrm{~W}$ of electrical power, and that it can be idealized as a reversible Carnot refrigerator.","If the coefficient of performance of this device is 3.30 , how much heat can be extracted from the house in a day?",The inside of the house is maintained at $20.0^\circ\mathrm{C}$ and the outside atmosphere is at $35.0^\circ\mathrm{C}$. What is the maximum rate at which heat can be removed from the inside of the house?,"If the indoor temperature is maintained at $20.0^\circ\mathrm{C}$ and the outdoor temperature is $35.0^\circ\mathrm{C}$, calculate the rate at which heat is removed from the house.",0.25,0.28,0.74,0.72
10011,"An electric motor is used to lift a 1600-lb block at a rate of An electric motor is used to lift a 1600-lb block at a rate of 10 fpm. How much electric power (watts) must be supplied to the motor, if the motor lifting the block is 60 percent efficient? The weight W is 1600 lb.",1000 watts,950 watts,1200 watts,750 watts,450 watts,267 watts,1600 watts,350 watts,605 watts,0.81 watts,I,8,physics,stemez-Mechanics,,test,"An electric motor is used to lift a 1600-lb block at a rate of An electric motor is used to lift a 1600-lb block at a rate of 10 fpm. How much electric power (watts) must be supplied to the motor, if the motor lifting the block is 60 percent efficient?",The weight W is 1600 lb.,"The motor is lifting a 1600-lb block at a rate of 10 fpm. How much electric power (watts) must be supplied to the motor, if the motor lifting the block is 60 percent efficient?","To find the required electric power, we first calculate the mechanical power output needed to lift the block. The force required is equal to the weight of the block, which is 1600 lb. The lifting speed is 10 feet per minute (fpm).

First, convert the speed to feet per second (fps) to align with standard power units:
$$10 \text{ fpm} = \frac{10}{60} \text{ fps} = \frac{1}{6} \text{ fps}$$

Next, calculate the mechanical power output ($P_{\text{out}}$) in foot-pounds per second (ft-lb/s):
$$P_{\text{out}} = \text{Force} \times \text{Velocity} = 1600 \text{ lb} \times \frac{1}{6} \text{ ft/s} = \frac{1600}{6} \text{ ft-lb/s} \approx 266.67 \text{ ft-lb/s}$$

Convert this mechanical power to horsepower (hp), knowing that 1 hp = 550 ft-lb/s:
$$P_{\text{out}} (\text{hp}) = \frac{266.67}{550} \approx 0.4848 \text{ hp}$$

Since the motor is only 60% efficient, the electrical power input ($P_{\text{in}}$) must be higher than the mechanical output. The relationship is $P_{\text{out}} = \text{Efficiency} \times P_{\text{in}}$. Therefore:
$$P_{\text{in}} (\text{hp}) = \frac{0.4848 \text{ hp}}{0.60} \approx 0.808 \text{ hp}$$

Finally, convert the input power from horsepower to watts (1 hp $\approx$ 746 watts):
$$P_{\text{in}} (\text{watts}) = 0.808 \text{ hp} \times 746 \text{ W/hp} \approx 603 \text{ W}$$

**Answer:** Approximately **603 watts** of electric power",0.04,0.2,0.57,0.78
571,The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete. Which of the following is not part of the four main tasks?,Persuade.,Inform.,Demonstrate.,Participate.,Reinforce.,Facilitate.,Negotiate.,Stimulate.,Differentiate.,Validate.,D,3,business,ori_mmlu-marketing,,test,The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete.,Which of the following is not part of the four main tasks?,"These tasks are: (1) to inform, (2) to persuade, (3) to remind, and (4) to reinforce.","These four tasks are to inform, persuade, remind, and reinforce the target audience about a brand, product, or service.",0.13,0.07,0.69,0.72
3588,"In water vapor at 25°C, what is the average speed of a water molecule in meters/sec? Recall that 1 Joule = 1Kg-m^2/sec^2. The Boltzmann constant, k = 1.3806 × 10^-23 J/deg.",500 m/sec,700 m/sec,550 m/sec,480 m/sec,642 m/sec,750 m/sec,430 m/sec,600 m/sec,690 m/sec,800 m/sec,E,4,chemistry,stemez-Chemistry,,test,"In water vapor at 25°C, what is the average speed of a water molecule in meters/sec? Recall that 1 Joule = 1Kg-m^2/sec^2.","The Boltzmann constant, k = 1.3806 × 10^-23 J/deg.","(A) 640
(B) 6400
(C) 64000
(D) 640000
(E) 6400000","To find the average speed, we use the root-mean-square speed formula derived from the kinetic theory of gases: $v_{rms} = \sqrt{\frac{3k_BT}{m}}$, where $k_B$ is the Boltzmann constant ($1.38 \times 10^{-23} \, \text{J/K}$), $T$ is the temperature in Kelvin ($25^\circ\text{C} = 298.15 \, \text{K}$), and $m$ is the mass of a single water molecule. The molar mass of water ($H_2O$) is approximately $18.015 \, \text{g/mol}$, so the mass of one molecule is $m = \frac{0.018015 \, \text{kg/mol}}{6.022 \times 10^{23} \, \text{mol}^{-1}} \approx 2.99 \times 10^{-26} \, \text{kg}$. Substituting these values into the equation yields $v_{rms} = \sqrt{\frac{3(1.38 \times 10^{-23})(298.15)}{2.99 \times 10^{-26}}} \approx 642 \, \text{m/s}$. Therefore, the average speed of a water molecule at $25^\circ\text{C}$ is approximately **642 meters per second**.",0.08,0.0,0.53,0.71
3333,Which of the following is typically NOT found in normal somatic cells of a human male?,The entire genetic information possessed by the original zygote,An inactivated X chromosome,Forty-four autosomes,A diploid nucleus,,,,,,,B,1,biology,ori_mmlu-college_biology,,test,Which of the following is typically NOT found in,normal somatic cells of a human male?,a standard operating system kernel? (A) Process scheduler (B) Memory manager (C) File system (D) Web browser (E) Device driver,"a standard business letter?

A) Salutation
B) Body paragraphs
C) Postscript (P.S.)
D) Signature block

**Answer:** C) Postscript (P.S.)

**Explanation:** While salutations, body paragraphs, and signature blocks are essential components of a formal business letter, a postscript (P.S.) is generally considered informal and is typically avoided in professional correspondence unless absolutely necessary for an afterthought.",0.06,0.07,0.48,0.38
6750,"A 19-year-old college student comes to the physician because of vaginal irritation and pain with urination for 5 days. Two weeks ago, she had streptococcal pharyngitis treated with amoxicillin. She has been sexually active with two partners over the past year; she uses condoms for contraception. Her last menstrual period was 1 week ago. Her temperature is 37.2°C (99°F), and blood pressure is 90/60 mm Hg. Pelvic examination shows erythema of the vulva and vagina and a thick white vaginal discharge. The pH of the discharge is 4. Which of the following is the most likely cause of these findings?",Bacterial vaginosis,Candidiasis,Chlamydia trachomatis infection,Escherichia coli infection,,,,,,,B,1,health,ori_mmlu-professional_medicine,,test,"A 19-year-old college student comes to the physician because of vaginal irritation and pain with urination for 5 days. Two weeks ago, she had streptococcal pharyngitis treated with amoxicillin. She has been sexually active with two partners over the past year; she uses condoms for contraception. Her last menstrual period was 1 week ago. Her temperature is 37.2°C (99°F), and blood pressure is 90/60 mm Hg.",Pelvic examination shows erythema of the vulva and vagina and a thick white vaginal discharge. The pH of the discharge is 4. Which of the following is the most likely cause of these findings?,"Physical examination shows erythema and edema of the vulva and vagina, with a thin, white, curd-like discharge. Microscopic examination of the discharge reveals pseudohyphae and budding yeast. Which of the following is the most likely diagnosis?

(A) Bacterial vaginosis
(B) Candidiasis
(C) Chlamydia trachomatis infection
(D) Gonorrhea
(E) Trichomoniasis","Physical examination reveals erythema and edema of the vulva and vagina, with purulent discharge. Urinalysis shows pyuria and positive leukocyte esterase. Given her recent history of streptococcal pharyngitis treated with amoxicillin, the most likely diagnosis is **Chlamydia trachomatis** infection, which can present with urethritis and cervicitis. The patient's low blood pressure and symptoms suggest possible dehydration or early sepsis, warranting immediate fluid resuscitation and empiric antibiotic therapy covering both *Chlamydia* and *Neisseria gonorrhoeae*, such as doxycycline and ceftriaxone. Further testing for other sexually transmitted infections, including HIV and syphilis, should be performed.",0.2,0.52,0.56,0.74
911,"A state built a casino and issued bonds to finance its construction. On five occasions, there were episodes of violence in various casinos in the state. The state police attributed the violence to greed and fear at the casinos. To prevent such violence, the state legislature passes a statute prohibiting all gambling at privately owned casinos in the state. Is this law likely to be held constitutional if most casinos in the state were owned by those from out-of-state?","Yes, because the act was expressly authorized by the state legislature.","No, because the state does not have the authority to regulate commerce.","No, because this would infringe on the rights of out-of-state business owners.","Yes, but only if the casinos were given notice and an opportunity to be heard before the law was passed.","Yes, but only if the local interest in safety outweighs the burden of interstate commerce.","No, because the statute violates the due process rights of the owners of the casinos.","Yes, but only if the state can prove that the violence was directly caused by the casinos.","No, because out-of-state casinos are part of interstate commerce.","No, because the state cannot interfere with private businesses.","Yes, because the state has the power to regulate businesses within its borders.",E,4,law,ori_mmlu-professional_law,,test,"A state built a casino and issued bonds to finance its construction. On five occasions, there were episodes of violence in various casinos in the state. The state police attributed the violence to greed and fear at the casinos.","To prevent such violence, the state legislature passes a statute prohibiting all gambling at privately owned casinos in the state. Is this law likely to be held constitutional if most casinos in the state were owned by those from out-of-state?","The state's attorney general concluded that the violence was not caused by the casinos themselves, but by the fact that the state had issued bonds to finance their construction. Which of the following, if true, most strongly supports the attorney general's conclusion?","The state police attributed the violence to greed and fear at the casinos. Consequently, the legislature passed a law prohibiting the issuance of new bonds for casino expansion and mandated stricter security protocols for all existing facilities.",0.2,0.21,0.69,0.61
4534,"A chemist dissolves methyl alcohol in n-octane. He adds this to excessmethylmagnesiumiodide, which is dissolved in the high-boiling solvent, n-butyl ether. A gas is evolved, which is collected at STP. It occupies a volume of 1.04 cc. What is the gas and how many grams of methyl alcohol were present?","Hydrogen, 1.48 x 10^-3 grams of methyl alcohol","Methane, 0.74 x 10^-3 grams of methyl alcohol","Hydrogen, 2.96 x 10^-3 grams of methyl alcohol","Methane, 3.00 x 10^-3 grams of methyl alcohol","Methanol, 2.96 x 10^-3 grams of methyl alcohol","Ethane, 2.96 x 10^-3 grams of methyl alcohol","Propane, 1.48 x 10^-3 grams of methyl alcohol","Methanol, 1.48 x 10^-3 grams of methyl alcohol","Methane, 1.48 x 10^-3 grams of methyl alcohol","Ethane, 1.48 x 10^-3 grams of methyl alcohol",I,8,chemistry,stemez-Chemistry,,test,"A chemist dissolves methyl alcohol in n-octane. He adds this to excessmethylmagnesiumiodide, which is dissolved in the high-boiling solvent, n-butyl ether. A gas is evolved, which is collected at STP.",It occupies a volume of 1.04 cc. What is the gas and how many grams of methyl alcohol were present?,The volume of the gas collected is 11.2 L. What is the mass of the methyl alcohol used? (Molar mass of methyl alcohol = 32.04 g/mol; Molar volume of gas at STP = 22.4 L/mol),"The evolved gas is methane ($CH_4$). The methyl alcohol reacts with the excess methylmagnesium iodide (a Grignard reagent) in an acid-base reaction, where the acidic proton of the alcohol is replaced by the methyl group's carbanion character, releasing methane gas. The n-octane and n-butyl ether remain as the organic solvent system, while the resulting byproduct is magnesium alkoxide species.",0.14,0.27,0.57,0.73
