question,choice_A,choice_B,choice_C,choice_D,answer,category,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
Which of the following would not be visible when examining the eye with an ophthalmoscope?, macula lutea, fovea centralis, optic chiasma, optic disk,C,,val,Which of the following would not be visible when,examining the eye with an ophthalmoscope?,in the image,It occurs specifically when there is no source of light available in the vicinity.,0.1,0.22,0.42,0.44,No
"For a capability to offer a sustainable competitive advantage, it must satisfy all of the following criteria EXCEPT:", valuable to customers., technologically innovative., without good substitutes., hard for competing firms to duplicate.,B,,val,"For a capability to offer a sustainable competitive advantage, it must",satisfy all of the following criteria EXCEPT:,must be differentiable.,"valuable, rare, and difficult to imitate.",0.0,0.0,0.44,0.51,No
"According to scaling technology, what factors influence the total delay of a logic circuit?", The voltage through which capacitance must be charged, The capacitor to be charged, Available current, All of the above,B,,val,"According to scaling technology, what factors influence the",total delay of a logic circuit?,computing resources and the size of the dataset,"resource utilization, infrastructure performance, and cost",0.0,0.14,0.43,0.5,No
Which of the following hormones does NOT contain an amino acid?, glucagon, testosterone, insulin, thyroid,B,,val,Which of the following hormones does NOT,contain an amino acid?,regulate blood sugar,Which of the following hormones does NOT secrete insulin?,0.0,0.0,0.36,0.34,No
"A and B can finish a project together in 30 days. After A works on it for 16 days, B takes another 44 days to complete the remaining work. How many days would it take for B to complete the entire project by himself?", 60 days, 30 days, 70 days, 40 days,A,,val,"A and B can finish a project together in 30 days. After A works on it for 16 days, B takes another 44 days to complete the remaining work.",How many days would it take for B to complete the entire project by himself?,"A. 14 days
B. 34 days
C. 28 days
D. 36 days","Based on this information, we can now determine the time it would have taken for A to complete the project alone.",0.33,0.15,0.82,0.79,No
Which of these acids does not produce an anhydride?, Propionic acid, Acetic acid, None of the other choices, n-butyric acid,C,,val,Which of these acids does,not produce an anhydride?,Which of these acids does react with sodium hydroxide?,Which of these acids does the human body need,0.0,0.0,0.28,0.43,No
Which country did Mangrol port trade with during the Indus Valley Civilization?, Egypt, Iran, None of the other choices, Mesopotamia,D,,val,Which country did Mangrol port trade with,during the Indus Valley Civilization?,Options: A. Bangladesh B. China C. India D. Myanmar,Answer is **China**,0.0,0.0,0.56,0.53,No
What term describes a detailed perspective of the database focusing on how data is physically stored and accessed?, external-level schema., None of the other choices, subschema., conceptual-level schema.,B,,val,What term describes a detailed perspective of the database focusing on,how data is physically stored and accessed?,Schema,logical schema.,0.0,0.0,0.58,0.4,No
How is the lift defined given a desired class C and population P?, the probability of class C given population P divided by the probability of C given a sample taken from the population., the probability of population P given a sample taken from P., the probability of class C given a sample taken from population P., the probability of class C given a sample taken from population P divided by the probability of C within the entire population P.,D,,val,How is the lift defined given a desired,class C and population P?,lift coefficient,airspeed,0.0,0.0,0.34,0.43,No
What is Balance of Payment?, Export of goods – Import of goods, None of the other choices, Foreign exchange inflow – Foreign exchange outflow, Balance of trade + Net earnings on invisibles,B,,val,What is Balance,of Payment?,a condition of equilibrium,It refers to the state of equilibrium where opposing forces remain equal.,0.14,0.33,0.45,0.49,No
What are the four interrelated areas in which user education may be provided?," Aptitude test of the users, use of cataloguing, inter-profiling, user’s awareness"," Bibliographic instruction, library orientation, computer literacy, user’s awareness."," User’s awareness, library orientation, inter-profiling, bibliographic instruction"," User’s awareness, user studies, library orientation, bibliographic instruction",D,,val,What are the four interrelated areas in which,user education may be provided?,learning occurs,in which learning outcomes are evaluated.,0.0,0.0,0.57,0.65,No
What language is used to model configuration and state data handled by the NETCONF protocol?, Data Definition Language, None of the other choices, Shell Script Language, YANG data modeling language,D,,val,What language is used to model configuration and state,data handled by the NETCONF protocol?,Python,JSON,0.0,0.0,0.5,0.54,No
How does the contraction mechanism in smooth muscle differ from that in skeletal muscle?, the site of calcium regulation differs, the trigger for contraction is a rise in intracellular calcium, actin and myosin interact by the sliding filament mechanism, ATP energizes the sliding process,A,,val,How does the contraction mechanism in smooth muscle,differ from that in skeletal muscle?,smo,"The contraction mechanism depends on the excitation-contraction coupling pathway triggered by calcium signaling, where release from the sarcoplasmic reticulum increases intracellular calcium. This calcium binds to the troponin molecule, shifting tropomyosin to uncover myosin-binding sites on actin filaments. Consequently, myosin heads interact with the exposed sites, performing the sliding filament action to produce shortening and contraction.",0.03,0.0,0.4,0.45,No
"What is meta-analysis, and how is it used as a statistical method?", researchers count the number of studies finding a difference., each study is given the same weight regardless of the magnitude of the reported difference., None of the other choices, a measure is provided of the size of a given difference across several studies.,D,,val,"What is meta-analysis, and how is it",used as a statistical method?,to analyze and synthesize the results of multiple studies,"What is meta-analysis, and how is it conducted?",0.0,0.0,0.64,0.64,No
Which of the following illustrates the loss experienced by consumers in an importing country due to decreased consumption following the imposition of a tariff?, consumption effect, None of the other choices," one-dollar, one-vote metric", terms-of-trade effect,A,,val,Which of the following illustrates the loss experienced by consumers in an importing country,due to decreased consumption following the imposition of a tariff?,"A. It increases the overall price level.
B. It decreases the overall price level.
C. It increases the quantity of goods in the importing country.
D. It decreases the quantity of goods in the importing country.",a significant decrease in consumer surplus resulting from the higher cost of living caused by currency depreciation.,0.15,0.09,0.59,0.56,No
What principle governs the operation of a bridge circuit?, partial indication, kirchhoff’s laws, ampere’s rule, null indication,D,,val,What principle governs the operation,of a bridge circuit?,of a transformer,of the machine. The governing principle is conservation of energy.,0.14,0.57,0.5,0.46,No
"Therefore, Vo ranges from -0.176v to -11.73 when the photocell transitions from darkness to light exposure. 5. What alternative cell can be utilized in place of a photocell to achieve an active transducer in photosensitive devices?", Photo sensor, Photovoltaic cell, Photo diode, All of the mentioned,B,,val,"Therefore, Vo ranges from -0.176v to -11.73 when the photocell transitions from darkness to light exposure. 5.",What alternative cell can be utilized in place of a photocell to achieve an active transducer in photosensitive devices?,,"Consequently, the dynamic range observed here defines the operational limits for optimal performance, as the sensor saturates before reaching this upper bound.",0.0,0.0,0.52,0.71,No
What happens when planned expenditures amount to $13 trillion and real GDP is $13.5 trillion?, None of the other choices, there will be excess demand for most goods., actual investment will exceed planned investment., the economy must have a trade surplus to sell the excess goods and services.,C,,val,What happens when planned expenditures amount to $13 trillion,and real GDP is $13.5 trillion?,This would negatively impact the national budget.,This would force the government to cut defense funding.,0.0,0.0,0.59,0.66,No
"Which of the following descriptions does the term ""Robustness"" refer to?", Process continues in spite of unexpected problems, CASE tools be used to support the process activities, Process errors are avoided or trapped before they result in product errors, Defined process is acceptable and usable by the engineers responsible for producing the software,B,,val,Which of the following descriptions does the,"term ""Robustness"" refer to?",the correct option,Which of the following descriptions does the candidate describe in their submission?,0.0,0.0,0.36,0.4,No
"Which account should be debited when rectifying the error of not recording goods returned by Senguttuvan, even though they were taken back into stock?", Sales returns account, Purchases returns account, Returns outward account, Senguttuvan account,A,,val,Which account should be debited when rectifying the error of not recording goods returned,"by Senguttuvan, even though they were taken back into stock?","A. Accounts Receivable  
B. Sales Returns  
C. Cost of Goods Sold  
D. Inventory",**Which accounts should be credited when correcting the error of not recording purchases made on credit?**,0.0,0.0,0.56,0.53,No
Which procedure utilizes an acidic solution to eliminate the epidermis?, laser skin resurfacing, dermabrasion, chemical peel, microdermabrasion,C,,val,Which procedure utilizes an acidic solution,to eliminate the epidermis?,Which procedure utilizes an acidic solution,typically used in titration experiments where the acidic component is added to determine the exact amount of base present in the mixture.,0.15,0.0,0.35,0.64,No
The spanning tree of a connected graph with 10 vertices includes how many edges?, 9 vertices, 10 edges, None of the other choices, 9 edges,D,,val,The spanning tree of a connected graph with,10 vertices includes how many edges?,is a unique set of edges.,containing exactly n-1 edges,0.18,0.17,0.56,0.5,No
Who is acknowledged for his practical use of fingerprints to identify workers and prevent duplicate wage payments?, William Herschel, Henry Faulds, E.R. Henry, Francis Galton,A,,val,Who is acknowledged for his practical use of fingerprints to,identify workers and prevent duplicate wage payments?,identify criminals.,to identify criminals.,0.2,0.22,0.5,0.58,No
Which group of lead grades includes a grade that is not in the correct order?, None of the other choices," H, HB, B, 3B"," 9H, HB, B, 2B"," 7B, H, F, 3H",D,,val,Which group of lead grades includes a grade that,is not in the correct order?,is classified as a passing grade.,includes a grade that specifies the minimum permissible lead content,0.12,0.17,0.36,0.59,No
What defines an isocratic elution in HPLC concerning the solvent composition?, remains constant, changes continuously, changes in a series of steps, none of these,A,,val,What defines an isocratic elution in HPLC,concerning the solvent composition?,,The proportion of the mobile phase components remains unchanged during the separation process.,0.12,0.0,0.5,0.6,No
"Automatic controllers function based on the difference between the set point and the measurement, known as:", None of the other choices, Offset, Bias, Error,D,,val,Automatic controllers function based on the difference between the,"set point and the measurement, known as:",reference signal and feedback signal,Automatic controllers function based on the difference between the desired set point and the actual output.,0.35,0.17,0.57,0.59,No
What are the extra chromosomal elements in bacterial cells called?, mesosomes, genophores, histones, None of the other choices,D,,val,What are the extra chromosomal elements,in bacterial cells called?,What are the extra chromosomal elements in humans?,Specific examples include transposable elements and mitochondrial DNA.,0.0,0.17,0.37,0.41,No
Which of the following is more likely to be a parameter rather than a statistic?, The proportion of females registered to vote in a county., The proportion of trucks stopped yesterday that were cited for bad brakes., The average score of the first five students completing an	assignment., The average height of people randomly selected from a database.,A,,val,Which of the following is more likely to be,a parameter rather than a statistic?,to improve patient outcomes,Which of the following is more likely to be the correct answer.,0.0,0.0,0.41,0.32,No
