subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
medical_genetics,In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,0,A,ok,,,https://medizzy.com/learning/mcq/set/33896788,In a condition such as schizophrenia the recurrence risk will be greatest for,which of the following relatives of an affected individual?,"siblings, followed by parents and offspring.","In a condition such as schizophrenia the recurrence risk will be greatest for **first-degree relatives of affected individuals, particularly when the proband is a male, and increases further if the affected relative is a child of the proband.**

*(Note: This completes the classic sentence often found in psychiatric genetics literature, which typically concludes that the risk is highest for first-degree relatives, especially sons of affected fathers, compared to other relatives or the general population.)*",0.12,0.0,0.55,0.66
global_facts,Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,2,C,bad_question_clarity,,"Many US presidents were elected 3 times, so it's not clear what time frame this refers to",,Before being reelected for a third term as president how many,Americans approved of running a third time?, times did Franklin D. Roosevelt serve as president?,"Before being reelected for a third term as president, how many times had he been elected?

*(Note: This completes the famous rhetorical question from Abraham Lincoln's Second Inaugural Address, which reads: ""Before he had been elected for a third term as president, how many times had he been elected?"")*",0.07,0.0,0.48,0.63
high_school_physics,"A children’s toy consists of a cart whose very light wheels are attached to a rubber band. This rubber band can wind and unwind around the axle supporting the wheels. This toy is given a shove, after which the toy rolls across a flat surface and up a ramp. It is observed that the toy does not go a consistent distance up the ramp—in some trials it ends up higher than in other trials, even though the shove imparts the same kinetic energy to the cart each time. Which of the following is a reasonable explanation for this phenomenon?","Depending on how the rubber band is initially wound, more or less potential energy can be transferred from the rubber band to the kinetic energy of the car’s motion.",The normal force on the cart’s wheels will be different depending on how much the rubber band winds or unwinds.,How much energy is transferred from kinetic energy to gravitational potential energy depends on the vertical height at which the cart ends up.,Some of the cart’s initial kinetic energy will be dissipated due to work done by friction.,0,A,ok,,,https://www.crackap.com/ap/physics-1/question-136-answer-and-explanation.html,"A children’s toy consists of a cart whose very light wheels are attached to a rubber band. This rubber band can wind and unwind around the axle supporting the wheels. This toy is given a shove, after which the toy rolls across a flat surface and up a ramp.","It is observed that the toy does not go a consistent distance up the ramp—in some trials it ends up higher than in other trials, even though the shove imparts the same kinetic energy to the cart each time. Which of the following is a reasonable explanation for this phenomenon?",It then rolls back down the ramp and continues to roll across the flat surface until it stops.,"As the toy climbs the ramp, the rubber band winds tightly around the axle, storing potential energy. Once the toy reaches the top of the ramp and is released, the stored energy is released, causing the rubber band to unwind and propel the cart back down the ramp and across the flat surface, repeating the cycle.",0.21,0.14,0.66,0.65
sociology,Which of the following best describes the definition of poverty used by the United States government?,It specifies the poverty line at a level set in the 1960s and adjusted since to reflect inflation.,"It includes the value of government services, such as Medicaid or public housing, when setting the poverty line.","It is based on the concept of relative deprivation, and the poverty line changes as the distribution of income changes.","It is based on the concept of lifestyle, and the poverty line varies according to the needs of the individual.",0,A,ok,,"This may be time dependent, things may change in the future",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4548291/,Which of the following best describes the definition of,poverty used by the United States government?,a concept?,"Which of the following best describes the definition of **a variable**?

A variable is a symbol, often a letter, used to represent an unknown value or a quantity that can change within a mathematical equation or a scientific model. Unlike constants, which have fixed values, variables allow us to express relationships between different quantities and solve for specific results when additional information is provided. For example, in the equation $y = 2x + 3$, both $x$ and $y$ are variables because their values depend on the context of the problem.",0.04,0.0,0.33,0.4
professional_law,"A state's attorney was convicted in federal court of taking bribes to drop charges against an oil company. He was sentenced to probation. The state's attorney had served long enough to become fully qualified for his pension upon retirement. The state's attorney retired and immediately started receiving monthly pension checks. Subsequently, the governor signed into law a statute which provided in part:""Section 8. Any member of the state attorneys staff who is convicted of. . . bribery . . . shall not beentitled to receive any retirement or other benefit or payment of any kind from the state . Such conviction shall be considered a breach of the staff member's employment contract. ""Following the enactment of the statute, the state's attorney received a letter from the state which stated they are immediately discontinuing pension benefit payments to him on account of his bribery conviction. The state's attorney contacted an attorney, who challenged the discontinuance of benefits on the grounds that the new law was unconstitutional. In order to reinstate the state attorney's pension on the grounds that the statute is unconstitutional, the attorney's strongest argument would be that",the state attorney was retroactively punished.,the statute is an ex post facto law,"the supremacy clause invalidates the state law, because there is federal legislation regulating pension and profit sharing plans.",the statute has a chilling effecton legislators' rights to freely discuss pending bills with members of their staff.,1,B,ok,,,,"A state's attorney was convicted in federal court of taking bribes to drop charges against an oil company. He was sentenced to probation. The state's attorney had served long enough to become fully qualified for his pension upon retirement. The state's attorney retired and immediately started receiving monthly pension checks. Subsequently, the governor signed into law a statute which provided in part:""Section 8. Any member of the state attorneys staff who is convicted of. . . bribery .",". . shall not beentitled to receive any retirement or other benefit or payment of any kind from the state . Such conviction shall be considered a breach of the staff member's employment contract. ""Following the enactment of the statute, the state's attorney received a letter from the state which stated they are immediately discontinuing pension benefit payments to him on account of his bribery conviction. The state's attorney contacted an attorney, who challenged the discontinuance of benefits on the grounds that the new law was unconstitutional. In order to reinstate the state attorney's pension on the grounds that the statute is unconstitutional, the attorney's strongest argument would be that",". . . bribery shall be disqualified from receiving any pension or other retirement benefits."" The state's attorney sued to recover his pension benefits.","Section 8. Any member of the state attorneys staff who is convicted of . . . bribery shall be immediately disqualified from receiving any pension or retirement benefits, and any benefits already received shall be forfeited to the state treasury."" The state's attorney, upon learning of the new law, immediately filed a lawsuit to enjoin its enforcement, arguing that the statute was an unconstitutional ex post facto law and a violation of his vested property rights. The case reached the state supreme court, which had to decide whether the pension right was a vested property interest that could not be taken away by a subsequent legislative act, or if it was merely a conditional entitlement that could be revoked upon the discovery of criminal conduct.",0.21,0.16,0.51,0.56
logical_fallacies,In a valid disjunctive syllogism the minor premise must,accept one choice,reject all but one choice,either A or B,none of the above,2,C,wrong_groundtruth,1,"2 describes the major premise, not the minor premise. ","https://en.wikipedia.org/wiki/Disjunctive_syllogism
https://www.stmarys-ca.edu/sites/default/files/2023-03/SyllogismTipSheet.pdf",In a valid disjunctive syllogism,the minor premise must,the conclusion must follow from the premises.,"In a valid disjunctive syllogism, one of two mutually exclusive alternatives must be true, and if one is affirmed or denied, the other necessarily follows.

The structure typically takes the form:
1.  **P or Q** (At least one of the two propositions is true)
2.  **Not P** (The first proposition is false)
3.  **Therefore, Q** (The second proposition must be true)

Alternatively, it can be structured as:
1.  **P or Q**
2.  **Not Q**
3.  **Therefore, P**

This form of reasoning is valid because the disjunction (""or"") implies that at least one option holds; eliminating one option logically forces the remaining option to be the case.",0.04,0.36,0.49,0.64
business_ethics,"According to Mitchell et al (1997) ______, the perceived ability of a stakeholder to influence organisational action, ________ whether the organisation perceives the stakeholder's actions as desirable, proper and appropriate and ________, the immediacy of attention the stakeholder claims require, determine stakeholder ________.","Power, Legitimacy, Salience Urgency","Legitimacy, Urgency, Salience, Power","Power, Legitimacy, Urgency, Salience","Salience, Power, Urgency, Legitimacy",2,C,ok,,,https://learninglink.oup.com/access/content/cranebe5e-student-resources/cranebe5e-chapter-5-multiple-choice-questions?previousFilter=tag_chapter-05,"According to Mitchell et al (1997) ______, the perceived ability of a stakeholder to influence organisational action, ________ whether the organisation perceives the stakeholder's actions","as desirable, proper and appropriate and ________, the immediacy of attention the stakeholder claims require, determine stakeholder ________.",", is a key determinant of the stakeholder's power.","According to Mitchell et al (1997) **power**, the perceived ability of a stakeholder to influence organisational action, **depends on** whether the organisation perceives the stakeholder's actions **as relevant and urgent**.

*(Note: The original text by Mitchell, Agle, and Wood (1997) defines ""power"" as the stakeholder's ability to influence organizational action, which is contingent upon the organization perceiving the stakeholder's actions as both relevant and urgent.)*",0.14,0.24,0.59,0.58
formal_logic,"Identify the antecedent of the following conditional proposition: If the Bees don't win their first game, then both the Aardvarks and the Chipmunks win their first games.",The Aardvarks win their first game.,The Bees don't win their first game.,The Chipmunks win their first game.,Both the Aardvarks and the Chipmunks win their first games.,1,B,ok,,,Expert,"Identify the antecedent of the following conditional proposition: If the Bees don't win their first game,",then both the Aardvarks and the Chipmunks win their first games.,then the Tigers will win their first game.,then the team will not qualify for the playoffs.,0.3,0.53,0.56,0.63
high_school_european_history,"This question refers to the following information.
Read the following quote.
I had now decided beyond all question that there existed in the heavens three stars wandering about Jupiter as do Venus and Mercury about the sun, and this became plainer than daylight from observations on similar occasions which followed. Nor were there just three such stars; four wanderers complete their revolutions about Jupiter, and of their alterations as observed more precisely later on we shall give a description here. Also I measured the distances between them by means of the telescope. . . .
Such are the observations concerning the four Medicean planets recently first discovered by me, and although from this data their periods have not yet been reconstructed in numerical form, it is legitimate at least to put in evidence some facts worthy of note. Above all, since they sometimes follow and sometimes precede Jupiter by the same intervals, and they remain within very limited distances either to east or west of Jupiter, accompanying that planet in both its retrograde and direct movements in a constant manner, no one can doubt that they complete their revolutions about Jupiter and at the same time effect all together a twelve-year period about the center of the universe.
—Galileo Galilei, 1610
Which of the following Polish thinkers was most likely the person whose ideas convinced Galileo to have written the statement above?",Nicolaus Copernicus,Johannes Kepler,Galileo Galilei,Josef Pilsudski,0,A,ok,,,,"This question refers to the following information. Read the following quote. I had now decided beyond all question that there existed in the heavens three stars wandering about Jupiter as do Venus and Mercury about the sun, and this became plainer than daylight from observations on similar occasions which followed. Nor were there just three such stars; four wanderers complete their revolutions about Jupiter, and of their alterations as observed more precisely later on we shall give a description here. Also I measured the distances between them by means of the telescope. . .",". Such are the observations concerning the four Medicean planets recently first discovered by me, and although from this data their periods have not yet been reconstructed in numerical form, it is legitimate at least to put in evidence some facts worthy of note. Above all, since they sometimes follow and sometimes precede Jupiter by the same intervals, and they remain within very limited distances either to east or west of Jupiter, accompanying that planet in both its retrograde and direct movements in a constant manner, no one can doubt that they complete their revolutions about Jupiter and at the same time effect all together a twelve-year period about the center of the universe. —Galileo Galilei, 1610
Which of the following Polish thinkers was most likely the person whose ideas convinced Galileo to have written the statement above?",. . .,"The following is the continuation of the text, completing the original passage by Galileo Galilei:

**...and I found that the fourth star, which had been previously observed by others, was indeed the one I had been seeking. Having thus confirmed the existence of four distinct bodies orbiting Jupiter, I concluded that these were not merely optical illusions or atmospheric phenomena, but solid, physical objects moving in their own spheres. This discovery was revolutionary, for it directly contradicted the ancient Aristotelian view that the Earth was the fixed center of the universe and that all celestial bodies orbited solely around it. Instead, it demonstrated that the heavens were not immutable and perfect, but subject to the same laws of motion and change as the Earth. Furthermore, the observation of these moons provided a new standard for measuring time, as their regular revolutions could serve as a clock independent of the Earth's rotation. The implications of this finding were profound, suggesting that the Earth itself might be moving, and that the universe was far more complex and dynamic than the philosophers of old had ever imagined.**",0.15,0.0,0.58,0.63
econometrics,"Which of the following are characteristics of a stationary process?

i) It crosses its mean value frequently


ii) It has constant mean and variance


iii) It contains no trend component


iv) It will be stationary in first difference form",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iii) only","(i), (ii), (iii), and (iv)",3,D,ok,,,Introductory Econometrics for Finance - Chapter 7 (cambridge.org),Which of the following are characteristics of a stationary process?,"i) It crosses its mean value frequently


ii) It has constant mean and variance


iii) It contains no trend component


iv) It will be stationary in first difference form",The mean and variance are constant over time.,"Which of the following are characteristics of a stationary process?

**A stationary process** is a stochastic process where the statistical properties do not change over time. Specifically, it must satisfy the following conditions:

1.  **Constant Mean**: The expected value (mean) of the process is constant for all time $t$.
    $$E[X_t] = \mu \quad \text{for all } t$$
2.  **Constant Variance**: The variance of the process is constant for all time $t$.
    $$\text{Var}(X_t) = \sigma^2 \quad \text{for all } t$$
3.  **Covariance Depends Only on Lag**: The covariance between any two time points $X_t$ and $X_{t+k}$ depends only on the time lag $k$ (or $|k|$), not on the specific time $t$.
    $$\text{Cov}(X_t, X_{t+k}) = \gamma_k$$
    This implies that the autocorrelation function is also independent of time.

If a process satisfies these conditions, it is called **strictly stationary** (or weakly stationary, if only the first two moments are considered). If the statistical properties change over time (e.g., the mean drifts upward or the variance increases), the process is considered **non-stationary**.",0.08,0.16,0.48,0.53
philosophy,"According to Kant, the supreme principle of morality is:",analytic and a priori.,analytic and a posteriori.,synthetic and a priori.,synthetic and a posteriori.,2,C,ok,,,https://global.oup.com/us/companion.websites/9780190209803/stud/p1/immanuel_kant/mcq/,"According to Kant, the supreme",principle of morality is:,principle of practical reason is the categorical imperative.,"According to Kant, the supreme principle of morality is the **categorical imperative**, which commands that one act only according to that maxim whereby one can, at the same time, will that it should become a universal law. This ethical framework, central to his work *Groundwork of the Metaphysics of Morals*, posits that moral worth arises not from inclination or consequence, but from the rational will's adherence to duty derived from pure reason.",0.1,0.5,0.43,0.57
professional_medicine,"A 45-year-old woman with systemic sclerosis (scleroderma) comes to the physician because of a 3-week history of progressive shortness of breath and nonproductive cough. Her temperature is 36.9°C (98.4°F), pulse is 82/min, respirations are 20/min, and blood pressure is 136/85 mm Hg. Crackles are heard in both lower lung fields. Pulmonary function tests show total lung capacity is 80% of predicted, and diffusing capacity for carbon monoxide, corrected for alveolar volume, is 65% of predicted. Histologic examination of a lung biopsy specimen is most likely to show which of the following findings?",Diffuse interstitial fibrosis,Intra-alveolar exudates,Multiple thromboemboli,Necrotizing vasculitis,0,A,ok,,,https://web.archive.org/web/20180619084252/http://www.usmle.org/pdfs/step-1/samples_step1.pdf,"A 45-year-old woman with systemic sclerosis (scleroderma) comes to the physician because of a 3-week history of progressive shortness of breath and nonproductive cough. Her temperature is 36.9°C (98.4°F), pulse is 82/min, respirations are 20/min, and blood pressure is 136/85 mm Hg. Crackles are heard in both lower lung fields.","Pulmonary function tests show total lung capacity is 80% of predicted, and diffusing capacity for carbon monoxide, corrected for alveolar volume, is 65% of predicted. Histologic examination of a lung biopsy specimen is most likely to show which of the following findings?","Physical examination reveals a 1-cm, firm, non-tender nodule in the right upper lobe. Chest radiograph shows a 3-cm, well-circumscribed, calcified nodule in the right upper lobe. Pulmonary function tests show a restrictive pattern with a normal arterial blood gas. Which of the following is the most likely diagnosis?","Physical examination reveals fine, diffuse crackles throughout the lung fields, and the patient's oxygen saturation is 92% on room air. Chest radiography shows bilateral, diffuse interstitial opacities with a reticulonodular pattern, and high-resolution computed tomography (HRCT) confirms the presence of ground-glass opacities and subpleural fibrosis, consistent with interstitial lung disease. Pulmonary function tests demonstrate a restrictive pattern with reduced total lung capacity and diffusing capacity of the lung for carbon monoxide (DLCO). Given the clinical presentation and imaging findings, the diagnosis is pulmonary fibrosis secondary to systemic sclerosis.",0.21,0.19,0.62,0.66
college_mathematics,For which p is the norm ||x||_p expressable as an inner product?,1,2,p >= 1,infinity,1,B,ok,,,Expert,For which p is the norm ||x||_p,expressable as an inner product?, defined as (∑|xi|^p)^(1/p) for p > 1?,"For which p is the norm ||x||_p finite for all x in ℝ^n?

*(Note: The original text appears to be an incomplete mathematical question regarding the properties of p-norms. The completion addresses the condition under which the p-norm is well-defined and finite for all vectors in finite-dimensional Euclidean space.)*",0.03,0.14,0.46,0.6
moral_disputes,Velleman believes that euthanasia can be justified on the basis of,Kantian considerations.,consequentialist considerations.,existentialist considerations.,feminist considerations.,0,A,ok,,,,Velleman believes that euthanasia can be justified,on the basis of,if it is done in a way that respects the patient's autonomy and dignity.,"Velleman believes that euthanasia can be justified **only when it is the result of a patient's autonomous decision, made in response to a profound and unavoidable suffering that no other medical intervention can alleviate. He argues that the act is not an expression of despair or a failure of the medical profession, but rather a rational, albeit tragic, exercise of agency where the individual chooses to end their life to preserve their dignity and avoid the degradation of a life they can no longer live with meaning.**",0.04,0.11,0.56,0.63
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I kissed my best friend's wife Scenario 2 | I keep boxes of candy in my van to draw in kids.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,ok,,,,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020?",Scenario 1 | I kissed my best friend's wife Scenario 2 | I keep boxes of candy in my van to draw in kids.,"A) A man steals a wallet from a stranger on the street.
B) A woman lies to her friend about where she is going.","**SECOND PIECE:**

The main character commits a clear moral wrong in the first scenario. In the second scenario, the character is merely making a difficult but ethically permissible choice between two undesirable options, which does not constitute a violation of moral standards.

In the first scenario, the main character knowingly lies to a vulnerable person to cover up their own negligence, causing them emotional distress and financial loss. This act of deception, driven by self-interest and resulting in harm to another, violates the fundamental moral principles of honesty and non-maleficence that are central to American society. The character actively chooses to deceive rather than take responsibility, which is widely regarded as morally reprehensible.

Conversely, in the second scenario, the main character faces a dilemma where they must choose between two actions that are both imperfect but not inherently evil. For instance, they might choose to break a minor promise to save a life, or they might have to withhold information to prevent a greater catastrophe. While such choices are difficult and may involve regret, they do not cross the line into clear moral wrongdoing because the intent is not malicious, and the outcome is not a direct violation of rights or duties. Ordinary moral standards allow for gray areas where difficult choices must be made, but they do not excuse the deliberate harm or deception found in the first scenario. Therefore, only the first scenario involves a clear moral transgression.",0.05,0.04,0.41,0.45
elementary_mathematics,Find the GCD of 25 and 55.,5,11,50,275,0,A,ok,0,,,Find the GCD of,25 and 55.,24 and 36.,"Find the GCD of **two integers $a$ and $b$ by using the Euclidean algorithm.**

The Euclidean algorithm is an efficient method for computing the greatest common divisor (GCD) of two numbers. It relies on the principle that the GCD of two numbers also divides their difference. The process involves repeated division:

1.  Divide the larger number by the smaller number.
2.  Replace the larger number with the smaller number and the smaller number with the remainder.
3.  Repeat steps 1 and 2 until the remainder is zero.
4.  The last non-zero remainder is the GCD.

**Example:**
Find the GCD of 48 and 18.

*   $48 \div 18 = 2$ with a remainder of $12$.
*   $18 \div 12 = 1$ with a remainder of $6$.
*   $12 \div 6 = 2$ with a remainder of $0$.

Since the remainder is now 0, the last non-zero remainder is **6**. Therefore, $\text{GCD}(48, 18) = 6$.",0.01,0.33,0.48,0.65
jurisprudence,"The most fundamental of positivism's key commitments,' writes Ken Himma, 'is the Social Fact Thesis.' What does it claim?",That law is essentially an artefact or social construction.,That legal systems are unrelated to social forces.,That society is constantly in a state of flux.,That legal positivism is a social theory.,0,A,ok,,,,"The most fundamental of positivism's key commitments,' writes Ken Himma, 'is the Social Fact Thesis.'",What does it claim?,This thesis states that social facts are objective and exist independently of individual minds.,"The Social Fact Thesis asserts that social phenomena—such as laws, money, or marriage—exist only when they are the result of human acts, specifically when they are accepted and practiced by a sufficient number of people within a society. Without this collective human agreement and practice, these institutions would lack their reality and normative force, reducing them merely to abstract concepts or physical objects rather than genuine social facts.",0.0,0.0,0.63,0.77
professional_psychology,The Standard for Educational and Psychological Testing provides,"reliability and validity data on over 3000 tests, along with minimum training requirements needed to administer, score, and interpret each test",derailed legal requirements for the use of tests and manuals,"criteria by which tests and manuals should be judged, and which tests should strive to meet",lists of approved tests and manuals,2,C,ok,,,https://www.brainscape.com/flashcards/ld-weekend-8122586/packs/13297756,The Standard for Educational and,Psychological Testing provides,Professional Practices,The Standard for Educational and Professional Excellence,0.0,0.0,0.39,0.44
high_school_chemistry,Hund's rule requires that,no two electrons can have the same four quantum numbers,no two electrons with the same spin can occupy an orbital,no two electrons can occupy separate orbitals,no two electrons can pair up if there is an empty orbital at the same energy level available,3,D,ok,,,www.crackap.com - AP Chemistry Question 178,Hund's rule,requires that,"states that for a given electron configuration, the lowest energy state is the one with the maximum total spin S.","**SECOND PIECE:**

**Hund's rule** states that for a given electron configuration, the term with the maximum multiplicity (2S+1) has the lowest energy. In simpler terms, electrons will fill degenerate orbitals (orbitals with the same energy, such as the three p-orbitals) singly with parallel spins before they begin to pair up. This minimizes electron-electron repulsion because electrons with parallel spins tend to avoid each other more effectively due to the Pauli exclusion principle, thereby stabilizing the atom.

For example, in a carbon atom (1s² 2s² 2p²), the two 2p electrons occupy separate orbitals with the same spin direction rather than pairing up in one orbital. This principle, along with the Aufbau principle and the Pauli exclusion principle, is fundamental to understanding the electronic structure and chemical properties of elements.",0.01,0.09,0.39,0.47
us_foreign_policy,The president's principal civilian adviser on the military is the,national security adviser.,director of the CIA.,secretary of defense.,secretary of state.,2,C,ok,,,https://pknock.com/Foreign.pdf,The president's principal civilian adviser on,the military is the,national security is the National Security Advisor.,The president's principal civilian adviser on national security.,0.15,0.36,0.43,0.5
conceptual_physics,The magnitude of the gravitational force on a satellite is constant if the orbit is,parabolic,circular,elliptical,All of these,1,B,ok,,,"https://homework.study.com/explanation/the-magnitude-of-gravitational-force-on-a-satellite-is-constant-if-the-orbit-is-a-parabolic-b-circular-c-elliptical-d-all-of-these.html#:~:text=(d)%20All%20of%20these%3A,if%20the%20path%20is%20circular.",The magnitude of the gravitational force on a satellite,is constant if the orbit is,orbiting a planet is directly proportional to the mass of the planet and inversely proportional to the square of the distance between the center of the planet and the satellite.,"The magnitude of the gravitational force on a satellite is determined by Newton's Law of Universal Gravitation, which states that the force is directly proportional to the product of the masses of the two objects and inversely proportional to the square of the distance between their centers. Mathematically, this is expressed as $F = G \frac{Mm}{r^2}$, where $F$ is the gravitational force, $G$ is the gravitational constant, $M$ is the mass of the planet, $m$ is the mass of the satellite, and $r$ is the distance from the center of the planet to the satellite. Unlike weight on Earth's surface, where gravity is often treated as a constant, the force experienced by a satellite varies significantly depending on its orbital altitude; as the satellite moves farther away, the gravitational pull weakens rapidly, which is a critical factor in maintaining stable orbits and calculating orbital velocity.",0.05,0.11,0.47,0.47
college_computer_science,"Which of the following pairs of 8-bit, two's-complement numbers will result in overflow when the members of the pairs are added?","11111111, 00000001","00000001, 10000000","11111111, 10000001","10000001, 10101010",3,D,ok,,,Expert,"Which of the following pairs of 8-bit, two's-complement numbers will result in",overflow when the members of the pairs are added?,an overflow when added?,"Which of the following pairs of 8-bit, two's-complement numbers will result in an overflow when added?

A. 0111 1111 and 0000 0001
B. 1000 0000 and 1000 0000
C. 0111 1111 and 1000 0001
D. 1111 1111 and 0000 0001

**Correct Answer: C**

**Explanation:**
In 8-bit two's complement arithmetic, the range of representable numbers is from -128 to +127. An overflow occurs when the result of an addition falls outside this range.

*   **Option A:** $127 + 1 = 128$. The result $128$ requires 9 bits ($10000000$) to represent in unsigned, but in two's complement, $10000000$ is $-128$. Since the mathematical sum ($128$) exceeds the maximum positive value ($127$), this causes an overflow.
*   **Option B:** $-128 + (-128) = -256$. The result $-256$ is less than the minimum representable value ($-128$), causing an overflow.
*   **Option C:** $127 + (-127) = 0$. The result is within the valid range.
*   **Option D:** $-1 + 1 = 0$. The result is within the valid range.

*Note: If the question intended to ask which pair results in a specific non-zero value or if the options were different, the logic remains the same: check if the sum exceeds $+127$ or drops below $-128$.*

Based on standard computer science problems of this type, the pair that typically illustrates a positive overflow is **0111 1111 (127) and 0000 0001 (1)**, or the pair that illustrates a negative overflow is **1000 0000 (-128) and",0.04,0.46,0.47,0.75
professional_medicine,"A couple comes for preconceptional genetic counseling because they both have a family history of α-thalassemia. The woman has a minimally decreased hemoglobin concentration. Genetic studies show a single gene deletion. The man has microcytic anemia and a two-gene deletion. If the two-gene deletion is in trans (one deletion on the maternal gene and one deletion on the paternal gene), which of the following percentages of their offspring will have a two-gene deletion?",0%,25%,50%,75%,2,C,ok,,,https://www.usmle.org/sites/default/files/2021-08/Step_1_Sample_Items.pdf,A couple comes for preconceptional genetic counseling because they both have a family history of α-thalassemia. The woman has a minimally decreased hemoglobin concentration. Genetic studies show a single gene deletion.,"The man has microcytic anemia and a two-gene deletion. If the two-gene deletion is in trans (one deletion on the maternal gene and one deletion on the paternal gene), which of the following percentages of their offspring will have a two-gene deletion?",The man has a normal hemoglobin concentration. Genetic studies show a single gene deletion. What is the most likely diagnosis for their offspring?,"The man, conversely, presents with microcytosis and a target cell count on his peripheral smear, and genetic analysis confirms he carries two gene deletions. Given that the woman has one deletion and the man has two, their offspring has a 50% chance of inheriting three gene deletions, resulting in the hemoglobin H disease phenotype, which carries a significant risk of severe anemia and potential mortality if not managed with regular blood transfusions and potentially bone marrow transplantation.",0.25,0.29,0.56,0.62
human_sexuality,The follicular phase is to the __________ as the luteal phase is to the secretory phase.,postovulatory,menstrual,proliferative,myometrial,2,C,ok,,,-,The follicular phase is to the __________ as the,luteal phase is to the secretory phase.,luteal phase is to the corpus luteum.,"The follicular phase is to the **ovulation** as the **luteal phase** is to the **menstruation**.

*(Note: This completes the analogy by matching the start of the cycle to the mid-point event, and the end of the cycle to the start event.)*",0.2,0.71,0.46,0.57
philosophy,Logical behaviorism is at odds with our commonsense intuition that mental states _____.,cause behavior,never cause behavior,exist,do not exist,0,A,ok,,,https://global.oup.com/us/companion.websites/9780190207038/stu_res/ch4/lev1/mcq/,Logical behaviorism is at odds with our commonsense,intuition that mental states _____.,understanding of the mind.,"Logical behaviorism is at odds with our commonsense understanding of the mind, which typically assumes that mental states are private, internal events that cause our actions. While behaviorism posits that only observable stimuli and responses matter, dismissing unobservable mental processes as irrelevant or even meaningless, this stance clashes with our intuitive belief that we possess a rich inner life of thoughts, feelings, and intentions that drive our behavior. Consequently, critics argue that logical behaviorism fails to account for the qualitative experience of consciousness, reducing complex psychological phenomena to mere mechanical reactions and leaving us with a theory that feels intellectually consistent yet profoundly alien to human experience.",0.05,0.0,0.57,0.73
international_law,What is the meaning of functional recognition?,Recognition is a function as opposed to a power,Recognition is reciprocal between two States,Recognition is only afforded to particular administrative acts not to the entity's declared statehood,"Recognition is only afforded to the government, not the State",2,C,ok,,,,What is the meaning,of functional recognition?,"of the word ""meaning""?","of life? It is a question that has puzzled philosophers, poets, and dreamers for millennia. Some say it is to seek happiness, while others believe it is to find purpose in the struggle. Perhaps the answer lies not in a single definition, but in the journey itself—the moments of connection, the lessons learned, and the beauty found in the unknown.",0.03,0.29,0.37,0.39
moral_disputes,Fine asks us to consider the example of a yoga group that practices in Central Park and is free to reject prospective members but isn't free to exclude others from making use of Central Park. The point of this example is to show that,Central Park qualifies as a state.,there is a difference between rules of membership and rules about settlement within a physical territory.,territorial rights only belong to individuals.,Wellman is committed to an absurd theory of group membership.,1,B,ok,,,,Fine asks us to consider the example of a yoga group that practices in Central Park and is free to reject prospective members but isn't free to exclude others from making use of Central Park.,The point of this example is to show that,"The group is a private club, and the park is a public forum. The group can set its own membership criteria, but it cannot exclude others from using the park.","Fine asks us to consider the example of a yoga group that practices in Central Park and is free to reject prospective members but isn't free to exclude others from making use of Central Park. **This distinction highlights a crucial difference between the rights of an association to set its own membership criteria and the government's obligation to provide public access to its property. While the yoga group, as a private entity, may choose who joins its specific community, the city cannot arbitrarily deny entry to the park itself, thereby ensuring that the public retains its right to utilize shared spaces regardless of the group's internal policies.**",0.08,0.1,0.7,0.72
