question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
1872,"A permanent resident alien applied for a position as a state trooper. A state trooper is a member of the state police force, a law enforcement body that exercises broad police authority throughout the state. The position of state trooper is filled on the basis of competitive examinations taken by all of the applicants. After the resident alien applied for the position, the state authorities refused him permission to take the qualifying examination. The state authorities based their refusal on state statute, which provided:""No person shall become a member of the state police unless he/she shall be a citizen of the United States. ""Thus, under this provision, as a prerequisite to becoming a member of the state police, an alien must relinquish his foreign citizenship and become a citizen. In an opinion upholding the validity of the statute, the State Attorney General noted that since police officers fall within the category of important non-elective officials who participate directly in the execution of broad public policy, only citizens of the United States should be qualified to apply for such positions. ""At the time the resident alien applied for a position as a state trooper, he was a citizen of a foreign country and not currently eligible for citizenship. As a result of a federal statute, Congress has imposed a five-year residency requirement for the attainment of citizenship. Under this federal law, an alien must reside in this country for a period of five years as a prerequisite before applying for citizenship. At this time, the resident alien had only lawfully been residing in the United States for two years, and thus would not be eligible to apply for naturalization until three years later. If the resident alien brings suit in federal court challenging the constitutionality of the state statute limiting the membership of its state police force to citizens of the United States, the court will most likely declare the statute","constitutional, because citizenship bears a rational relationship to the special demands of the police function.","unconstitutional, because it constitutes a violation of the equal protection clause of the Fourteenth Amendment.","constitutional, as it falls under the state's right to regulate its own law enforcement bodies.","unconstitutional, as it infringes on the resident alien's right to seek employment.","unconstitutional, because it constitutes a violation of the due process clause of the Fourteenth Amendment.","unconstitutional, because it is an unfair restriction on the resident alien's opportunity for employment.","constitutional, because the statute is within the state's plenary power to regulate the health, safety, and welfare of its citizens.","unconstitutional, because it violates the resident alien's rights under the Fifth Amendment.","constitutional, because the statute does not specifically discriminate against any particular nationality or ethnicity.",,A,0,law,ori_mmlu-professional_law,,test,"A permanent resident alien applied for a position as a state trooper. A state trooper is a member of the state police force, a law enforcement body that exercises broad police authority throughout the state. The position of state trooper is filled on the basis of competitive examinations taken by all of the applicants. After the resident alien applied for the position, the state authorities refused him permission to take the qualifying examination. The state authorities based their refusal on state statute, which provided:""No person shall become a member of the state police unless he/she shall be a citizen of the United States. ""Thus, under this provision, as a prerequisite to becoming a member of the state police, an alien must relinquish his foreign citizenship and become a citizen. In an opinion upholding the validity of the statute, the State Attorney General noted that since police officers fall within the category of important non-elective officials who participate directly in the execution of broad public policy, only citizens of the United States should be qualified to apply for such positions.","""At the time the resident alien applied for a position as a state trooper, he was a citizen of a foreign country and not currently eligible for citizenship. As a result of a federal statute, Congress has imposed a five-year residency requirement for the attainment of citizenship. Under this federal law, an alien must reside in this country for a period of five years as a prerequisite before applying for citizenship. At this time, the resident alien had only lawfully been residing in the United States for two years, and thus would not be eligible to apply for naturalization until three years later. If the resident alien brings suit in federal court challenging the constitutionality of the state statute limiting the membership of its state police force to citizens of the United States, the court will most likely declare the statute","Therefore, the alien is disqualified for the position.","The Court likewise agrees with the State Attorney General's opinion and maintains that the requirement of renunciation of foreign citizenship is a necessary component for any person to become a member of the state police force. Accordingly, the alien applicant does not possess the requisite citizenship status and is ineligible for the position as defined by the relevant statutes and constitution.",0.18,0.05,0.75,0.84,No
1866,"A father lived with his son, who was addicted to crack cocaine. Under its influence, the son often becameviolent and physically abused his father. As a result, the father always lived in fear. One night, the fatherheard his son on the front stoop making loud obscene remarks. The father was certain that his son wasunder the influence of crack and was terrified that he would be physically beaten again. In his fear, hebolted the front door and took out a revolver. When the son discovered that the door was bolted, he kickedit down. As the son burst through the front door, his father shot him four times in the chest, killing him. Infact, the son was not under the influence of crack or any drug and did not intend to harm his father. At trial, the father presented the above facts and asked the judge to instruct the jury on self-defense. How should the judge instruct the jury with respect to self-defense?","Give the self-defense instruction, because the son forcibly entered the home.","Deny the self-defense instruction, because the son was not actually under the influence of drugs.","Give the self-defense instruction, because the father had a reasonable fear for his life.","Give the self-defense instruction, because it expresses the defense's theory of the case.","Give the self-defense instruction, because the father had previously been victimized by his son.","Deny the self-defense instruction, because the father had other options to protect himself.","Give the self-defense instruction, because the evidence was sufficient to raise the defense.","Deny the self-defense instruction, because the son was unarmed.","Deny the self-defense instruction, because the father used excessive force.","Deny the self-defense instruction, because the father was not in imminent danger from his son.",G,6,law,ori_mmlu-professional_law,,test,"A father lived with his son, who was addicted to crack cocaine. Under its influence, the son often becameviolent and physically abused his father. As a result, the father always lived in fear. One night, the fatherheard his son on the front stoop making loud obscene remarks. The father was certain that his son wasunder the influence of crack and was terrified that he would be physically beaten again. In his fear, hebolted the front door and took out a revolver. When the son discovered that the door was bolted, he kickedit down.","As the son burst through the front door, his father shot him four times in the chest, killing him. Infact, the son was not under the influence of crack or any drug and did not intend to harm his father. At trial, the father presented the above facts and asked the judge to instruct the jury on self-defense. How should the judge instruct the jury with respect to self-defense?",Options,"The son stepped into the room, unaware of the gun pointed at his chest. The father stood guard, waiting for an opportunity to act. When the son realized the futility of resistance, he began to crawl backward. The father lowered the weapon gently.",0.23,0.0,0.67,0.54,No
8154,Which of the following is NOT a group?,The integers under addition,The positive real numbers under multiplication,The nonzero integers under multiplication,The complex numbers under addition,The nonzero real numbers under multiplication,,,,,,C,2,math,ori_mmlu-college_mathematics,,test,Which of the following is,NOT a group?,Which of the following is the capital city of France,Which of the following is correct?,0.0,0.0,0.35,0.22,No
3574,What is the half-life of an unstable substance if 75% of any given amount of the substance decomposes in one hour?,1/2 hour,3 hours,1 and 1/2 hours,2 and 1/2 hours,1/4 hour,2 hours,45 minutes,15 minutes,1 hour,3/4 hour,A,0,chemistry,stemez-Chemistry,,test,What is the half-life of an unstable substance if 75% of any,given amount of the substance decomposes in one hour?,has decayed,What is the half-life of an unstable substance if 75% of any sample decays?,0.17,0.0,0.56,0.51,No
396,"Mrs. Reynolds purchased $450 worth of carpeting on an easy payment plan that required $70 down, with the balance in 12 monthly payments of $35 each. What was the annual interest rate she paid?",17.5%,23.5%,20.3%,15.0%,21.6%,18.2%,22.8%,24.9%,16.7%,19.4%,J,9,business,stemez-Business,,test,"Mrs. Reynolds purchased $450 worth of carpeting on an easy payment plan that required $70 down, with the balance in 12 monthly payments of $35 each.",What was the annual interest rate she paid?,Calculate the total payments made over the 12-month period plus the initial down payment.,This arrangement allowed her to pay the remaining balance in twelve monthly installments of $35 each.,0.08,0.09,0.78,0.78,No
2418,What do psychologists generally accept as the causes of functional psychoses?,Childhood experiences,Astrological signs and birth months,Educational background and intelligence quotient (IQ),Exercise frequency and body mass index (BMI),Use of technology and media consumption,Psychological trauma,Climate change and pollution levels,"Hereditary factors, environmental factors, and biochemical factors are generally accepted as the causes of functional psychoses.",Dietary habits and sleep patterns,Lack of social interaction,H,7,psychology,stemez-Psychology,,test,What do psychologists generally accept as the,causes of functional psychoses?,the biological basis,the fundamental nature of human thought,0.2,0.0,0.46,0.46,No
8545,"A large company has offices in two locations, one in New Jersey and one in Utah. The mean salary of office assistants in the New Jersey office is $28,500. The mean salary of office assistants in the Utah office is $22,500. The New Jersey office has 128 office assistants and the Utah office has 32 office assistants. What is the mean salary paid to the office assistants in this company?","$23,700 ","$28,500","$25,500 ","$30,000","$22,500 ","$29,200","$26,500","$27,300 ","$24,800","$26,000",H,7,math,ori_mmlu-high_school_statistics,,test,"A large company has offices in two locations, one in New Jersey and one in Utah. The mean salary of office assistants in the New Jersey office is $28,500. The mean salary of office assistants in the Utah office is $22,500.",The New Jersey office has 128 office assistants and the Utah office has 32 office assistants. What is the mean salary paid to the office assistants in this company?,Which location has the lower mean salary for office assistants?,"The observed difference of $6,000 per capita between the two offices highlights a significant disparity in compensation across the regions.",0.12,0.31,0.7,0.76,No
10447,Which of the following decimal numbers has an exact representation in binary notation?,0.8,0.3,0.9,0.2,0.1,0.7,0.6,0.5,0.4,,H,7,computer science,ori_mmlu-college_computer_science,,test,Which of the following decimal numbers has an,exact representation in binary notation?,integer part equal to 1.,infinite decimal expansion.,0.0,0.0,0.51,0.51,No
4936,"By analyzing the levels of 13C in bones, researchers can establish whether an individual ate:",a diet high in calcium or low in calcium.,a diet high in saturated fats or low in saturated fats.,mostly grains or mostly nuts and fruits.,mostly root vegetables or mostly leafy greens.,a diet rich in sugar or low in sugar.,a certain type of honey produced only in sub-Saharan Africa.,mostly meat or mostly vegetables.,mostly fish or mostly poultry.,no dairy or lots of dairy.,mostly processed foods or mostly organic foods.,C,2,history,ori_mmlu-prehistory,,test,"By analyzing the levels of 13C in bones, researchers",can establish whether an individual ate:,concluded that the individuals were hunter-gatherers,to determine the source of the carbon isotopes and assess past environmental conditions.,0.0,0.0,0.42,0.44,No
10642,Suppose a convex 3d-object has 15 vertices and 39 edges. How many faces does it have?,25,26,20,31,22,28,32,30,24,27,B,1,computer science,theoremQA-EECS,,test,Suppose a convex 3d-object has 15 vertices and 39 edges.,How many faces does it have?,How many faces does it have?,"To determine the number of faces for this convex three-dimensional object, we apply Euler's formula which states that $V - E + F = 2$, where V is the number of vertices, E is the number of edges, and F is the number of faces. Substituting the given values ($V = 15$ and $E = 39$) yields $26$ as the number of faces.",0.03,1.0,0.65,0.97,Yes
6320,"What are the limitations of food balance sheets? (select all that apply)?
",Accurate information on food production is always guaranteed,They account for the impact of climate change on food availability,They take into account the consumption of processed and packaged food items,All of the options given are correct,They provide a comprehensive overview of the nutritional status of a population,They provide real-time data on food availability and consumption,They always include data on home-grown and locally sourced food items,,,,D,3,health,ori_mmlu-nutrition,,test,What are the limitations of food balance sheets?,(select all that apply)?,Limitations include:,"They also suffer from significant data latency, failing to incorporate recent technological advancements that reduce transport costs and improve yield efficiency quickly.",0.08,0.0,0.48,0.76,No
6445,"A 44-year-old female presents to the office for evaluation of a lump on her neck that she noted 1 week ago. She denies any tenderness, fever, weight loss, or fatigue. Physical examination reveals a 2-cm freely movable mass in the lower left lobe of the thyroid. In addition to thyroid-stimulating hormone and free thyroxine levels, the most appropriate initial method to investigate this lesion is ",Computed tomography (CT) scan,fine-needle aspiration,Magnetic resonance imaging (MRI),a nuclear thyroid scan,Thyroid biopsy,Endoscopic examination of the throat,an iodine131 scan,Positron emission tomography (PET) scan,ultrasonography of the thyroid gland,Lymph node biopsy,I,8,health,ori_mmlu-professional_medicine,,test,"A 44-year-old female presents to the office for evaluation of a lump on her neck that she noted 1 week ago. She denies any tenderness, fever, weight loss, or fatigue.","Physical examination reveals a 2-cm freely movable mass in the lower left lobe of the thyroid. In addition to thyroid-stimulating hormone and free thyroxine levels, the most appropriate initial method to investigate this lesion is","The physical examination reveals a firm, painless mass in the anterior cervical triangle.","Physical examination reveals a non-tender, firm, smooth mass located on the anterior border of the neck. To further evaluate the lesion, neck ultrasound and fine-needle aspiration are subsequently ordered to determine the etiology of the mass.",0.29,0.28,0.6,0.57,No
5420,New stores opening around a large shopping mall reflect which concept?,Population density,Supply and demand,Movement bias,Market saturation,Economic equality,Distance decay,Complementarity,Consumer behavior,,,C,2,other,ori_mmlu-high_school_geography,,test,New stores opening around a large shopping,mall reflect which concept?,center.,center,0.0,0.0,0.61,0.63,No
597,"Parker Bros, accepted a draft for $3500 bearing interest at 6%, dated April 5 and due in 6 months after date. It was discounted on August 20 at 6(1/2)%. If the bank charged a (1/3)% collection fee, what were the proceeds?",$3400.00,$29.94,$3650.00,$3450.00,$3550.00,$3575.00,$3605,$3500,$3625.00,$3563.04,J,9,business,stemez-Business,,test,"Parker Bros, accepted a draft for $3500 bearing interest at 6%, dated April 5 and due in 6 months after date. It was discounted on August 20 at 6(1/2)%.","If the bank charged a (1/3)% collection fee, what were the proceeds?",Which of the following is correct?,Calculate the amount Parker Bros. ultimately receives after deducting the bank discount from the face value of the draft.,0.19,0.11,0.7,0.71,No
4922,"This question refers to the following information.
You are the United States,
you are the future invader
of the native America that has Indian blood,
that still prays to Jesus Christ and still speaks Spanish.
. . .
you are Alexander-Nebuchadnezzar.
You think that life is fire,
that progress is eruption,
that wherever you shoot
you hit the future.
No.
. . .
But our America, that has had poets
since the ancient times of Netzahualcoyotl,
. . .
that consulted the stars, that knew Atlantis
whose resounding name comes to us from Plato,
that since the remote times of its life
has lived on light, on fire, on perfume, on love,
America of the great Montezuma, of the Inca,
the fragrant America of Christopher Columbus,
Catholic America, Spanish America,
the America in which noble Cuauhtémoc said:
""I'm not in a bed of roses"", that America
that trembles in hurricanes and lives on love,
it lives, you men of Saxon eyes and barbarous soul.
And it dreams. And it loves, and it vibrates, and it is the daughter of the sun.
Be careful. Viva Spanish America!
There are a thousand cubs loosed from the Spanish lion.
Roosevelt, one would have to be, through God himself,
the-fearful rifleman and strong hunter,
to manage to grab us in your iron claws.
And, although you count on everything, you lack one thing: God!
—Adapted from ""To Roosevelt"" by Ruben Dario, 1904
What events might have prompted the poet to compose this piece?",U.S. involvement in the Haitian Revolution,U.S. involvement in Panama’s independence,The U.S. involvement in the Mexican Revolution,The embargo of Cuba after Castro’s revolution,The annexation of Texas by the U.S.,The establishment of the Monroe Doctrine,The discovery of the Zimmerman Telegram,The Louisiana Purchase,,,B,1,history,ori_mmlu-high_school_world_history,,test,"This question refers to the following information. You are the United States,
you are the future invader
of the native America that has Indian blood,
that still prays to Jesus Christ and still speaks Spanish. . . . you are Alexander-Nebuchadnezzar. You think that life is fire,
that progress is eruption,
that wherever you shoot
you hit the future. No. . . . But our America, that has had poets
since the ancient times of Netzahualcoyotl,
. . .","that consulted the stars, that knew Atlantis
whose resounding name comes to us from Plato,
that since the remote times of its life
has lived on light, on fire, on perfume, on love,
America of the great Montezuma, of the Inca,
the fragrant America of Christopher Columbus,
Catholic America, Spanish America,
the America in which noble Cuauhtémoc said:
""I'm not in a bed of roses"", that America
that trembles in hurricanes and lives on love,
it lives, you men of Saxon eyes and barbarous soul. And it dreams. And it loves, and it vibrates, and it is the daughter of the sun. Be careful. Viva Spanish America! There are a thousand cubs loosed from the Spanish lion. Roosevelt, one would have to be, through God himself,
the-fearful rifleman and strong hunter,
to manage to grab us in your iron claws. And, although you count on everything, you lack one thing: God! —Adapted from ""To Roosevelt"" by Ruben Dario, 1904
What events might have prompted the poet to compose this piece?",Answer the following question based on the information provided in the text above.,"...yet the song remains, echoing across the desert sands where their names were once spoken aloud, and so we stand ready not merely to rule, but to listen to the voice of history, knowing that the fire burns brightest when carried by hands that refuse to strike without reason.",0.07,0.05,0.4,0.4,No
8791,Lisa owns a small business. There was a loss of $14 on Monday and a profit of $18 on Tuesday. On Wednesday there was a loss of $6 and on Thursday there was a profit of $7. Find the total profit or loss.,$10 profit,$14 profit,$10 loss,$20 loss,$5 loss,$15 profit,$5 profit,$45 loss,$25 profit,$7 profit,G,6,math,ori_mmlu-elementary_mathematics,,test,Lisa owns a small business. There was a loss of $14 on Monday and a profit of $18 on Tuesday.,On Wednesday there was a loss of $6 and on Thursday there was a profit of $7. Find the total profit or loss.,What is the net profit?,Her net gain for the week came out to be $4.,0.06,0.14,0.67,0.71,No
1542,"A man and a woman were driving eastbound along a steep two-lane winding highway. The woman was driving in front of the man. As the man approached the rear of the woman's car, he became impatient and tried to pass her along a section of the highway designated as a no-passing zone. When the man swerved his car into the westbound lane to pass the woman, he didn't see another driver, who was rounding a curve in the westbound lane. In order to avoid a head-on collision with the man, the other driver swerved his car to the shoulder of the roadway. The other driver, however, was unable to control his car along the narrow strip of the shoulder, and it fell down the steep mountain. The man and the woman both saw the other driver's car slide down the hillside. They immediately stopped their vehicles and walked over to the edge of the roadway looking for the car. They saw the other driver's car overturned in a gully about 200 feet down the mountain. The man and the woman heard the other driver moaning and calling for help. However, the man and the woman failed to provide any assistance. They walked back to their cars and drove off. Although the man and the woman passed through a business area a short while later, they neither reported the accident nor sought aid for the other driver. Hours later, the other driver died from injuries suffered in the accident. If the man and the woman are subsequently prosecuted for the other driver's death, the most likely outcome would be that","the man is guilty of involuntary manslaughter, and the woman is guilty of failing to report an accident.",the man is guilty of manslaughter only.,"the man is guilty of vehicular homicide, and the woman is not guilty.",the man and the woman are both guilty of manslaughter.,the woman is guilty of manslaughter only.,the woman is guilty of accessory to manslaughter.,"the man is guilty of involuntary manslaughter, and the woman is guilty of accessory after the fact.","the man is guilty of reckless driving causing death, and the woman is not guilty.",neither the man nor the woman is guilty of manslaughter.,,B,1,law,ori_mmlu-professional_law,,test,"A man and a woman were driving eastbound along a steep two-lane winding highway. The woman was driving in front of the man. As the man approached the rear of the woman's car, he became impatient and tried to pass her along a section of the highway designated as a no-passing zone. When the man swerved his car into the westbound lane to pass the woman, he didn't see another driver, who was rounding a curve in the westbound lane. In order to avoid a head-on collision with the man, the other driver swerved his car to the shoulder of the roadway. The other driver, however, was unable to control his car along the narrow strip of the shoulder, and it fell down the steep mountain. The man and the woman both saw the other driver's car slide down the hillside. They immediately stopped their vehicles and walked over to the edge of the roadway looking for the car. They saw the other driver's car overturned in a gully about 200 feet down the mountain.","The man and the woman heard the other driver moaning and calling for help. However, the man and the woman failed to provide any assistance. They walked back to their cars and drove off. Although the man and the woman passed through a business area a short while later, they neither reported the accident nor sought aid for the other driver. Hours later, the other driver died from injuries suffered in the accident. If the man and the woman are subsequently prosecuted for the other driver's death, the most likely outcome would be that",Which of the following is true?,"After witnessing the overturned vehicle, the woman and the man immediately set their own vehicles in motion to search for the missing driver. They followed the trail of debris to locate where the car had slid. When they finally came across the wreckage, they realized that the vehicle was gone beyond recovery, crushed under the weight of its own momentum during the sudden turn into the gully.",0.2,0.02,0.74,0.74,No
1526,"A collector owned a rare 16th-century tapestry. The collector contracted in writing to sell the tapestry to a tapestry dealer for $100,000. The contract stipulated that delivery would be ""F. O. B. at the dealer's shop,"" with payment to be made one week after tender. When the dealer received the tapestry, he noticed that it had been damaged in transit. The dealer immediately contacted the collector and notified him that he was rejecting the tapestry because it had ripped apart and was becoming unwoven. The collector told the dealer that he would get back to him with re-shipping instructions. The collector did not make any further contact with the dealer. After four weeks, the dealer then sold the tapestry to a buyer for $120,000. If the collector sues the dealer for damages, the collector should recover","$20,000, which covers the difference between the contract price and the sale price.","$110,000, which includes a 10% penalty on the resale.","$100,000, which is the contract price.","$120,000, which is the resale price.","Nothing, because the dealer acted within his rights after the collector failed to respond.","$100,000, because the dealer is entitled to the contract price.","$20,000, for the loss of potential profit due to the damaged tapestry.","$120,000, for conversion.","$108,000, because the dealer is entitled to a reasonable sum not exceeding 10% on the resale.","$130,000, including the contract price and a penalty for unauthorized resale.",I,8,law,ori_mmlu-professional_law,,test,"A collector owned a rare 16th-century tapestry. The collector contracted in writing to sell the tapestry to a tapestry dealer for $100,000. The contract stipulated that delivery would be ""F. O. B. at the dealer's shop,"" with payment to be made one week after tender. When the dealer received the tapestry, he noticed that it had been damaged in transit. The dealer immediately contacted the collector and notified him that he was rejecting the tapestry because it had ripped apart and was becoming unwoven.","The collector told the dealer that he would get back to him with re-shipping instructions. The collector did not make any further contact with the dealer. After four weeks, the dealer then sold the tapestry to a buyer for $120,000. If the collector sues the dealer for damages, the collector should recover",(No information indicates the exact continuation in memory.),"Consequently, the collector possessed the right to terminate the contract immediately and secure a full refund of the $100,000, as the goods were held to be nonconforming.",0.2,0.03,0.73,0.71,No
10116,"At $298.15 \mathrm{~K}, \Delta G_f^{\circ}(\mathrm{HCOOH}, g)=-351.0 \mathrm{~kJ} \mathrm{~mol}^{-1}$ and $\Delta G_f^{\circ}(\mathrm{HCOOH}, l)=-361.4 \mathrm{~kJ} \mathrm{~mol}^{-1}$. Calculate the vapor pressure of formic acid at this temperature.",1.51 $10^3 \mathrm{~Pa}$,3.22 $10^3 \mathrm{~Pa}$,1.85 $10^3 \mathrm{~Pa}$,0.45 $10^3 \mathrm{~Pa}$,2.49 $10^3 \mathrm{~Pa}$,4.18 $10^3 \mathrm{~Pa}$,0.72 $10^3 \mathrm{~Pa}$,0.98 $10^3 \mathrm{~Pa}$,1.25 $10^3 \mathrm{~Pa}$,2.76 $10^3 \mathrm{~Pa}$,A,0,physics,scibench-thermo,,test,"At $298.15 \mathrm{~K}, \Delta G_f^{\circ}(\mathrm{HCOOH}, g)=-351.0 \mathrm{~kJ} \mathrm{~mol}^{-1}$ and $\Delta G_f^{\circ}(\mathrm{HCOOH}, l)=-361.4 \mathrm{~kJ} \mathrm{~mol}^{-1}$.",Calculate the vapor pressure of formic acid at this temperature.,Calculate the standard Gibbs free energy change for the reaction $\mathrm{HCOOH}(l) \longrightarrow \mathrm{HCOOH}(g)$,Determine whether the gaseous or liquid phase of formic acid is more stable at 298.15 K based on the provided standard Gibbs free energy of formation values.,0.26,0.15,0.67,0.61,No
595,"Using the table below , find the federal income tax for Jerry Kohen, who has an annual income of $8,975. He is married, has two dependent children, and will be filing a joint tax return with his wife. PARTIAL TAX TABLE STANDARD DEDUCTION, FOUR EXEMPTIONS If adjusted gross income is And you are Single, not head of household Married, filing joint return At least But less than $4950 $ 5000 $ 96 $ 95 5950 6000 255 241 6950 7000 438 398 7950 8000 628 565 8950 9000 822 739 9950 10,000 1001 901",$628,$255,$241,$739,$1001,$901,$565,$96,$822,$398,D,3,business,stemez-Business,,test,"Using the table below , find the federal income tax for Jerry Kohen, who has an annual income of $8,975. He is married, has two dependent children, and will be filing a joint tax return with his wife.","PARTIAL TAX TABLE STANDARD DEDUCTION, FOUR EXEMPTIONS If adjusted gross income is And you are Single, not head of household Married, filing joint return At least But less than $4950 $ 5000 $ 96 $ 95 5950 6000 255 241 6950 7000 438 398 7950 8000 628 565 8950 9000 822 739 9950 10,000 1001 901","A. $1,200 \
B. $2,000 \
C. $2,500 \
D. $3,500","After establishing the taxable income, apply the Progressive Tax Schedule for Married Filing Jointly to determine the final amount owed.",0.08,0.03,0.37,0.37,No
1104,"A gardener sued a homeowner for breach of contract. The gardener claims that the homeowner hired him to perform landscape work at his home. After performing the gardening services, the homeowner paid him $100. The gardener, who speaks only English, contends that the homeowner, who speaks only Japanese, originally agreed to pay him $200 for the work. When the parties entered into their agreement, the gardener was accompanied by his friend, who is now deceased, who spoke both English and Japanese. This jurisdiction has a typical Dead Man's Statute in effect. At trial, the gardener now seeks to testify to the terms of his agreement with the homeowner as communicated to him by his friend. Upon objection by the homeowner's attorney, the gardener's proposed testimony is","inadmissible, as it is hearsay and not an exception under the Dead Man's Statute.","inadmissible, because the gardener did not have a translator present during the agreement.","admissible, as it is relevant to the case and not excluded by the Dead Man's Statute.",admissible as non-hearsay to corroborate evidence of a verbal act.,"inadmissible, because the friend was not an official translator.","admissible, because it is a statement of a deceased person.",admissible as an admission by a party-opponent.,"inadmissible, unless it is established that the gardener accepted the friend as the homeowner's agent in communicating the terms of the contract.","admissible, as it is a statement made during the course of employment.",,H,7,law,ori_mmlu-professional_law,,test,"A gardener sued a homeowner for breach of contract. The gardener claims that the homeowner hired him to perform landscape work at his home. After performing the gardening services, the homeowner paid him $100. The gardener, who speaks only English, contends that the homeowner, who speaks only Japanese, originally agreed to pay him $200 for the work. When the parties entered into their agreement, the gardener was accompanied by his friend, who is now deceased, who spoke both English and Japanese.","This jurisdiction has a typical Dead Man's Statute in effect. At trial, the gardener now seeks to testify to the terms of his agreement with the homeowner as communicated to him by his friend. Upon objection by the homeowner's attorney, the gardener's proposed testimony is",Question: Which of the following is the correct determination regarding the contract between the gardener and the homeowner?,"Was the payment of $100 valid under the original agreement regarding the $200 fee despite the presence of the deceased friend, who acted as an intermediary witness to the language barrier?",0.18,0.15,0.62,0.66,No
4602,"What is the mass of one molecule of cholesterol (C27H46O, molecular mass = 386)?",3 × 10^-23 g,7.15 × 10^-22 g,1.38 × 10^-21 g,6.41 × 10^-22 g,8.41 × 10^-22 g,1 × 10^-22 g,5 × 10^-23 g,2.38 × 10^-21 g,1.5 × 10^-21 g,2.5 × 10^-21 g,D,3,chemistry,ori_mmlu-high_school_chemistry,,test,What is the mass of one molecule of,"cholesterol (C27H46O, molecular mass = 386)?",H2O,typically for water; one molecule weighs approximately 18 atomic mass units.,0.13,0.0,0.42,0.42,No
4202,"Assuming ideal gas behavior, what is the molecular weight of a gas with a density of 2.50 g/liter at 98°C and .974 atm?",85.3 g,75.6 g,76.4 g,84.7 g,82.5 g,70.9 g,80.2 g,78.1 g,73.8 g,81.6 g,H,7,chemistry,stemez-Chemistry,,test,"Assuming ideal gas behavior, what is the molecular weight of a gas with a",density of 2.50 g/liter at 98°C and .974 atm?,density of 1.429 g/L at STP,with a density of 1.20 g/L at standard temperature and pressure.,0.4,0.4,0.65,0.53,No
5017,"This question refers to the following information.
""The question, therefore, should be quickly settled, whether free colored persons, born and naturalized in this country, are not American citizens, and justly entitled to all the rights, privileges and immunities of citizens of the several states; and whether the Constitution of the United States makes or authorizes any invidious distinction with regard to the color or condition of free inhabitants.
""For myself, I have not the shadow of doubt on the subject. I believe that the rights of the free colored persons need only to be vindicated before the U.S. Supreme Court, to be obtained; that no prejudice or sophistry . . . can prevent their acknowledgement . . . and that the present laws, affecting your condition, are clearly unconstitutional. The fact that you have been treated, by common consent and common usage, as aliens and brutes, is not proof that such treatment is legal, but only shows the strength, the bitterness, and the blindness of prejudice.""
—William Lloyd Garrison, ""To the Free People of Color of the United States,"" The Liberator, January 15, 1831
The approach of William Lloyd Garrison and The Liberator can best be seen as",an expression of Transcendentalist individualism.,a representation of Enlightenment thinking.,a continuation of the ideals of the First Great Awakening.,a reflection of literary romanticism.,"a rejection of the idea of ""Republican motherhood.""",an outgrowth of the Second Great Awakening.,a manifestation of the principles of the Abolitionist movement.,an echo of the sentiments of the American Revolution.,an example of the influence of the Women's Suffrage movement.,an embodiment of the ideals of the Temperance movement.,F,5,history,ori_mmlu-high_school_us_history,,test,"This question refers to the following information. ""The question, therefore, should be quickly settled, whether free colored persons, born and naturalized in this country, are not American citizens, and justly entitled to all the rights, privileges and immunities of citizens of the several states; and whether the Constitution of the United States makes or authorizes any invidious distinction with regard to the color or condition of free inhabitants. ""For myself, I have not the shadow of doubt on the subject. I believe that the rights of the free colored persons need only to be vindicated before the U.S. Supreme Court, to be obtained; that no prejudice or sophistry . . . can prevent their acknowledgement .",". . and that the present laws, affecting your condition, are clearly unconstitutional. The fact that you have been treated, by common consent and common usage, as aliens and brutes, is not proof that such treatment is legal, but only shows the strength, the bitterness, and the blindness of prejudice."" —William Lloyd Garrison, ""To the Free People of Color of the United States,"" The Liberator, January 15, 1831
The approach of William Lloyd Garrison and The Liberator can best be seen as",that the act is void.,"and thus they shall be regarded as citizens. The status of free colored persons as citizens is affirmed, and they shall enjoy the protection of the Constitution and the laws.",0.18,0.07,0.68,0.61,No
9945,Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from,From a slow-moving spaceship.,From the International Space Station.,From any location in space.,From another fast-moving spaceship.,From a stationary spaceship.,inside the spaceship.,Both of these.,Neither of these.,From the moon.,Earth.,J,9,physics,ori_mmlu-conceptual_physics,,test,Clocks on a fast-moving spaceship whizzing past Earth appear,to run slow when viewed from,run slower than clocks at rest,slow,0.29,0.17,0.67,0.68,No
