question,тақырып,таңдаулар,жауап,sheet,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
" Ядродан шығатын электромагниттік сәулелену, ең алдымен, келесі түрде болады", колледж_физикасы, ['гамма-сәулелер' 'микротолқындар' 'ультракүлгін сәулелену' 'көрінетін жарық'],0,Sheet1," Ядродан шығатын электромагниттік сәулелену, ең","алдымен, келесі түрде болады",әлсіз сәулелену болып табылады.,"алдымен қысқа толқынды сәулелер (ультракүлгін, рентген және гамма сәулелері) болып табылады. Бұл сәулелердің энергиясы жоғары және олар заттың атомдық құрылымына әсер ете алады.",0.0,0.0,0.7,0.71
 Төмендегілердің қайсысы ісік супрессоры геніне жатпайды?, медициналық_генетика,['APC' 'NF1' 'RB1' 'RET'],3,Sheet1, Төмендегілердің қайсысы ісік,супрессоры геніне жатпайды?,?,"және оның түрлері туралы сұрақ.

Бұл сөйлем толықтырылғанда, оқушыларға немесе тыңдаушыларға ісік дегеніміз не, оның негізгі белгілері қандай және қай заттардың ісікке айналуы мүмкін екенін түсіндіру үшін қажетті ақпаратты береді. Мысалы, ""Төмендегілердің қайсысы ісік және оның түрлері туралы сұрақ?"" деген сұрақ арқылы нақты жауапты іздеу процесі басталады.",0.0,0.0,0.43,0.34
"Бұл сұрақ келесі ақпаратқа қатысты. «Егер осы акт қабылданғаннан кейін және одан кейін кез келген адам немесе тұлғалар күш қолдану арқылы осы Достастықтың кез келген бөлігінен немесе бөліктерінен кез келген қара нәсілді немесе мулатты осы Достастықтан кез келген басқа жерге немесе кез келген жерге, сату және иеліктен шығару немесе сатуға мәжбүрлеу, ұстау және қамауға алу немесе қамауға алу мақсатында алып кетсе, алып кетсе немесе азғырса, мұндай қара нәсілді немесе мулатты өмір бойы немесе кез келген мерзімге құл немесе қызметші ретінде ұстаса, әрбір мұндай адам немесе тұлға, оның немесе олардың көмекшілері немесе жақтаушылары осы Достастықтың құзыретті юрисдикциясы бар кез келген сотында сотталғаннан кейін ауыр қылмыс жасады деп танылады». —Пенсильвания заңынан үзінді, 1826 ж. Сыншылар Жоғарғы Сотта осы 1826 жылғы заңның конституциялылығына қарсы шықты, себебі ол",жоғары_мектеп_АҚШ_тарихы, ['аттендер заң жобаларына қарсы Конституциялық бұйрықты бұзды.' 'Конституцияның қашқын құл туралы бабының ниетін бұзды.' 'Конституцияның бестен үш бөлігін айналып өтті.' 'Конституцияның Бесінші түзетуінің «көрнекті домен» бабына қайшы келді.'],1,Sheet1,"Бұл сұрақ келесі ақпаратқа қатысты. «Егер осы акт қабылданғаннан кейін және одан кейін кез келген адам немесе тұлғалар күш қолдану арқылы осы Достастықтың кез келген бөлігінен немесе бөліктерінен кез келген қара нәсілді немесе мулатты осы Достастықтан кез келген басқа жерге немесе кез келген жерге, сату және иеліктен шығару немесе сатуға мәжбүрлеу, ұстау және қамауға алу немесе қамауға алу мақсатында алып кетсе, алып кетсе немесе азғырса, мұндай қара нәсілді немесе мулатты өмір бойы немесе кез келген мерзімге құл немесе қызметші ретінде ұстаса, әрбір мұндай адам немесе тұлға, оның немесе олардың көмекшілері немесе жақтаушылары осы Достастықтың құзыретті юрисдикциясы бар кез келген сотында сотталғаннан кейін ауыр қылмыс жасады деп танылады».","—Пенсильвания заңынан үзінді, 1826 ж. Сыншылар Жоғарғы Сотта осы 1826 жылғы заңның конституциялылығына қарсы шықты, себебі ол","«Егер осы акт қабылданғаннан кейін және одан кейін кез келген адам немесе тұлғалар күш қолдану арқылы осы Достастықтың кез келген бөлігінен немесе бөліктерінен кез келген қара нәсілді немесе мулатты осы Достастықтан кез келген басқа жерге немесе кез келген жерге, сату және иеліктен шығару немесе сатуға мәжбүрлеу, ұстау және қамауға алу немесе қамауға алу мақсатында алып кетсе, алып кетсе немесе азғырса, мұндай қара нәсілді немесе мулатты өмір бойы немесе кез келген мерзімге құл немесе қызметші ретінде ұстаса, әрбір мұндай адам немесе тұлға, оның немесе олардың көмекшілері немесе жақтаушылары осы Достастықтың құзыретті юрисдикциясы бар кез келген сотында ауыр қылмыс жасады деп танылады».","«Осы қылмысты жасаған әрбір адам немесе тұлға, оның немесе олардың көмекшілері немесе жақтаушылары осы Достастықтың құзыретті юрисдикциясы бар кез келген сотында ауыр қылмыс жасады деп танылады және оларға осы қылмыстың ауырлығына сай қатаң жазалар қолданылады».",0.0,0.0,0.82,0.8
" 2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысында басты кейіпкер (мен/мен/менің сөздерін қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен кішкентай ұлымды тізімнен азық-түлік алуға жібердім. 2-жағдай | Мен ер адамның дірілдеп тұрғанын байқаған кезде оған көрпе беруге абай болдым.", моральдық_сценарийлер," ['Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес']",1,Sheet1," 2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысында басты кейіпкер (мен/мен/менің сөздерін қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен кішкентай ұлымды тізімнен азық-түлік алуға жібердім.",2-жағдай | Мен ер адамның дірілдеп тұрғанын байқаған кезде оған көрпе беруге абай болдым.,"Ол қайтып келгенде, мен оның азық-түлік тізіміндегі барлық тауарларды сатып алғанын көрдім, бірақ тізімде болмаған қымбат сәндік заттарды да сатып алғанын байқадым. Мен оған бұл заттарды сатып алмау керек екенін айтып, оларды қайтаруға көмектестім. 2-жағдай | Мен кішкентай ұлымды тізімнен азық-түлік алуға жібердім. Ол қайтып келгенде, мен оның азық-түлік тізіміндегі барлық тауарларды сатып алғанын көрдім, бірақ тізімде болмаған қымбат сәндік заттарды да сатып алғанын байқадым. Мен оған бұл заттарды сатып алмау керек екенін айтып, оларды қайтаруға көмектестім.","Мен оны дүкенге кіргенде, ол қолындағы сөмкесін ұрлап кеткен бір адамға қарап, оның ішіндегі азық-түліктерді тексеруге тырысты. Адам қорқып, қолын көтерді, бірақ мен оны ұстап алдым және полицияға хабарлауды шештім. Бұл әрекетім моральдық тұрғыдан дұрыс болды, өйткені мен заңды сақтадым және қоғамдық қауіпсіздікке үлес қостым.",0.0,1.0,0.67,0.72
"Сотталушы тұтқындалып, дәріханаға ұрлық жасады деген айып тағылды. Тонау дүкен жұмыс істеу үшін жабылғаннан кейін бір кешке болған деп болжануда. Сотталушы қылмысты жасаған адам ретінде жасырын камерадан ұрлық кезінде жазылған бейнежазба арқылы анықталды. Сотталушы ұсталған кезде, ол қылмысқа қатысы жоқ екенін мойындап, қамауға алу жөніндегі офицерлерге ұрлық болған кезде қаладан тыс жерде болғанын айтты. Сот отырысына дейін сотталушының соты тағайындаған адвокат қылмыс жасалған кезде жазылған бейнежазбаны табу туралы өтініш берді. Бірінші сатыдағы судья өтінішті қанағаттандырып, айыптау тарапына бейнежазбаның көшірмесін сотталушының адвокатына жіберуді бұйырды. Судьяның шешімі бойынша, айыптаушы адвокат мемлекеттік заңға сәйкес, айыпталушыдан алиби қорғанысын ұсынуды жоспарлап отырған-жатпағанын нақты сұрап, анықтау туралы өтініш берді. Прокурор сондай-ақ мұндай алиби куәгерінің жеке басын анықтауды сұрады. Судья айыпталушыдан алиби қорғанысын ұсынуды жоспарлап отырған-жатпағаны туралы жауап беруді талап етеді деп есептейік. Судья сонымен қатар айыпталушыдан алиби куәгерінің жеке басын ашуды талап ете ала ма?",кәсіби_құқық," [«Иә, себебі айыптау тарапы алибидің негіздерін тергеу мүмкіндігіне ие болуы керек». «Иә, себебі айыпталушы айыптау тарапынан фильмді анықтауды сұраған кезде кез келген артықшылық туралы талаптан бас тартты». «Жоқ, себебі айыпталушыдан тактикалық тұрғыдан дайын болмай тұрып ақпаратты ашуды талап ету оның өзін сәтті қорғау мүмкіндігін айтарлықтай төмендетеді». «Жоқ, себебі мұндай ақпарат куәлік сипатындағы жанама өкілдік болып табылады және осылайша айыпталушының өзін-өзі айыптаудан бас тарту құқығын бұзады».]",0,Sheet1,"Сотталушы тұтқындалып, дәріханаға ұрлық жасады деген айып тағылды. Тонау дүкен жұмыс істеу үшін жабылғаннан кейін бір кешке болған деп болжануда. Сотталушы қылмысты жасаған адам ретінде жасырын камерадан ұрлық кезінде жазылған бейнежазба арқылы анықталды. Сотталушы ұсталған кезде, ол қылмысқа қатысы жоқ екенін мойындап, қамауға алу жөніндегі офицерлерге ұрлық болған кезде қаладан тыс жерде болғанын айтты. Сот отырысына дейін сотталушының соты тағайындаған адвокат қылмыс жасалған кезде жазылған бейнежазбаны табу туралы өтініш берді. Бірінші сатыдағы судья өтінішті қанағаттандырып, айыптау тарапына бейнежазбаның көшірмесін сотталушының адвокатына жіберуді бұйырды.","Судьяның шешімі бойынша, айыптаушы адвокат мемлекеттік заңға сәйкес, айыпталушыдан алиби қорғанысын ұсынуды жоспарлап отырған-жатпағанын нақты сұрап, анықтау туралы өтініш берді. Прокурор сондай-ақ мұндай алиби куәгерінің жеке басын анықтауды сұрады. Судья айыпталушыдан алиби қорғанысын ұсынуды жоспарлап отырған-жатпағаны туралы жауап беруді талап етеді деп есептейік. Судья сонымен қатар айыпталушыдан алиби куәгерінің жеке басын ашуды талап ете ала ма?","Сотталушының адвокаты бейнежазбаны қарап, оның сотталушының айтуымен сәйкес келмейтінін анықтады. Бейнежазбада сотталушы дүкеннің ішінде емес, қаладан тыс жерде көрінеді. Адвокат бұл дәлелді сотқа ұсынып, сотталушының ақталуын сұрады. Екінші сатыдағы сот бейнежазбаның анықтығын тексеріп, сотталушының айыпталуын жоққа шығарды.","Адвокат бейнежазбаны қолына алған соң, оның мазмұнына мұқият қарады. Бейнежазбада дәріханаға кіріп, ұрлық жасаған адамның бейнесі анық көрініп тұр екен. Дегенмен, бейнежазбадағы адамның бет-әлпеті мен киімі сотталушының киімі мен сыртқы келбетіне толық сәйкес келмейді. Адвокат бейнежазбаның сапасы мен түсініктілігіне күмән танытып, оның сотталушының бейнесін дәл көрсетпейтінін, сондықтан оны дәлел ретінде қолдануға болмайтынын дәлелдеді. Ол судьяға бейнежазбаның техникалық қателіктерге немесе бейімделуге ұшырауы мүмкін екенін ескертті.

Сот отырысының екінші сатысында жаңа дәлелдер талқыланды. Адвокаттың өтінішіне сүйене отырып, судья бейнежазбаның сотталушының қылмыс жасағанын дәлелдеу үшін жеткіліксіз екенін мойындады. Сотталушының қаладан тыс жерде болғанын растайтын басқа да куәліктер мен дәлелдер жинақталып, оның ақталуына негіз болды. Нәтижесінде, екінші сатыдағы сот бұрынғы шешімді қайта қарастырып, сотталушыны ақтауға және оны қамаудан босатуға шешім шығарды. Сотталушы өз бостандығын қайтарып алды және оқиға орын алған дәріханадағы нағыз қылмыскерді іздеу жұ",0.0,0.0,0.74,0.79
 Немере ағайындылар арасындағы гендердің үлесі орта есеппен ___ құрайды., медициналық_генетика, ['1.0/2' '1.0/4' '1.0/8' '1.0/16'],2,Sheet1, Немере ағайындылар арасындағы гендердің үлесі,орта есеппен ___ құрайды.,не?,"Немере ағайындылар арасындағы гендердің үлесі 1/8 немесе 12,5% құрайды. Бұл туыстық дәрежеде ата-анадан (1/2), ағайындылардан (1/4) және немере ағайындылардан (1/8) болатын генетикалық ұқсастықтардың азаюы байқалады.",0.0,0.0,0.68,0.78
 Азиядағы инъекциялық есірткі тұтынушыларының сипаттамасы:, вирусология,['Отбасын берік қолдау' 'Оңалту орталықтарының сәтсіздікке ұшырау көрсеткіші төмен' 'Қоғамдастық мүшесі болып қалу' 'А және В'],3,Sheet1, Азиядағы инъекциялық есірткі,тұтынушыларының сипаттамасы:,Азиядағы инъекциялық есірткі қолданушыларының саны 2010-2019 жылдар аралығында қаншалықты өзгерді?,"Азиядағы инъекциялық есірткі – бұл бүгінгі күні аймақтың көптеген елдерінде, әсіресе Оңтүстік-Шығыс Азияда, Үндістанда және Орталық Азияның кейбір аймақтарында өте күрделі әлеуметтік және денсаулық мәселесі. Бұл құбылыс тек жеке адамдардың денсаулығына ғана емес, сонымен қатар қоғамның тұрақтылығына, экономикасына және қауіпсіздігіне тікелей әсер етеді.

Инъекциялық есірткінің таралуы көбінесе қылмыстық топтардың белсенділігімен, шетелден келетін контрабандамен және заңсыз сауда желілерімен байланысты. Нәтижесінде, ВИЧ, гепатит С және басқа да ауыр инфекциялық аурулардың жаңа ошақтары пайда болып, медициналық жүйеге қосымша жүктеме түсіп жатыр. Мемлекеттер бұл мәселені шешу үшін профилактикалық шараларды күшейтуге, емдеу орталықтарын ашуға және ресми емес секторды реттеуге тырысуда. Дегенмен, есірткінің заңсыз айналымы толықтай тоқтатылған жоқ және бұл мәселе әлі де өзектілігін жоғалтқан жоқ.",0.0,0.0,0.56,0.8
 Саналы түрде тыныш отырған сау адам тым жиі тыныс ала бастайды. Төмендегілердің қайсысы осы гипервентиляциядан туындаған адамның қанындағы өзгерісті сипаттайды?, колледж_биологиясы, ['Көмірқышқыл газының парциалды қысымының төмендеуі және сутегі иондарының концентрациясының жоғарылауы' 'Көмірқышқыл газының парциалды қысымының төмендеуі және сутегі иондарының концентрациясының төмендеуі' 'Көмірқышқыл газының парциалды қысымының жоғарылауы және сутегі иондарының концентрациясының жоғарылауы' 'Көмірқышқыл газының парциалды қысымының жоғарылауы және сутегі иондарының концентрациясының төмендеуі'],1,Sheet1, Саналы түрде тыныш отырған сау адам тым жиі тыныс ала бастайды.,Төмендегілердің қайсысы осы гипервентиляциядан туындаған адамның қанындағы өзгерісті сипаттайды?,Бұл құбылыс гипервентиляция деп аталады.,"Саналы түрде тыныш отырған сау адам тым жиі тыныс ала бастайды. **Ал жанын терең тыныштыққа бөлеген адам, өз ішінен шыққан тыныштық пен тыныштыққа жетеді.**",0.0,0.0,0.6,0.81
" HI-дің сутегі газы мен йод буына диссоциациялануының тепе-теңдік константасы Kc белгілі бір температурада 21-ге тең. Егер 12,0 л колбаға 15 грамм HI газы енгізіліп, тепе-теңдікке келтірілсе, йод буының молярлық концентрациясы қандай болады?", орта мектеп химиясы,"['4,58 моль/л' '0,00687 моль L-1' '4,4 × 10^-3 М' '9,76 × 10^-3 М']",2,Sheet1, HI-дің сутегі газы мен йод буына диссоциациялануының тепе-теңдік константасы Kc белгілі бір температурада 21-ге тең.,"Егер 12,0 л колбаға 15 грамм HI газы енгізіліп, тепе-теңдікке келтірілсе, йод буының молярлық концентрациясы қандай болады?","Егер бастапқыда 1 моль HI газы алынса, тепе-теңдік кезінде қанша моль HI қалады?","Егер бастапқыда 1 моль HI газы алынса, тепе-теңдік кезінде 0,05 моль HI қалады.",0.44,0.29,0.73,0.76
 Төмендегілердің қайсысы өнімдерді гедоникалық тұтынуды зерттеуге жатады?, маркетинг, ['Әлеуметтік өзара әрекеттесу перспективасы.' 'Функционалдық пайдалану перспективасы.' 'Тәжірибелік тұтыну.' 'Брендті басқару перспективасы.'],2,Sheet1, Төмендегілердің қайсысы өнімдерді гедоникалық,тұтынуды зерттеуге жатады?,қанағаттандыратынын білдіреді?,қанағаттану деңгейіне әсер ететінін анықтаңыз.,0.0,0.0,0.75,0.64
 Саффир-Симпсон шкаласы бойынша дауылдың ең баяу жел жылдамдығы қандай?, әртүрлі, ['50 миль/сағ' '74 миль/сағ' '96 миль/сағ' '110 миль/сағ'],1,Sheet1, Саффир-Симпсон шкаласы бойынша дауылдың ең,баяу жел жылдамдығы қандай?,жоғарғы деңгейі 12 болып табылады.,"жоғарғы деңгейі 5 болып саналады.

*(Толық сөйлем: Саффир-Симпсон шкаласы бойынша дауылдың ең жоғарғы деңгейі 5 болып саналады.)*",0.0,0.0,0.75,0.55
"Джастин ұшақпен ұшудан бұрын ұшудан қорқуын жеңуі керек еді. Оның терапевті оған релаксация жаттығуларын үйретті, ол алдымен ұшақтардың суреттерін қарап, содан кейін олардың әуежайда ұшуын көріп, содан кейін ұшпайтын бос ұшаққа отырып, ақырында қысқа рейске отырып жаттығады. Ол келесі емдеу әдістерінің қайсысын алды?", орта мектеп психологиясы, ['психоанализ' 'мінез-құлық терапиясы' 'гуманистік терапия' 'экзистенциалды терапия'],3,Sheet1,"Джастин ұшақпен ұшудан бұрын ұшудан қорқуын жеңуі керек еді. Оның терапевті оған релаксация жаттығуларын үйретті, ол алдымен ұшақтардың суреттерін қарап, содан кейін олардың әуежайда ұшуын көріп, содан кейін ұшпайтын бос ұшаққа отырып, ақырында қысқа рейске отырып жаттығады.",Ол келесі емдеу әдістерінің қайсысын алды?,Бұл әдіс экспозициялық терапия деп аталады.,"Нәтижесінде, Джастин ұшудан қорқуды жеңіп, алғаш рет ұзақ қашықтықтағы рейске сеніммен отырды. Ол бұл жаттығулардың өміріне қаншалықты пайдалы екенін түсініп, болашақта да ұшуға қорықпайтын екенін сезінді.",0.0,0.0,0.85,0.87
 Төмендегілердің қайсысы мырышқа тәуелді ферментке жатпайды?, тамақтану, ['Супероксиддисмутаза' 'Сілтілік фосфатаза' 'Глутатионпероксидаза' 'ДНҚ полимераза'],2,Sheet1, Төмендегілердің қайсысы мырышқа,тәуелді ферментке жатпайды?,қатысты емес?,қатысты?,0.0,0.0,0.59,0.58
" Төмендегі тұжырымдардың қайсысы келесі дәлелге қатысты дұрыс? ""Егер аспан көк болса, жаңбыр жаумайды. Бүгін аспан көк. Сондықтан жаңбыр болмайды.""", логикалық_қателіктері,['Бұл формальды түрде жарамды категориялық силлогизм' 'Бұл формальды түрде жарамсыз дизъюнктивті силлогизм' 'Бұл формальды түрде жарамды шартты силлогизм' 'Бұл формальды түрде жарамсыз шартты силлогизм'],2,Sheet1," Төмендегі тұжырымдардың қайсысы келесі дәлелге қатысты дұрыс? ""Егер аспан көк болса, жаңбыр жаумайды.","Бүгін аспан көк. Сондықтан жаңбыр болмайды.""","Аспан көк болғандықтан, жаңбыр жаумауы керек.""","Бұл тұжырым **дұрыс емес** (яғни, жалған). Себебі аспанның көк болуы жаңбыр жаумауға кепілдік бермейді; кейде аспанда бұлттар көк түсті болғанымен, олардан жаңбыр жауып тұруы мүмкін. Сондай-ақ, логикалық тұрғыдан алғанда, ""Егер А болса, онда В болмайды"" деген шарттың кері жағдайы (А болмаса немесе В болса) міндетті түрде орындалмайды.",0.0,0.0,0.68,0.9
" Адам алғаш дүниеге келгенде, оның негізгі сезім мүшелері", орта мектеп психологиясы, ['дәм.' 'иіс.' 'сезу.' 'есту.'],3,Sheet1," Адам алғаш дүниеге келгенде,",оның негізгі сезім мүшелері,ол 60 жасқа толды.,"Адам алғаш дүниеге келгенде, ол таза жүрекпен әрі ақыл-ойы толық емес күйде болды. Ол алғашқы қадамын жасағанда, әлемнің әдемілігін сезініп, жаратылыстың құдіретіне таңғалды. Бірақ уақыт өте келе ол қателіктер жасап, жер бетінен қуылды. Кейіннен ол өзінің қателігін түсініп, Аллаһтың кешірімін сұрады.",0.0,0.0,0.53,0.35
 Бәсекеге қабілетті еңбек нарығы қазіргі уақытта тепе-теңдікте. Төмендегілердің қайсысы нарықтық жалақыны арттыруы мүмкін?, орта мектеп_микроэкономикасы,['Осы еңбек нарығы үшін қажетті дағдыларды игерген студенттердің саны артады.' 'Осы еңбекпен өндірілген өнімге сұраныс күшейеді.' 'Қосымша ресурстың бағасы өседі.' 'Еңбек министрлігі жұмысшылардың осы салада жұмыс істей алуы үшін емтихан тапсыру қажеттілігін алып тастайды.'],1,Sheet1, Бәсекеге қабілетті еңбек нарығы қазіргі уақытта тепе-теңдікте.,Төмендегілердің қайсысы нарықтық жалақыны арттыруы мүмкін?,"Бұл дұрыс емес. Еңбек нарығында үнемі өзгерістер болады, сондықтан тепе-теңдік сақталмайды.","Бәсекеге қабілетті еңбек нарығы қазіргі уақытта тепе-теңдікте. Дегенмен, цифрлық трансформация және жаһандық экономикалық өзгерістер осы тепе-теңдікті сақтап қалу үшін үнемі жаңа дағдыларды меңгеруді және біліктілікті арттыруды талап етеді.",0.0,0.0,0.59,0.68
"Бұл сұрақ келесі ақпаратқа қатысты. Келесі үзінді кітапшадан алынған. Есіңізде болсын, мен әрқашан әр адамның өз пікіріне құқығын қолдадым, бұл пікір менікі қаншалықты өзгеше болса да. Басқа біреуге бұл құқықты жоққа шығаратын адам өзінің қазіргі пікірінің құлы болады, себебі ол оны өзгерту құқығынан айырылады. Барлық қателіктерге қарсы ең күшті қару - ақыл. Мен ешқашан басқасын қолданған емеспін және ешқашан қолданбаймын деп сенемін. Францияда діни қызметкерлердің бүкіл ұлттық тәртібінің және діннің мәжбүрлі жүйелеріне және сенімнің мәжбүрлі баптарына қатысты барлық нәрсенің толығымен жойылуы менің ниетімді тудырып қана қоймай, сонымен қатар осындай жұмысты өте қажет етті, әйтпесе ырымшылдықтың, жалған басқару жүйелерінің және жалған теологияның жалпы күйреуінде біз моральды, адамгершілікті және шынайы теологияны ұмытып кетеміз. Мен бір Құдайға сенемін, басқасына сенбеймін; және бұл өмірден тыс бақытқа үміттенемін. Мен адамдардың теңдігіне сенемін; және мен діни міндеттер әділеттілік орнатудан, мейірімділікті сүюден және басқа жаратылыстарды бақытты етуге тырысудан тұрады деп санаймын. Мен еврей шіркеуі, рим шіркеуі, грек шіркеуі, түрік шіркеуі, протестант шіркеуі немесе мен білетін кез келген шіркеу ұстанатын сенімге сенбеймін. Менің өз ақылым - менің өз шіркеуім. Барлық ұлттық шіркеу институттары, еврей, христиан немесе түрік болсын, маған адамзатты қорқыту және құл ету, билік пен пайданы монополиялау үшін құрылған адами ойлап табулардан басқа ештеңе емес сияқты. Мен бұл декларациямен басқаша сенетіндерді айыптауды айтқым келмейді; олардың өз сенімдеріне менің сеніміммен бірдей құқығы бар. —Томас Пейн, Ақыл-ой ғасыры, 1794–1795 Жоғарыдағы құжат Ағартушылық философтарының келесі талаптарының қайсысын қолдайды?",орта мектеп_еуропалық_тарихы, [«Деизмді барлығы жалғыз логикалық дін ретінде қабылдауы керек». «Діни төзімділік әлеуметтік бірліктің бұзылуына әкеледі». «Скептицизм ақпаратты зерттеудің сенімді тәсілі емес». «Діни төзімділік барлық дін өкілдеріне берілуі керек».,3,Sheet1,"Бұл сұрақ келесі ақпаратқа қатысты. Келесі үзінді кітапшадан алынған. Есіңізде болсын, мен әрқашан әр адамның өз пікіріне құқығын қолдадым, бұл пікір менікі қаншалықты өзгеше болса да. Басқа біреуге бұл құқықты жоққа шығаратын адам өзінің қазіргі пікірінің құлы болады, себебі ол оны өзгерту құқығынан айырылады. Барлық қателіктерге қарсы ең күшті қару - ақыл. Мен ешқашан басқасын қолданған емеспін және ешқашан қолданбаймын деп сенемін. Францияда діни қызметкерлердің бүкіл ұлттық тәртібінің және діннің мәжбүрлі жүйелеріне және сенімнің мәжбүрлі баптарына қатысты барлық нәрсенің толығымен жойылуы менің ниетімді тудырып қана қоймай, сонымен қатар осындай жұмысты өте қажет етті, әйтпесе ырымшылдықтың, жалған басқару жүйелерінің және жалған теологияның жалпы күйреуінде біз моральды, адамгершілікті және шынайы теологияны ұмытып кетеміз. Мен бір Құдайға сенемін, басқасына сенбеймін; және бұл өмірден тыс бақытқа үміттенемін.","Мен адамдардың теңдігіне сенемін; және мен діни міндеттер әділеттілік орнатудан, мейірімділікті сүюден және басқа жаратылыстарды бақытты етуге тырысудан тұрады деп санаймын. Мен еврей шіркеуі, рим шіркеуі, грек шіркеуі, түрік шіркеуі, протестант шіркеуі немесе мен білетін кез келген шіркеу ұстанатын сенімге сенбеймін. Менің өз ақылым - менің өз шіркеуім. Барлық ұлттық шіркеу институттары, еврей, христиан немесе түрік болсын, маған адамзатты қорқыту және құл ету, билік пен пайданы монополиялау үшін құрылған адами ойлап табулардан басқа ештеңе емес сияқты. Мен бұл декларациямен басқаша сенетіндерді айыптауды айтқым келмейді; олардың өз сенімдеріне менің сеніміммен бірдей құқығы бар. —Томас Пейн, Ақыл-ой ғасыры, 1794–1795 Жоғарыдағы құжат Ағартушылық философтарының келесі талаптарының қайсысын қолдайды?","Мен осы өмірдегі бақыттың жалғыз көзі мен мақсатын Құдайға деген сенім мен оның заңдарына бағыну деп санаймын. Бұл сенім менің рухани тыныштығымның және моральдық тұрақтылығымның негізі болып табылады. Мен адамзаттың дамуы мен прогресінің басты күшінің ақыл-ой екенін мойындаймын және оны шексіз дамытуға тырысамын. Бұл сұрақ келесі ақпаратқа қатысты. Келесі үзінді кітапшадан алынған. Есіңізде болсын, мен әрқашан әр адамның өз пікіріне құқығын қолдадым, бұл пікір менікі қаншалықты өзгеше болса да. Басқа біреуге бұл құқықты жоққа шығаратын адам өзінің қазіргі пікірінің құлы болады, себебі ол оны өзгерту құқығынан айырылады. Барлық қателіктерге қарсы ең күшті қару - ақыл. Мен ешқашан басқасын қолданған емеспін және ешқашан қолданбаймын деп сенемін. Францияда діни қызметкерлердің бүкіл ұлттық тәртібінің және діннің мәжбүрлі жүйелеріне және сенімнің мәжбүрлі баптарына қатысты барлық нәрсенің толығымен жойылуы менің ниетімді тудырып қана қоймай, сонымен қатар осындай жұмысты өте қажет етті, әйтпесе ырымшылдықтың, жалған басқару жүйелерінің және жалған теологияның жалпы күйреуінде біз моральды, адамгершілікті және шы","Бұл сенім менің барлық іс-әрекеттерімнің, ойларымның және сөздерімнің негізі болып табылады. Егер мен басқа Құдайларға немесе басқа діндерге сенімді болсам, онда менің ақыл-ойымның тәуелсіздігі бұзылып, мен сыртқы күштердің қалауына бағынатын құлға айналар едім. Сондықтан мен өз пікірімді ешқашан өзгертуге дайын емеспін, себебі менің сенімім менің ішкі әлемімнің бөлігі және оны басқаларға бұзуға болмайды. Менің бұл көзқарасым мені басқалармен келіспеушілікке ұшыратуы мүмкін, бірақ мен бұл келіспеушілікті қабылдаймын, себебі бұл менің адамгершілік құқығымды сақтап қалуға көмектеседі.",0.0,0.0,1.0,1.0
