id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
10701,https://ymnik.kz/tests_old/kazakh_kz/?v=7,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),"Азот, оттегі, масса, лексикология терминдері қай стильде кездеседі, белгілеңіз.",Іс - қағаздар.,Көркем әдебиет.,Публицистика.,Ауызекі.,Ғылыми.,E,test,"Азот, оттегі, масса, лексикология терминдері","қай стильде кездеседі, белгілеңіз.","Азот, оттегі, масса, лексикология терминдерінің анықтамаларын жазыңыз.","Азот, оттегі, масса, лексикология терминдерінің аудармасы мен мағыналық айырмашылықтары.",0.0,0.0,0.71,0.77
22859,https://ymnik.kz/tests_old/worldhistory/?v=56,Humanities,World_History,High School,Russian,World History (High School in rus),Ассирийская держава перестала существовать:,В начале XVII в. до н. э,В X в. до н. э,В конце VI в. до н. э,В VIII - VII вв. до н. э,В начале VII в. до н. э,E,test,Ассирийская держава,перестала существовать:,была основана в IX веке до н. э. и просуществовала до VII века до н. э.,"Вавилонское царство

После падения Ассирии в 612 году до н. э. на Ближнем Востоке возвышается новое могущественное государство — Вавилонское царство. Его столицей стал древний город Вавилон, который к этому времени превратился в один из самых крупных и богатых городов мира. Основоположником новой династии стал царь Набонид, однако наибольшую славу и влияние приобрел его преемник, великий царь Навуходоносор II.

При Навуходоносоре Вавилон достиг расцвета. Он построил знаменитые Висячие сады, которые считались одним из семи чудес света, а также воздвиг грандиозные стены и башни, украшенные золотом и эмалями. Вавилонское царство стало центром торговли и культуры, объединив под своей властью многие города-государства региона. Однако внутренняя борьба за власть и внешние угрозы со стороны персов в конечном итоге привели к падению Вавилона в 539 году до н. э., когда его захватил царь Кир II Великий.",0.0,0.0,0.48,0.64
13483,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),Возможность свободного перемещения людей из одних социальных слоев в другое:,Социальная роль,Социальный статус,Социальная стратификация,Социальная мобильность,,D,test,Возможность свободного перемещения людей из одних,социальных слоев в другое:,стран в другие называется,Возможность свободного перемещения людей из одних стран в другие является одним из ключевых принципов глобализации и открытого общества.,0.0,0.0,0.63,0.71
11920,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),«Қозы Көрпеш-Баян сұлу» жырындағы Айбастың кім екенін көрсетіңіз.,Тайлақтың кенже інісі,Сарыбайдың өлімін естіртуші,Сарыбайдың ханымына хабар айтушы,Қарабайдың малын шөлден құтқарушы,,A,test,«Қозы Көрпеш-Баян сұлу» жырындағы Айбастың,кім екенін көрсетіңіз.,атасы кім?,қызғалдақтай сұлулығы.,0.0,0.0,0.71,0.85
8987,https://ymnik.kz/tests_old/history_kz/?v=49,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Қарахан мемлекетіндегі даңқы шықан ақын,С.Бақырғани,Ж.Баласағұн,А.Яссауи,Арыстан баб,А.Игункеи,E,test,Қарахан мемлекетіндегі даңқы,шықан ақын,"Қарахан мемлекетіндегі даңқы
1. Қарахан мемлекетінің негізін қалаушылар кімдер?
2. Қарахан мемлекетінің астанасы қайда орналасқан?
3. Қарахан мемлекетінің тарихы қалай басталды?
4. Қарахан мемлекетінің экономикасы қалай дамыды?
5. Қарахан мемлекетінің мәдениеті қандай ерекшеліктері бар?
6. Қарахан мемлекетінің діни көзқарасы қандай болды?
7. Қарахан мемлекетінің саяси жүйесі қалай құрылды?
8. Қарахан мемлекетінің әскери күші қандай еді?
9. Қарахан мемлекетінің халқы қандай этникалық топтардан тұрды?
10. Қарахан мемлекетінің соңғы кезеңі қалай өтті?","Қарахан мемлекетіндегі даңқы

Қарахан мемлекеті — орта ғасырлардағы Түркістан аймағындағы ең ірі және күшті мемлекеттердің бірі. Ол XI ғасырдың басында Қарахан тайпасының көсемі Сатұқ Боғра ханның басшылығымен құрылып, кейіннен оның ұрпақтары, әсіресе Әтүлғар хан мен Оғлы хан тұсында кеңейіп, Орталық Азия мен Шығыс Түркістанды (Қытайдың Шығыс бөлігін) біріктірген. Мемлекеттің астанасы Бұхара, Самарқанд, Баласағұн және Кашгар сияқты ірі қалалар болған.

Қарахан мемлекетінің ең басты ерекшелігі — дін мәселесіндегі тарихи рөлі. Бұл мемлекет түркі халықтарының ислам дініне толықтай көшуіне және оның мемлекеттік дін ретінде бекітілуіне тікелей әсер еткен. Әсіресе, Сатұқ Боғра хан ислам дінін қабылдап, мемлекеттік саясаттың негізін салған алғашқы түркі хандарының бірі болып саналады. Оның кезінде ислам діні ғана емес, мемлекеттік идеологияға айналды.

Мемлекеттің экономикасы сауда мен қолөнерге негізделген. Ол Шығыс пен Батыс арасындағы маңызды сауда жолдарының түйіскен жері болғандықтан, саудагерлер мен қолөнершілер үшін өте қолайлы орта жасаған. Қала мәдениеті дамып, ғылым мен білімге үлкен мән берілген. Самарқанд пен Б",0.0,0.0,0.49,0.62
20539,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Испанский героический средневековый эпос – это,«Повесть о Сухане»,«Песнь о моём Сиде»,«Песнь о Нибелунгах»,«Песнь о Роланде»,,B,test,Испанский героический средневековый эпос,– это,«Сид»,"«Сид», «Кампостилья» и «Песнь о Роланде» — три величайшие поэмы, прославляющие подвиги рыцарей и борьбу христианства с мусульманским миром.",0.0,0.0,0.47,0.6
8542,https://oltest.kz/tests/gosudarstvo_i_pravo/,"Social Science





","Jurisprudence, state and law",University,Russian,Jurisprudence (Professional & University in rus),Обязательным свойством доказательств является:,"
допустимость",всесторонность,законность,"
объективность","
полнота",E,test,Обязательным свойством,доказательств является:,каждого элемента множества является его подмножеством.,любой системы является её способность к саморегуляции.,0.0,0.0,0.41,0.34
432,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Ерінгүлділердің жемісі:,Нағыз жидек,Бұршаққын,Жаңғақша,Қауашақ,,C,test,Ерінгүлділердің,жемісі:,негізгі ерекшеліктері қандай?,"Ерінгүлділердің
құрғақ жерде де,
сулы жерде де
өскені көріп,
жүрегім қалқып,
қуанышқа бөленемін.",0.0,0.0,0.41,0.77
10780,https://ymnik.kz/tests_old/kazakh_kz/?v=2,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Мына сөздердің қайсысы жіктеліп тұрғанын көрсетіңіз.,Еңбекті.,Оқыды.,Есті.,Оқиды.,Ақылды.,D,test,Мына сөздердің қайсысы жіктеліп,тұрғанын көрсетіңіз.,алмайды?,білмейсің?,0.0,0.0,0.65,0.7
5633,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Процесс уменьшения риска возможных потерь — это:
","хеджирование
",страхование,интервенция,"управление кредитным риском
",диверсификация,A,test,Процесс уменьшения риска возможных,"потерь — это:
",потерь называется,Процесс уменьшения риска возможных потерь называется управлением рисками.,0.0,0.0,0.69,0.87
1605,https://ymnik.kz/tests_old/biology/?v=42,STEM,Biology,High School,Russian,Biology (High School in rus),Поедание птицами гусениц - фактор,Биотический,Абиотический,Социальный,Антропогенный,Ограничивающий,A,test,Поедание птицами гусениц,- фактор,— полезная деятельность.,"Поедание птицами гусениц — это важный естественный процесс, который помогает регулировать численность насекомых и предотвращает вспышки вредителей в лесах и садах. Многие виды птиц, такие как дрозды, синицы и сойки, активно охотятся на гусениц, особенно в период размножения, когда птенцам требуется много белка для роста. Таким образом, птицы играют ключевую роль в поддержании экологического баланса.",0.0,0.0,0.46,0.66
10442,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Персидские войска во главе с царем Киром напали на племена саков,В 430 г. до н. э.,В 530 г. до н. э.,В 500 г. до н. э.,В 536 г. до н. э.,,B,test,Персидские войска во главе с царем Киром,напали на племена саков,вошли в Вавилон.,"Персидские войска во главе с царем Киром двинулись на запад, чтобы покорить Мидию и Лидию, объединив под своей властью огромные территории от Индии до Египта.",0.0,0.0,0.5,0.56
5251,https://oltest.kz/tests/vospitanie_i_obuchenie/,Humanities,Education and training ,University,Russian,Education and Training (Professional & University in rus),"Укажите основные звенья познавательной деятельности учащихся:
","Живое созерцание, абстрактное мышление
","Активность, самостоятельность, творчество
","Образование, обучение, воспитание, развитие
","Восприятие, осмысление, закрепление, применение
","Познание, обучение, преподавание
",D,test,Укажите основные звенья познавательной,"деятельности учащихся:
",деятельности.,деятельности человека.,0.0,0.0,0.83,0.86
15930,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Найдите производную функции.
\(y = {\log _3}\left( {4{x^2}} \right)\)",\(\frac{x}{\ln 3}\),\(\frac{x^2}{2x\ln 3}\),\(\frac{1}{x\ln 2}\),\(\frac{2}{x\ln 3}\),,D,test,Найдите производную функции.,\(y = {\log _3}\left( {4{x^2}} \right)\),y = 2x + 3,Найдите производную функции $f(x) = x^2 + 3x - 5$.,0.29,0.36,0.61,0.75
675,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Мүк сабағы астында қандай ұлпа орналасқан?,Қор жинаушы ұлпа,Фотосинтездеуші ұлпа,Тірек ұлпасы,Өткізгіш ұлпа,,B,test,Мүк сабағы астында қандай,ұлпа орналасқан?,құрылым болады?,ағаш өседі?,0.0,0.0,0.91,0.94
10326,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Согласно новому закону, в 1886 г. в Туркестанском крае были созданы три области","Сырдарьинская, Ферганская, Самаркандская","Акмолинская, Семипалатинская, Семиреченская","Уральская, Самаркандская, Семиреченская","Тургайская, Сырдарьинская, Ферганская",,A,test,"Согласно новому закону, в 1886 г. в Туркестанском",крае были созданы три области,"округе был введен новый вид наказания для женщин, которые нарушали правила поведения.","Согласно новому закону, в 1886 г. в Туркестанском генерал-губернаторстве была введена смертная казнь, которая ранее была отменена в регионе.",0.0,0.0,0.49,0.53
567,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Жасуша қабықшасының ішке ойысуынан пайда болған кішкене ойық:,Арцелланың ауызы,Вольвокстің ауызы,Кебісшенің ауызы,Амебаның ауызы,,C,test,Жасуша қабықшасының ішке ойысуынан пайда,болған кішкене ойық:, болатын құрылымдар:,"Жасуша қабықшасының ішке ойысуынан пайда болатын құрылымдарға эндоплазмалық тор, Гольджи аппараты және лизосомалар жатады. Бұл процестер жасуша ішінде заттарды тасымалдауға, өңдеуге және ыдыратуға қызмет етеді.",0.0,0.0,0.5,0.8
20417,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Всё – мечта, всё – божество,

Вечной тайны волшебство,

Вечной жизни торжество.
Это строфа из стихотворения Игоря Северянина",«Выйди в сад»,«Nocturne»,«Январь»,«Что шепчет парк»,,B,test,"Всё – мечта, всё – божество,

Вечной тайны волшебство,

Вечной жизни торжество.",Это строфа из стихотворения Игоря Северянина,"Всё – мечта, всё – божество,

Вечной тайны волшебство,

Вечной жизни торжество.

Всё – мечта, всё – божество,

Вечной тайны волшебство,

Вечной жизни торжество.","Всё – мечта, всё – божество,

Вечной тайны волшебство,

Вечной жизни торжество.

**Всё – мечта, всё – божество,**
**Вечной тайны волшебство,**
**Вечной жизни торжество.**

*(Примечание: Предоставленный вами текст представляет собой единое, законченное четверостишие из стихотворения А. А. Фета «Вечер» или его вариации. Поскольку это уже завершённая мысль, логическим продолжением является повторение этих строк для создания ритмического эффекта или же указание на то, что текст исчерпан. Если требуется именно «второе четверостишие» в контексте оригинала Фета, то в классической версии этого конкретного отрывка его нет; он часто используется как самостоятельный фрагмент. Однако, следуя инструкции «завершить второе произведение», наиболее уместным ответом является повторение самого текста, так как он самодостаточен, или добавление заключительной строки, если подразумевается развитие идеи. Но учитывая строгую структуру рифмы (АААА), наиболее точным завершением является сам этот текст, представленный как единое целое.)*

Если же задача подразумевает создание **нового** четверостишия в том же стиле и ритме для завершения композиции:

Всё – мечта, всё – божество,
Вечной тайны волшебство,
Вечной жизни торжество,
И любви бессмертие.

*(Но наиболее верным ответом, основанным на оригинальном тексте А. Фета, является то, что данный отрывок часто заканчивается именно на этих строках, либо следует строка: **И в сердце – вечное веселье**.)*

Давайте выберем вариант, наиболее близкий к стилистике и завершающий мысль:

Всё – мечта, всё – божество,
Вечной тайны волшебство,
Вечной жизни торжество,
**И в сердце – вечное веселье.**",0.0,0.0,0.61,0.82
604,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Бауырмен жорғалаушылар эволюциясы күшті қарқынмен дамыған кезең:,Тас көмір кезеңі,Силур кезеңі,Ордовик кезеңі,Триас кезеңі,,D,test,Бауырмен жорғалаушылар эволюциясы күшті,қарқынмен дамыған кезең:,"және олардың экологиялық рөлі зор. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс түрлері, жорғалаушылар және жергілікті өсімдіктер бар. Олардың арасында құс тү","Бауырмен жорғалаушылар эволюциясы күшті болғанымен, олардың қазіргі таңдағы таралу аймағы мен санын сақтап қалу үшін экожүйелерді қорғау шараларын күшейту қажет.",0.0,0.0,0.67,0.54
1542,https://ymnik.kz/tests_old/biology/?v=51,STEM,Biology,High School,Russian,Biology (High School in rus),Причина использования хлореллы для получения кормов,Дышит,Двигается,Выделяет кислород,Реагирует на свет,Создает много органического вещества,E,test,Причина использования хлореллы для,получения кормов,"производства биотоплива заключается в её высокой скорости роста и способности накапливать значительное количество липидов, что делает её эффективным источником энергии.","лечения заболеваний печени и улучшения общего состояния организма заключается в её уникальном составе, богатом антиоксидантами, витаминами и минералами, которые способствуют детоксикации и восстановлению клеток.",0.0,0.0,0.4,0.53
21023,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),"Кеңестік Социалистік Республикалар Одағы мен Моңғол Халық Республикасының үкіміттері осы хаттамаға қол қойды
1-бап. КСРО немесе Монғол Халық Республикасының аумағына үшінші бір мемлекеттің тарапынан шабуыл жасау қаупі төнсе, КСРО мен МХР үкіметтері қалыптасқан жағдайды тез арада бірігіп талқылауға және өз аумағын қауіпсіздендіруге қажетті шаралардың барлығын қолдануға міндеттенеді.
2-бап. КСРО және МХР үкіметтері келісуші жақтардың біреуіне әскери шабуыл жасалған жағдайда бір-біріне кез келген, соның ішінде әскери көмек көрметуге міндеттенеді.
Мәтінде көрсетілген келісімге байланысты жағдайды көрсетіңіз:",Ішкі талас-тастыстың күшеюі,Гоминдан тарапынан қауіп,Жапония тарапынан қауіп,Германия тарапынан қауіп,,C,test,"Кеңестік Социалистік Республикалар Одағы мен Моңғол Халық Республикасының үкіміттері осы хаттамаға қол қойды
1-бап. КСРО немесе Монғол Халық Республикасының аумағына үшінші бір мемлекеттің тарапынан шабуыл жасау қаупі төнсе, КСРО мен МХР үкіметтері қалыптасқан жағдайды тез арада бірігіп талқылауға және өз аумағын қауіпсіздендіруге қажетті шаралардың барлығын қолдануға міндеттенеді. 2-бап.","КСРО және МХР үкіметтері келісуші жақтардың біреуіне әскери шабуыл жасалған жағдайда бір-біріне кез келген, соның ішінде әскери көмек көрметуге міндеттенеді. Мәтінде көрсетілген келісімге байланысты жағдайды көрсетіңіз:","КСРО мен МХР үкіметтері өзара келісімге келген жағдайда, бір-біріне қарсы әскери күштерін жіберуге және өзара қорғаныс шараларын қабылдауға міндеттенеді. 3-бап. Егер КСРО немесе МХР аумағына үшінші бір мемлекеттің тарапынан шабуыл жасалса, екінші мемлекет осы шабуылды тоқтату үшін барлық қажетті шараларды қабылдауға міндеттенеді. 4-бап. Бұл хаттама КСРО және МХР үкіметтерінің арасындағы өзара қорғаныс келісімі болып табылады.","КСРО мен МХР үкіметтері өзара келісімге келген жағдайда, бір-бірінің аумағына әскерлерін жіберуге және оларды ортақ шекарадан өткізуге, сондай-ақ бір-бірінің қорғаныс қабілетін күшейтуге міндеттенеді. Егер үшінші мемлекет шабуыл жасаса, екі ел де өзара көмек көрсету үшін барлық қажетті әскери-техникалық ресурстарын пайдаланады. Бұл шара екі елдің суверендігін және аумақтық тұтастығын қорғауға бағытталған.",0.0,0.0,0.79,0.76
18052,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),Действие генератора переменного тока основано на явления,Излучения электромагнитных волн,Электростатической индукции,Интерференции,Электромагнитной индукции,,D,test,Действие генератора переменного тока,основано на явления,преобразует механическую энергию в электрическую,"Действие генератора переменного тока основано на явлении электромагнитной индукции, открытом Майклом Фарадеем. В его конструкции есть два основных элемента: неподвижная часть (статор), на которой расположены обмотки, и вращающаяся часть (ротор), представляющая собой электромагнит или постоянный магнит. Когда ротор приводится во вращение внешним двигателем (например, турбиной), магнитное поле, создаваемое им, начинает изменяться относительно обмоток статора. Это изменение магнитного потока через проводники вызывает в них возникновение электродвижущей силы (ЭДС). Поскольку магнитное поле постоянно меняет направление при вращении, возникающая в обмотках ЭДС и, как следствие, электрический ток, также меняют направление периодически, что и делает получаемый ток переменным.",0.0,0.0,0.49,0.48
17768,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Шамдардың тізбектей жалғануына сәйкес келетін сұлба,1 және 2,Тек 1,Тек 2,Тек 3,,C,test,Шамдардың тізбектей жалғануына сәйкес,келетін сұлба,қатарындағы кез келген шамдардың қосындысы осы шамдардың қосындысына тең болады.,"Шамдардың тізбектей жалғануына сәйкес, олардың жалпы кернеуі қосылатын болғандықтан, әрқайсысына түсетін кернеу азаяды. Нәтижесінде шамдардың жарық күші әлсіреп, біреуі қызып үзілсе, қалғандары да сөніп қалады.",0.0,0.0,0.49,0.57
4244,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"Природное соединение алюминия, основы глины",Мрамор,Каолинит,Пирит,Бокситы,,B,test,"Природное соединение алюминия,",основы глины,"которое используется в производстве сплавов, называется","Природное соединение алюминия — это **глина**.

*(Примечание: Алюминий в природе не встречается в свободном виде из-за высокой химической активности. Он входит в состав множества минералов, среди которых глины являются наиболее распространенными. Также к природным соединениям алюминия относятся бокситы, корунд и другие.)*",0.0,0.0,0.51,0.36
19971,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Я не могу, я не хочу
Тиранить больше вас, –
говорит в поэме Н.А. Некрасова «Русские женщины»",Сергей Волконский жене,Екатерине Трубецкой отец,Екатерине Трубецкой губернатор,Марии Волконской отец,,C,test,"Я не могу, я не хочу
Тиранить больше вас, –
говорит в поэме Н.А.",Некрасова «Русские женщины»,Некрасова.,"Некрасова,
Говорит в поэме «Кому на Руси жить хорошо».",0.0,0.0,0.68,0.85
10626,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Городище Куль-Тобе находится на территории,Северо-Казахстанской области,Южно-Казахстанской области,Западно-Казахстанской области,Восточно-Казахстанской области,,B,test,Городище Куль-Тобе находится,на территории,в Казахстане.,"на территории современной Республики Казахстан, в Жамбылской области, недалеко от города Талдыкорган. Это одно из крупнейших и наиболее известных археологических памятников эпохи бронзы, относящееся к культуре Андроновской культуры (или её локальным вариантам). Городище представляет собой укрепленное поселение с мощными земляными стенами и рвами, что свидетельствует о высоком уровне социальной организации и оборонительных потребностей того времени.",0.0,0.0,0.45,0.6
10927,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Екпін түспейтін жалғауды көрсетіңіз.,"-ға, -ге","-ым, -ім","-дар, -дер","-сың, -сің",,D,test,Екпін түспейтін,жалғауды көрсетіңіз.,құрылыс материалдары,"Екпін түспейтін **адамдар**.

*(Бұл сөз тіркесі көбінесе ""Екпін түспейтін адамдар"" немесе ""Екпін түспейтін жерлер"" деген мағынада қолданылады, бірақ ең жиі кездесетін толықтыру — ""адамдар"".)*

Дұрыс жауап: **адамдар**",0.0,0.0,0.51,0.57
4444,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),Азотная кислота проявляет особые свойства при взаимодействии с,"CaO, Mg","Mg, CuO","MgO, KOH","Cu, C",,D,test,Азотная кислота проявляет особые свойства,при взаимодействии с,и является сильным окислителем.,"Азотная кислота проявляет особые свойства, которые проявляются в её способности действовать как сильный окислитель. В отличие от большинства других кислот, она не реагирует с металлами, расположенными в ряду напряжений до водорода, с выделением водорода; вместо этого в таких реакциях образуются продукты восстановления самого азота (например, оксиды азота или аммиак), а металл переходит в высшую степень окисления.",0.0,0.0,0.49,0.62
20582,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),В романе В. Набокова «Другие берега» заложены возможности,познания становления характера героя,познания жизни в дореволюционной России,осмысления собственного «Я» читателя,познания быта аристократической семьи,,C,test,В романе В. Набокова «Другие,берега» заложены возможности,берега» (1992) главный герой,"берега» (1959) Набоков исследует тему памяти, времени и ностальгии, используя сложную структуру повествования, где прошлое и настоящее переплетаются. Главный герой, Андрей Гринев, возвращается в родной город, чтобы разобраться в судьбе своей матери и собственных воспоминаниях, сталкиваясь с иллюзиями и реальностью. Роман отличается богатой языковой игрой, метафорами и глубоким психологизмом, характерными для творчества писателя.",0.0,0.0,0.49,0.45
7172,https://itest.kz/ru/endless,Social Science,Geography,High School,Russian,Geography (High School in rus),"Отрасли, сформировавшиеся на доиндустриальном этапе развития мирового хозяйства",Сельское хозяйство и судостроение,Роботостроение и зерновое хозяйство,Авиастроение и хлопководство,Лесное хозяйство и рыболовство,,D,test,"Отрасли, сформировавшиеся на доиндустриальном этапе",развития мирового хозяйства,": сельское хозяйство, ремесло, торговля","Это прежде всего сельское хозяйство, ремесленное производство и торговля, которые развивались в рамках натурального хозяйства и феодальных отношений, опираясь на ручной труд и использование традиционных орудий труда.",0.0,0.0,0.6,0.69
1348,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),"Муравьи, выполняющие работу по уходу за родительской группой и потомством",Муравьи-солдаты,Рабочие муравьи,Родительские группы,Только муравей-самец,,B,test,"Муравьи, выполняющие работу по уходу за",родительской группой и потомством,"Муравьями, называются муравьи, которые заботятся о личинках и куколках других видов насекомых, а также о растительных остатках. Они могут быть как хищниками, так и травоядными.","Муравьи, выполняющие работу по уходу за **посторонними личинками, часто называются «рабочими» или «няньками».**",0.0,0.0,0.4,0.51
13592,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),Теория «зеркального я» разработана:,Ч. Томасом,А. Дистервегом,Т. Знанецким,Ч. Кули,,D,test,Теория «зеркального я»,разработана:,Л. Выготский,"Теория «зеркального я» (или «зеркального нейрона») была предложена итальянским нейробиологом Джиральдо Фридом в 1990-х годах. Согласно этой концепции, в мозге человека существуют специализированные нейроны, которые активируются как при выполнении определенного действия, так и при наблюдении за выполнением этого же действия другим человеком.

Эта система работает по принципу эмпатии: когда мы видим, как кто-то улыбается, ест или испытывает боль, наши зеркальные нейроны имитируют этот процесс на нейронном уровне, заставляя нас чувствовать то же самое. Таким образом, зеркальное я служит биологической основой для понимания эмоций, намерений и действий других людей, позволяя нам интуитивно «понимать» мир через опыт окружающих.",0.0,0.0,0.53,0.62
19692,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),«Сердце петухом запело» – так говорят о человеке,Радостном,Завистливом,Глупом,Трусливом,,A,test,«Сердце петухом запело» – так,говорят о человеке,называют в народе «петушиное сердце».,"называют в народе состояние, когда от радости или волнения душа поет, а голос не подчиняется воле.",0.0,0.0,0.56,0.71
2929,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),"Сулы ерітіндіде қандай зат диссоциация процесіне ұшырағанда мынадай иондар пайда болады:  \( AlOH^{2+}\), \(Cl−\), \(Al^{3+}\), \(OH−\). Ол қай зат?",сілті,қышқылдық тұз,негіздік тұз,қышқыл,,C,test,"Сулы ерітіндіде қандай зат диссоциация процесіне ұшырағанда мынадай иондар пайда болады:  \( AlOH^{2+}\), \(Cl−\), \(Al^{3+}\), \(OH−\).",Ол қай зат?,"А) \( AlOH^{2+}\), \(Cl−\), \(Al^{3+}\), \(OH−\).","Бұл иондардың барлығы сулы ерітіндідегі **алюминий хлоридінің** (\(AlCl_3\)) диссоциациясы мен гидролизі нәтижесінде пайда болады.

Алюминий хлориді суда толық диссоциацияланғанда алғашқы кезеңде \(Al^{3+}\) және \(Cl^-\) иондары түзіледі:
\[ AlCl_3 \rightarrow Al^{3+} + 3Cl^- \]

Дегенмен, \(Al^{3+}\) ионы су молекулаларымен әрекеттесіп (гидролизделіп), гидроксо-иондарды бөліп шығарады және \(AlOH^{2+}\) түзеді:
\[ Al^{3+} + H_2O \rightleftharpoons AlOH^{2+} + H^+ \]

Сондай-ақ, суның өзіндік диссоциациясы (\(H_2O \rightleftharpoons H^+ + OH^-\)) немесе гидролиз процесінің салдарынан ерітіндіде \(OH^-\) иондары да кездеседі.

**Жауабы:** Бұл зат **алюминий хлориді** (\(AlCl_3\)).",0.0,0.0,0.61,0.77
8098,https://itest.kz/kz/endless,STEM,Informatics,High School,Kazakh,Informatics (High School in kaz),"Өрнектің екілік жүйедегі мәнін жаз:

65₈= X₂",100011₂,110101₂,110110₂,101110₂,,B,test,Өрнектің екілік жүйедегі мәнін,"жаз:

65₈= X₂",табыңыз:,табу керек.,0.0,0.0,0.68,0.7
13281,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Серіктестік қатысушылары оның міндеттері бойынша жауап бермейді. Олар қосқан үлестерінің құны шегінде серіктестік қызметімен байланысты шығындарды көтереді. Бұл серіктестіктің қай түрі?,Аралас серіктестік,Жауапкершілігі шектеулі серіктестік,Толық серіктестік,Жауапкершілігі шектеусіз серіктестік,,B,test,Серіктестік қатысушылары оның міндеттері бойынша жауап бермейді. Олар қосқан үлестерінің құны шегінде серіктестік қызметімен байланысты шығындарды көтереді.,Бұл серіктестіктің қай түрі?,Олар серіктестік қызметінен алынған табыстың шегінде пайда бөлісуге құқылы.,"Серіктестік қатысушылары серіктестік қызметінен туындаған міндеттемелер бойынша шексіз жауап бермейді, тек өз үлестерінің құны шегінде ғана жауап береді.",0.0,0.0,0.85,0.84
19806,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Оксюморон использован в названии произведения А.С. Пушкина,«Путешествие в Арзрум»,«Капитанская дочка»,«Барышня-крестьянка»,«Медный всадник»,,C,test,Оксюморон использован в названии произведения А.С.,Пушкина,Пушкина «Медный всадник».,Пушкина «Медный всадник».,0.0,0.0,0.79,0.79
